author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Just another sheep,amzn1.account.AFKJ5FOOPDXWBF63SJMN3FZZRN6A,"Reviewed in the United States on October 28, 2017",0,,https://www.amazon.com/Legend-Zelda-Breath-Wild-Nintendo-Switch/product-reviews/B01MS6MO77/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I... have never been so taken aback by the vastness of a game. You really don't need to read another review, Zelda alone is worth the price of a switch. Like if they sold this game for 300 dollars I would probably buy it. In fact, it's the only Switch game I own, and have no real plans to purchase anything else because between the original game and Master Mode, I will be getting a divorce soon so I can spend more time collecting mushrooms and climbing mountains.",Good bye social life,Platform: Nintendo SwitchEdition: StandardVerified Purchase,"1,747 people found this helpful"
Brett Connolly,amzn1.account.AHW5MKIJZMGIK2JIEIXXGD5J3KCA,"Reviewed in the United States on July 23, 2018",0,,https://www.amazon.com/Legend-Zelda-Breath-Wild-Nintendo-Switch/product-reviews/B01MS6MO77/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"This is how you revitalize a franchise that was starting to grow stale in it's formula. I bought a Switch just to play this game and I do not regret my purchase. I'm going to go over pros and cons to make this review a little easier to read.PROS:+ HUGE OPEN WORLD - Lots of interesting places and things to discover. It's quite exhilarating to scale a mountain in order to get a better view of everything around you and then paraglide to points of interest. If you can see a place on the map, you can get to it.+ COMBAT EXPERIMENTATION - Combat experimentation is fun and rewarding, for awhile (more explanation in 'cons' section).+ FUN AND VARIED COMBAT (FOR AWHILE) - Different enemy types are interesting and have specific tactics that clearly telegraph their moves making combat a rewarding learning experience and almost never feels cheap.+ RPG ELEMENTS - The RPG elements fit very nicely into the Zelda universe and give the game a lot of depth. Mountable horses have different stats, enemies can have different elemental types along with stronger variations, weapons, armor, and shields have wildly different stats and abilities, food and elixirs provide different buffs, etc.+ GAME DIFFICULTY - The game is relatively difficult compared to previous Zelda games. You really have to assess combat situations before entering the fray and many enemies are punishing. You will die, many times, but you do learn, with time, and with learning comes triumph and satisfaction. DLC adds Master Mode for the most hardcore players or those who found Normal too easy.+ COOKING SYSTEM - Cooking system is deep and rewards experimentation. Cooking not only allows for the crafting of meals and elixirs which gives you numerous buffs, but it's also one of the best ways to make money.+ WEAPON DURABILITY - Weapon and shield durability forces you to continually hunt for new gear and keeps combat interesting and tense. While I didn't think I would like this system at first, it makes for a much more engaging game than just getting a single, over-powered item and just relying on that the rest of the game, which would get boring, imo.+ SHRINES - There's over 120 'shrines' which are peppered all over the map which act like mini-dungeons. They usually can be completed in 10 minutes or less and usually involve the use of several of Link's Runes (that you get at the beginning of the game) that give you the ability to move metallic objects from a distance, throw bombs, summon ice pillars, or even freeze objects and apply force to them to launch into enemies or to other places to help solve puzzles. I love these shrines because they're fun to solve, and due to the game's physics engine, many can be solved in ways the developers probably didn't intend (look up YouTube videos on it). Shrines are short enough that they're not a huge time investment like normal Zelda dungeons that used to demand an hour+ of your time to complete, making them ideal for short gaming sessions.+ NO HAND HOLDING - Doesn't explain much, doesn't hold your hand, and expects you to learn everything from the world, NPCs, and experimentation.CONS:- BARREN FEELING OPEN-WORLD - The world feels very barren and empty, much of the time. Many say the map is 'dense' but I don't think that's an accurate word to describe it. The map is loaded with things to do, but there is lots of empty space between those points of interest. Think if you took the map of Skyrim (a game I would call 'dense') and expanded it by 3 times the size, including time to travel between points of interest. Horses don't really help with traversal especially when you're moving across mountainous or rocky terrain.- COMBAT GETS STALE - Combat experimentation becomes less effective as you become stronger. Ambushes with bombs, chu chu jellies, stasis, etc, all become less and less rewarding as enemies become stronger. Before, a carefully aimed bomb could kill an enemy, outright, or roll into barrels which would take out an entire encampment, now a bomb does roughly 5% damage and most other means are hardly worth the effort over just using brute-force. For a game that really rewarded this kind of behavior at the start, I was bummed that I couldn't rely on those tactics later in the game, adding to the combat feeling stale and repetitive after awhile.- CAN'T SUMMON HORSES FROM ANYWHERE - Horses cannot be summoned from anywhere. The DLC solves this with 2 different solutions, but it should have been in the base game and been an early quest/reward before you spend 50+ hours exploring the map. This was super frustrating to me when walking to Gerudo town, which ended up being close to 25 minutes of walking/running from the nearest shrine. A horse would have made this trek much more bearable but there were no stables nearby to even take it out of.- INVENTORY MANAGEMENT AND GENERAL UI - Inventory management and the menu UI could use a little work. While I loved having so many interesting items and ingredients to discover and experiment with, moving through the menus got tedious, especially when you have multiple pages of stuff to sort through or when you find new, better weapons/shields and have to go back into your menus to drop some to make space. Menus felt cluttered and even after 80 hours, I would still fumble through menus trying to do specific things.- PERFORMANCE AND LOAD TIMES - The game runs pretty well a majority of the time, but there are certain places where it will chug, specifically when there's lots of particle effects on-screen or there's a lot of things to render. This also makes load times get kind of old, as it can take up to 20 seconds to load into new areas or even just reload the area you are in, after dying. Even dying in a shrine results in a 10 second reload, which is baffling since they're not in the open-world and shouldn't take that long to render, especially when they've already been rendered before your death.- GRAPHICS - While the game looks pretty good most of the time, there's other times that the hardware limitations really show, like when you're trekking across big meadows or rocky mountains with little detail. It looks really good for a handheld system, but doesn't quite hold up to console standards, even compared to last gen.- EXPLAINS NOTHING - While I love that the game doesn't hold your hand, I was equally frustrated by not having a clue how to do certain things. While a purist would argue that all the answers are SOMEWHERE in the game or that you should just experiment, someone like me just doesn't have the patience to play 90% of the games content to then find out that a certain ability will significantly help map traversal and reduce travel time. I want to know these things up-front or at the latest, halfway through the game, since getting an ability to improve travel time feels less rewarding when I've already slowly trekked through a vast majority of the map at 60 hours. DLC rewards are not as great if you have nearly completed and covered the entire base game... what's the use of a horse or motorcycle you can summon anywhere if you don't have anything left to explore?Anyways, I absolutely love this game. Given the number of rather large gripes that I had with it, I felt like a 4 is a fair score. I really look forward to the next game but I hope people can acknowledge and admit the game's shortcomings, otherwise, these things won't be fixed in order to give us the most refined and amazing follow-up that we all are already salivating for.",Near perfection. Nails so much but still has a few rough edges.,Platform: Nintendo SwitchEdition: StandardVerified Purchase,580 people found this helpful
Adam Machanic,amzn1.account.AEPSUN6ZXEMOGNN7D444XUX3K2JA,"Reviewed in the United States on July 3, 2018",0,,https://www.amazon.com/Legend-Zelda-Breath-Wild-Nintendo-Switch/product-reviews/B01MS6MO77/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,2.0 out of 5 stars,"I tried, and tried, and tried ... I've put in maybe 30 hours to date, and I've gotten basically nowhere. And I don't really feel like moving on at this point.This is a huge, HUGE game. I've explored maybe 10%. The graphics are excellent, the soundtrack is great if a bit minimalist. It's big, it's WIDE open, and it's super-involved. Weapons break on you. Stocks of ammunition (i.e. arrows) run out. If you want to eat, you need to collect and then cook your food. If you want to cook your food you need to find yourself some fire. And on, and on.Big, open, involved -- all of these are probably plusses for a lot of gamers, and this game has certainly received its fair share of great reviews. But here's the thing: I'm an adult, with a real life and responsibilities. And every time I sit down in front of this game I spend two or three hours collecting supplies and cooking food and fighting various monsters, all without making much progress. Why bother?!Breath of the Wild, maybe it's not you. Maybe it's me. But you're no Link Between Worlds. You're certainly no Ocarina of Time. You feel like a big mess of a game that just doesn't quite come together and, as phrased so brilliantly by Sweet Brown, ain't nobody got time for that.",Time Consuming Drudgery,Platform: Nintendo SwitchEdition: StandardVerified Purchase,504 people found this helpful
Russ T.,amzn1.account.AFNXCHRHXRTOQQUUJUMPS2H3HNXQ,"Reviewed in the United States on July 28, 2017",0,,https://www.amazon.com/Legend-Zelda-Breath-Wild-Nintendo-Switch/product-reviews/B01MS6MO77/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I  bought this for my kids because of the great memory I had playing Zelda 2 when I was a kid.  That was one of the most challenging and rewarding games I had ever finished.  I've not played video games for over 25 years until getting the switch and BOTW.  I am amazed at how much gaming has improved and how much I've missed out!  I like that this game is not all about fighting and is not too violent and gruesome.  The game is fun for all ages and even my youngest 5 year old boy enjoys playing it, although he mostly just explores the villages and experiment with cooking.  The biggest problem with this game is that it is so addictive that we'll play it all day and don't want to do anything else. So my wife is not too happy.",Great game for all ages.,Platform: Nintendo SwitchEdition: StandardVerified Purchase,479 people found this helpful
Leo J,amzn1.account.AFJRMWEEQFQBBN5RHNKA5QWVJ7TA,"Reviewed in the United States on June 16, 2017",0,,https://www.amazon.com/Legend-Zelda-Breath-Wild-Nintendo-Switch/product-reviews/B01MS6MO77/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"If you are a Zelda fan and/or a fan of Western RPG's like the Elder Scrolls series (for example) then you will LOVE this game. Hundreds of hours can be spent playing this game and exploring the VAST map that this game touts. Like nothing else the Zelda series have ever seen and that's all before the DLC that will be released later this year.Gameplay and the story is largely engrossing. You won't want to turn off your Nintendo Switch and you will be glad you purchased one if for nothing else than for the ability to play this game...but don't sleep, there's TONS of great Nintendo 1st party titles on the horizon that Nintendo fans will WANT TO PLAY!Back to Zelda though, the atmosphere, graphics, sound and gameplay are all SPOT ON. There's crafting of Food, Potions, Weapons and Armor as well as a bunch of quests, side quests and tons of hidden content to keep you engrossed for at least the next several months... The Game of the Year buzz that this game has received is 100% deserved. Get this game! You will LOVE It!",YOU HAVE TO GET THIS GAME!!,Platform: Nintendo SwitchEdition: StandardVerified Purchase,321 people found this helpful
Justin Travis Meyer,amzn1.account.AFXNO3AY56VNOWHE6AUGXAYY6EOQ,"Reviewed in the United States on October 11, 2019",0,,https://www.amazon.com/Legend-Zelda-Breath-Wild-Nintendo-Switch/product-reviews/B01MS6MO77/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Worst zelda game ive ever player easily. EASILY.It’s huge and pretty and has a lot of innovative stuff never seen in a zelda, but almost every single thing they added is a misfire.  First, it’s barren...it’s a giant huge amazing world with NOTHING IN IT.  No, i dont count boring little pig monsters or re-skins of boring little pig monsters, or endless crafting things that don’t make anything remotely cool, or another melee weapon that breaks after 3 swings.  These are not content.  Second, it’s repetitive.  They got rid of big themed dungeons...I’m honestly not sure why but Im not against it if they did something cool. They did not.  They made a bunch, maybe hundreds, of small dungeons that feel incredibly joyless and give you nothing cool.There’s just nothing to build to, nothing story wise (the whole story is told through flashbacks)Cannot believe people are pretending this is a good game.  In 5 years no one will be talking about it.",Worst.  Game.  Ever.,Platform: Nintendo SwitchEdition: StandardVerified Purchase,82 people found this helpful
TM,amzn1.account.AFWTIVXSGHDJ6WKY5VJCRXH6LXCQ,"Reviewed in the United States on May 20, 2018",0,,https://www.amazon.com/Legend-Zelda-Breath-Wild-Nintendo-Switch/product-reviews/B01MS6MO77/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Bought the Switch for my son, but we play Zelda BOTW together. We have made it to Hateno, which I'm guessing is less than a tenth of the overall game. Let me just say that it is insanely good. It is epic. It is like all the imaginings I had as a kid playing dice RPGs. The freedom of being able to explore such a large, rich, intricate and gorgeous world is fantastic. Climbing mountains, gliding down into charming villages, galloping through open countryside on horseback, running along wooded trails, hunting, foraging and cooking, dodging thunderstorms, conquering shrines. Even just gazing at the landscape from the top of a tower is just awesome.This game is so good we have to set timers to remind us to take a break.If only we could just climb in ;-)",Truly Epic,Platform: Nintendo SwitchEdition: StandardVerified Purchase,78 people found this helpful
Bugs,amzn1.account.AHBT464PJVYNXTSJL7EIBVVBUJCQ,"Reviewed in the United States on June 18, 2017",0,,https://www.amazon.com/Legend-Zelda-Breath-Wild-Nintendo-Switch/product-reviews/B01MS6MO77/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"In 1987 there was a gold cartridge that was obviously better than the rest. That's when I played Zelda for the first time. I was a toddler and still remember what an adventure it was. Since there was little text I could still play even though I had no one to read it to me. It was my driving force to learn to read and count. It was my favorite game year after year. Now 30 years later and this is almost the game I imagined from staring at the manual art and blocky pixels on that limited palette of the NES. I have not bought a Nintendo game in over a decade, and this was the first game that made me buy a nintendo console since the Cube. The world is vast and feels old giving a real feel of a adventure, the combat is ingauging, the difficulty is perfect, physics are the best around, cooking is accually entertaining and worth while, the ability to climb really adds something, the art design is great at hiding the 720p/900p resolution, and the ammount of things to see is awesome, the puzzles are well done for the most part, and the lack of direction harkens back to the NES game. On the downside the story is not in the league of say Witcher 3, the music can feel to subdued in my opinion, voice acting is sparse and should have been fully voiced or not at all, and the weapons do break to often. The gameplay makes up for all of this though. I am addicted to the gameplay, and you set the pace. I'm typically a 60fps4k pc gamer, but this game is just done so well. So is this game a nostalgia trip. YES! But it is an amazing experience. So here we are 30 years after the original golden cartridge that first really got me into video games and this is a worthy successor. My 4yo son sits with me when I let him. I help him play, and read him the text. It is one of his favorite things to do. He is starting to sounding out words with me and counting his money. Though he has me to read to him. Seriously this cartridge should have been gold.",The cartridge should have been gold!,Platform: Nintendo SwitchEdition: StandardVerified Purchase,129 people found this helpful
Dwayne,amzn1.account.AELXPQFOVJVTP2H3MSSIW6HQJKNA,"Reviewed in the United States on November 23, 2018",0,,https://www.amazon.com/Legend-Zelda-Breath-Wild-Nintendo-Switch/product-reviews/B01MS6MO77/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I don't understand what all the hype is about over this game.  I have been playing it for awhile and I hate it, for various reasons.  First, it's an open world game with no sense of direction that I've found.  Everything is so vague and there's no way you will figure out this game without consulting the internet for QnA and walkthroughs.  One thing I absolutely HATE when trying to play a game.  When I want to play a game, I don't want to have to keep stepping away from the screen to go log on my computer to figure out...  what do I do next?  Where do I go?  How do I make this recipe?For example, in the very beginning, you need to complete 3 trials in 3 shrines.  Well that's all fine and dandy, except the 3rd shrine is located atop a mountain that is cold.  You can't get there without some way to keep yourself warm.  I wandered around this area countless hours until I finally by luck stumbled upon some old diary that said something about making a recipe that keeps you warm.  Who would have known?  You will have no idea until you stumble upon this isolated small shack and find the diary.  But doesn't give you the recipe!!!  You have to figure it out on your own because the stupid old man wrote the diary forgot the final recipe and it's up to you to figure that out.  Yeah good luck with that.  The first ingredient is peppers which you can find and pick.  The 2nd recipe is raw meat.  which takes quite awhile to figure out how to even find.  You have to wander around some more until you find some boars in a forest to kill.  As for the 3rd ingredient, you will be a week putting together all sorts of different combinations to find the 3rd is a fish.  You have no way of figuring this out unless you get on the internet and look it up.I spent hours and hours just wandering around in this game figuring out what I'm supposed to do.  I cannot STAND games like that.  Just wander around until by luck you stumble upon something related to your quest.  At which point, you need to blindly wander around some more.I don't know about the people who wrote the positive reviews, but I have a life.  I have a job, I have a family and a home.  What I DON'T have, is countless hours to wander around doing nothing.  Hours and hours and hours trying to figure out where the shrines are and how to make some stupid recipe that you have to guess on your own.  And this is only the beginning of the game.  I don't even want to think about what it's like in the later levels.Now that that's out of the way, my other complaint is about the weapons.  You have sticks, swords, spears, bows, clubs all sorts  of weapons.  Cool right?  Except they are  all junk.  After you kill a couple of goblins, the weapon breaks.  In the middle of a fight and all of a sudden, your sword has broken!!!  Then you have to fart around the menu to equip another sword.  You swipe it a few times and oops!  It's broke too!  Let's try the club.  Broke!  Equip the spear.  Broke!!!  I'm tired of hoarding swords and spears in my bag because they keep breaking.  And your SOL if they all break.  Yeah you can't fight without a weapon.  Link just looks at his empty hand like he's stupid.  Just ball up your fist and punch the goblin in the face or kick him where it counts.  Nope he just looks at his hand.  So what do you do when you break all your weapons?  You guessed it.  Run away.  Then you have to waaaaaander around blindly until you stumble on an axe or something.  Same with the bows.  They break too.And what happens during a boss fight?  SAME THING.  You dodge his attack and mash him a round then your weapon breaks and he has hardly any damage done at all.  But then you have to go to the menu and equip another weapon.  In the meantime, by the time that's done, hes coming in for a other attack.  Same sequence.  Dodge, attack, weapon breaks, replaced.  But when he hits you ONCE, its game over and you have to continue and sit through the load screen.  Not to mention the music is freaking pathetic and annoying.Weapons breaking, constantly healing after one hit, This is incredibly stupid to have to do when you are in the middle of an intense fight where you need to focus on what your doing rather than mess around swapping out weapons that keep breaking.Forget this.  Going to game stop tomorrow to trade this in.  I don't have time for this kind of garbage. I bought a Nintendo switch just for this game, because I read it was a good game.  Looks like I'm putting the switch away and hooking my PS4 back up and put back in my latest Final Fantasy game, where at least my weapons don't break, I don't die in one hit and I have some sort of sense of direction and what I'm supposed to do.Fing garbage. I want my money back.  For game AND the switch.  Nintendo can suck it.",Horrible game,Platform: Nintendo SwitchEdition: Standard,77 people found this helpful
Michael,amzn1.account.AH5A2Q7RZRYWMFC4JUIW7VM6BMMQ,"Reviewed in the United States on May 31, 2019",0,,https://www.amazon.com/Legend-Zelda-Breath-Wild-Nintendo-Switch/product-reviews/B01MS6MO77/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Boring. Its a game that incentives you not to play it. Get a good weapon, it breaks, you dont want to use it. Food you make it, want to save it for something else, dont use it. Climbing up a tower like the ladder in a much better game MGS2. Boring boring boring. The lack of music and costumes at the beginning is disappointing. Mario Odyssey definitely deserves GoTY wayyyyyy more.",Boring as hell.,Platform: Nintendo SwitchEdition: StandardVerified Purchase,31 people found this helpful
