author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Amazon Customer,amzn1.account.AGPRDMJCYGJ5AL22P5FUXLQ5QNYQ,"Reviewed in the United States on April 20, 2020",0,,https://www.amazon.com/NEW-Norton-360-Deluxe-Monitoring/product-reviews/B07Q33SJDW/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I have used Norton products loyally for at least 15 years, but today when I got another year of subscription I had an unbelievably bad experience with their rep.  I always turn off automatic renewal after I purchase, because auto renewal is the most expensive possible way to get a year of Norton coverage.  As soon as I completed my new subscription today, I went to my account to turn off automatic renewal.  It turns out that the customer can't turn it off as they used to be able to do - now I have to ""chat"" with a Norton rep who will actually turn it off for me - if you can convince them!.  And that chat session was a manipulative and frustrating session.  One sign that they know how bad it is, is that you cannot copy or save the chat history, so I'll have to paraphrase it.  It took me seven separate requests to get the Norton rep to agree to turn off auto renewal.  First they want to be sure you understand how valuable it is, then after two or three rounds of that, they tell you that if you turn off auto renewal, you lose the virus protection guarantee that they advertise for Norton 360.  After that, when I continued requesting to turn off auto renew, even then the rep didn't give up on me - ""what if I extend your subscription by 60 days for free?""  No thanks.  ""What if I extend your subscription free by 90 days?""  No thanks!  Now I was quite frustrated that nothing seemed to convince them to turn off auto renew.  So buyer beware - when you read the comments from Norton reps (answering user reviews here on Amazon), where they tell everyone that, don't worry, you can turn off auto renewal, they're not telling the whole story, because turning off auto renewal voids their virus protection guarantee.  And the hassle of arguing with a rep who won't accept the request is really infuriating.  I am going to get a refund for the product (Amazon won't refund it, but Norton says they will, within 60 days) and try another provider.  I also had problems installing, but that pales in comparison to this.",Turning off auto renewal voids the virus protection guarantee,"Platform: Download Code [12 Month, with Auto-Renewal]Verified Purchase",564 people found this helpful
James Pratt,amzn1.account.AF3R2U6Z7AOSQYJJSHC5HQACKT4Q,"Reviewed in the United States on April 20, 2019",0,,https://www.amazon.com/NEW-Norton-360-Deluxe-Monitoring/product-reviews/B07Q33SJDW/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"After I purchased Norton 360 I tried to install it and would not let me. So I call Norton and they checked the number and informed me that it was only good for 20 days. WTF... So I call Amazon and they told me it was a non refundable purchase, but because of what Norton told me they refunded my money.  Just wanted to share this.",Install code.,"Platform: Download Code [12 Month, with Auto-Renewal]Verified Purchase",537 people found this helpful
Sales,amzn1.account.AHJZETWQOI5KYW4I7NU2O22RZSHA,"Reviewed in the United States on May 14, 2019",0,,https://www.amazon.com/NEW-Norton-360-Deluxe-Monitoring/product-reviews/B07Q33SJDW/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,Used to not have to setup auto renewal... cannot install now without agreeing to auto bill the next year.,Auto renewal...,"Platform: Download Code [12 Month, with Auto-Renewal]Verified Purchase",400 people found this helpful
Rob,amzn1.account.AHSQQ7FWZFFDAHUHAL6GCIB47FTQ,"Reviewed in the United States on April 17, 2019",0,,https://www.amazon.com/NEW-Norton-360-Deluxe-Monitoring/product-reviews/B07Q33SJDW/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,Was charged for this and cannot download the code.  I didnt get what I paid for. It wont show me how to return it for refund!,Dont Buy,"Platform: Download Code [12 Month, with Auto-Renewal]Verified Purchase",267 people found this helpful
Bill,amzn1.account.AGPRNQKEQFXM3OHXVXCXBQ35PXKQ,"Reviewed in the United States on October 12, 2019",0,,https://www.amazon.com/NEW-Norton-360-Deluxe-Monitoring/product-reviews/B07Q33SJDW/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"I've used Norton virus and PC protection for years.  I've found no reason to switch.  It works, protects me from attacks, and is easy to use.  I run a manual full-machine scan once a week.  I've never encountered a virus having gotten onto my machine.This particular product auto-renews, which some commentators have found intrusive.  I do, too.  It's very easy to turn off, however.  After you install the product go to the ""My Subscription"" area of your Norton.com online account.  In the upper right-hand area of the screen you'll see an ""Automatic renewal"" toggle.  Just switch it to  ""OFF"".  You'll subsequently see a screen asking you to state reason why you turned off this feature.  I chose ""I prefer not to respond"", clicked ""CONTINUE"" at the bottom, and the feature was turned off.  Simple.The installation of the product, as I was already using Norton Security Standard from last year, took all of two minutes.  Now I'm protected for another year.As I noted, I've been using the Norton suites for years.  It may slow my machine a bit when I'm browsing, but I've found via using TASK MANAGER to examine the CPU usage that generally Chrome is hogging the memory, not Norton.  And it may slow the boot-up of my desktop but, again, it's a small price to pay for online security and I don't find it annoying.I feel completely protected by Norton; my experience has informed and validated that feeling.  No complaints.UPDATE (Nov. 2020):  I renewed my Norton subscription last month.  I still had a couple weeks remaining on it and yet, after I renewed, the expiry date didn't adjust to add on those two remaining weeks.  I was miffed.  Logged on to the Norton site and eventually learned (through a chat session with a rep and also a subsequent call) that LifeLock bought Symantec during late 2019 or 2020 and has a policy of not adding on the remaining days when you renew the subscription.  This seems underhanded to me.  Anyway, I called a rep and he quickly adjusted my expiry date to include those extra couple weeks remaining on my previous subscription.Be warned: either wait until the day of expiration to renew or, if you renew earlier, be prepared to waste 30 minutes or so slogging through the LifeLock customer service system to claw back the remaining days.  The annoyance was not quite enough to induce me to cancel my subscription.  If this sort of thing keeps up, however, it will be.LifeLock reps, if you're reading this: be honest in your operations.  You tried to steal 4% of a subscription I'd already paid for.  That's dishonest.",I've been using it for years.  It works.  It's also easy to turn off auto-renewal.,"Platform: Download Code [12 Month, with Auto-Renewal]Verified Purchase",194 people found this helpful
Charles P.,amzn1.account.AHWUOS544XUGWOUPZMUE6KLC5JQQ,"Reviewed in the United States on April 7, 2019",0,,https://www.amazon.com/NEW-Norton-360-Deluxe-Monitoring/product-reviews/B07Q33SJDW/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I can't get Norton to recognize my phone number and country as valid.  No use to me if I can't install, and a review of 1 star is as low as I can go.",CAN'T USE NORTON TO INSTALL,"Platform: Download Code [12 Month, with Auto-Renewal]Verified Purchase",175 people found this helpful
Amazon Customer,amzn1.account.AGPRDMJCYGJ5AL22P5FUXLQ5QNYQ,"Reviewed in the United States on April 20, 2020",0,,https://www.amazon.com/NEW-Norton-360-Deluxe-Monitoring/product-reviews/B07Q33SJDW/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I have used Norton products loyally for at least 15 years, but today when I got another year of subscription I had an unbelievably bad experience with their rep.  I always turn off automatic renewal after I purchase, because auto renewal is the most expensive possible way to get a year of Norton coverage.  As soon as I completed my new subscription today, I went to my account to turn off automatic renewal.  It turns out that the customer can't turn it off as they used to be able to do - now I have to ""chat"" with a Norton rep who will actually turn it off for me - if you can convince them!.  And that chat session was a manipulative and frustrating session.  One sign that they know how bad it is, is that you cannot copy or save the chat history, so I'll have to paraphrase it.  It took me seven separate requests to get the Norton rep to agree to turn off auto renewal.  First they want to be sure you understand how valuable it is, then after two or three rounds of that, they tell you that if you turn off auto renewal, you lose the virus protection guarantee that they advertise for Norton 360.  After that, when I continued requesting to turn off auto renew, even then the rep didn't give up on me - ""what if I extend your subscription by 60 days for free?""  No thanks.  ""What if I extend your subscription free by 90 days?""  No thanks!  Now I was quite frustrated that nothing seemed to convince them to turn off auto renew.  So buyer beware - when you read the comments from Norton reps (answering user reviews here on Amazon), where they tell everyone that, don't worry, you can turn off auto renewal, they're not telling the whole story, because turning off auto renewal voids their virus protection guarantee.  And the hassle of arguing with a rep who won't accept the request is really infuriating.  I am going to get a refund for the product (Amazon won't refund it, but Norton says they will, within 60 days) and try another provider.  I also had problems installing, but that pales in comparison to this.",Turning off auto renewal voids the virus protection guarantee,"Platform: Download Code [12 Month, with Auto-Renewal]Verified Purchase",564 people found this helpful
Big Worm,amzn1.account.AGV2PQE3M3BKF7BQE3DA7W52BRBQ,"Reviewed in the United States on March 25, 2021",0,,https://www.amazon.com/NEW-Norton-360-Deluxe-Monitoring/product-reviews/B07Q33SJDW/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"Hello everyone, I just felt the need to put my review out there immediately given all the bad reviews.  So I have been using Norton for years.  I always turn off the auto renewal option after I enter a new key code from a new purchase such as this one.  So given all the previous comment, I decided to call Norton ahead of time prior to purchasing this product for another year.  Call went very smoothly, they confirmed that the cancel auto renew option was still there however it will not show if you have already set up non renew from the previous year.Until you actually enter the new product key and go through the minor install process to renew, the cancel auto renewal option will not show up.  So I had 4 days to renew.  I just purchased this product, amazon instantly sends you a link to click and follow the instructions.  Or you can do as I did, logged in ahead of time, went to my covered pc and clicked to enter new product key.  As soon as I did that, the renewal installation process began.  Same as if you woud've clicked the link.  Either way.  Once I was done and all set up, I noticed that the ""My Subscription"" button all of a sudden showed up giving me the instant option to cancel auto renewal.So in the end, everything worked well, everything was OK and it went pretty smoothly overall.  As of now, when you try to cancel the renewal, a pop comes up asking to stay and not cancel and in return it offers you 30 additional days of coverage after 5 days.  I have no problem waiting 5 days to set up non renewal after the fact for the additional 30 days.  I think their hope is that you forget all about it.  I assure I won't, however if you are the type that might, then forget the extra free 30 days and set up non renewal right away.Hopes this helps to clear everything up and calms everyone down with the freaking out reviews.  Trust me, I would be the first to go nuts on Norton if I couldn't do this.  I would go to another protection provider, but I like Norton and everything went well.Finally I want to let everyone know that on the phone they told me that my additional 4 days I had to renew would stack up on top of the new year renewal, THIS IS NOT TRUE !!  As soon as you enter the new product key or set up the renewal, the new year starts as of the day you renew and whatever days were left are lost.  So my recommendation is to wait till the last day or 2 before the renewal expires.  I also recommend to not make the purchase till your ready to renew right there and then to not risk some kind of 20 day expiration limit that someone talked about in another review.  I just did everything all at once just now from purchasing it, to installing/ renewing, to this review.  Everything worked well !!!",Don't Stress !!!  Everything is OK and works well !!,"Platform: Download Code [12 Month, with Auto-Renewal]Verified Purchase",25 people found this helpful
Amazon Customer,amzn1.account.AGFVAGGZVYPTQATANGLAL64OFKZA,"Reviewed in the United States on April 10, 2020",0,,https://www.amazon.com/NEW-Norton-360-Deluxe-Monitoring/product-reviews/B07Q33SJDW/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"On my recommendation, a friend purchased Norton Antivirus from Amazon, and had problems  installing because Windows Defender was blocking it.  Tech support at Norton charged her $149 to do the installation.  ?????Inexcusable to charge a new customer to install a product at all, let alone $149.",HEAD'S UP: Norton charged a friend $149 just to do the initial installation,"Platform: Download Code [12 Month, with Auto-Renewal]Verified Purchase",20 people found this helpful
Syu,amzn1.account.AFALJU4CEVZHYQ3LBWLYGGKRT4YQ,"Reviewed in the United States on September 7, 2020",0,,https://www.amazon.com/NEW-Norton-360-Deluxe-Monitoring/product-reviews/B07Q33SJDW/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"After I made my purchase on Amazon and get the product key, in order to activate it, I have to provide credit card information to Norton so that my subscription can be automatically renewed next year (even though you can cancel it later), and there is no way to opt it out.  Are you kidding me? I already paid for the year-long license, why do I have to provide CC to you???Hi Norton, before I consider you as reputable internet security company, but you kept doing this kind of dirty trick, I am NOT going to use your software any more.",Need to provide credit card info in order to activate it,"Platform: Download Code [12 Month, with Auto-Renewal]Verified Purchase",14 people found this helpful
