author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
amiller,amzn1.account.AHXC2I6S4EPTLZVREO7PNT5RXMCQ,"Reviewed in the United States on August 10, 2018",0,,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B09JSXQ3YX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,3.0 out of 5 stars,"Okay, these ARE cute if you just want a stylish sneaker to wear with leggings and run errands in; however- they are not made for exercise/fitness walking- and certainly NOT for running. There is no support, and virtually NO padding. It may say ""cloud foam"" but there is more padding in my flip flops than these shoes. If you can get a pair for a good price, and just want them for the look then go for it, but I would not recommend wearing/walking in them for long periods of time.",Cute? Yes. Walking/Running? NO!,Verified Purchase,"1,468 people found this helpful"
CT,amzn1.account.AFBGAGALRTBPUQPXL2ADFIPYAYWQ,"Reviewed in the United States on September 17, 2018",1,,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B09JSXQ3YX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,2.0 out of 5 stars,"I loved these shoes when I got them. They are true to size and very comfortable. I walk about 15 miles a week (taking my son to and from school), and my feet don’t hurt at all when wearing them. However, I’ve only had these shoes for a month, and the soles are almost completely worn at the ball of my foot. I am not doing any strenuous running or climbing with them, and I only walk on paved roads. I feel like they will be completely unwearable in the next few weeks. So I payed $50 for 6 weeks of wear...","Comfortable, but do not last",Verified Purchase,832 people found this helpful
Amazon Customer,amzn1.account.AFN6MJA3ZLQZZ25WWGWKECIQGADA,"Reviewed in the United States on July 9, 2018",0,,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B09JSXQ3YX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,I have the same pair that I purchased from a store. These were not the same quality and fit much more narrow.  Wondering if these are actually a knock off as they also had a weird generic tag.  I’m returning them but couldn’t get an answer as to whether these were fakes or not.,I have the same pair that I purchased from a ...,Size: 8Color: Black/Black/WhiteVerified Purchase,511 people found this helpful
Albert,amzn1.account.AFCZN3PWHO3QCHFC5OTX72PVC2IA,"Reviewed in the United States on February 16, 2018",3,,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B09JSXQ3YX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Love these shoes!!! I first discovered these at a local shoe store.  I'm normally a size 8 or 8.5 depending on the brand of shoe and the 8's fit me perfectly with thin (or no) socks.  If you wear slightly thicker socks, you may want to go up a half size. I promptly wore these for 3 days straight at Disneyland after only wearing them for about a week prior and had zero blisters!! They were so comfortable! When I got back, I returned to the store to buy the other 2 colors but was disappointed to find out that they did not have my size in stock. Amazon comes through once again! Found the other colors in my size with free Prime shipping. One other thing to note, these are more of a slip on shoe. There are laces but you don't need to undo them to get the shoe on or off.  There is no tongue like a normal shoe so the laces seem more like a decoration. They can tighten the shoe somewhat though if you feel that are too lose.",Great comfortable shoes!!,Verified Purchase,490 people found this helpful
Ashley,amzn1.account.AF7QQNGVE5L67NMP2LHFBGCY53AQ,"Reviewed in the United States on February 9, 2019",5,,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B09JSXQ3YX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"""I love these cloudfoam shoes from Adidas! They fit perfectly, they’re light, perfect from working out, the tongue is built in so it doesn’t move around while you workout. I highly recommend this pattern as well!""That was my review the day after I bought them. All was fine and well at the gym. After 3 visits to the gym, running on the treadmill for 15 minutes, going 7mph for probably a total of 7 minutes out the 15, and then lifting for 75 minutes, I started to experience severe pain in both of my knees near my MCL. I tried to ignore it, thinking it was just sore muscles from working out. Then started my L ankle pain. It progressively got worse, and eventually I couldn't even walk anymore. I started to assume it was the shoes seeing as there is ZERO support from these shoes. I ended up returning them, and continued to work out wearing different shoes. The damage was done, and things got much much worse. I'm a nurse, so I tried to just ice, take ibuprofen, and rest. That wasn't doing the trick so I went to my nearest urgent care. After 7 x-ray images, I found out I had severe tendinitis and swelling in my L ankle, and both of my knees. Thankfully it wasn't a hairline fracture, which I was thinking it may have been considering how excruciating the pain was. No gym for 2 weeks, ankle wrap, naproxen, rest, and icing was my treatment. Not a fun outcome seeing as I go to the gym 5-6x a week.IN SUMMARY: Do not buy these shoes if you intend to use them at the gym.","If you want severe tendinitis, these shoes are for you.",Verified Purchase,298 people found this helpful
Tsam,amzn1.account.AF2VQVG4MRZIP4INH45AAAKZ6PRQ,"Reviewed in the United States on March 2, 2018",1,,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B09JSXQ3YX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,Comfiest shoes I have ever owned and I get so many compliments and questions about them. Great sneaker! Good for running around.,Best shoes ever!,Size: 6.5Color: White/White/BlackVerified Purchase,352 people found this helpful
Rebekah R.,amzn1.account.AHW3A4MHW6RV74WPL2MB4IDPXEQA,"Reviewed in the United States on July 24, 2018",0,,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B09JSXQ3YX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Worst running/walking/workout shoes I have ever worn. The inside of the show is made with a foam that does not breathe. The seams are jagged and if the shoes are worn without socks cause irritation immediately and blisters quickly. They have zero traction, I have slipped many times. They also have virtually no support. After wearing these for four weeks for evening walks my lower back and feet can take no more. I can’t return them but hopefully can warn you against buying them.","Poorly made, no support, don’t breathe",Size: 7Color: White/White/BlackVerified Purchase,312 people found this helpful
Elle S,amzn1.account.AFFAHDCNLJ7E3HVOXDMB4HUMM7HA,"Reviewed in the United States on July 24, 2018",1,,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B09JSXQ3YX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"These shoes are so comfy, but way way too big. I tried three different pairs from Amazon, and all too big. Finally had to buy in a local store at 2 sizes smaller than my normal shoe size so I could get them in time. I recommend using Amazon wardrobe to try on multiple sizes if you have time to wait. I have a wide foot, and these shoes fully accomodate my feet with no rub or tension. The sole is cushioned, but not too squishy. The fabric is breathable mesh, and ideal for barefeet.",Two sizes too big,Verified Purchase,135 people found this helpful
Janelle,amzn1.account.AHGVHRU3JBMIKN5CFVDYOBZ3PR4Q,"Reviewed in the United States on September 28, 2019",4,,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B09JSXQ3YX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"FAKE! I have a real pair of adidas and compared the tag. You will see the real adidas tag is on the left in the photos. Also, the box label is completely different. The real is on the left. The real shoes also bring like a neon little foam thing that hangs from the laces. The shoes I bought on amazon did not bring that AND THEY WERE SUPER UNCOMFORTABLE. They feel NOTHING like the real thing. Please be cautious when buying.",FAKE!,Verified Purchase,72 people found this helpful
Amazon Customer,amzn1.account.AFUFX4EILG6VHYM7U7WCZCFSMOJQ,"Reviewed in the United States on March 22, 2018",0,,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B09JSXQ3YX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Update - I am now on my 6th pair of these shoes. They are so easy with the pull on style, and so comfy. They still run a little big, so size down 1/2 size. Great deal for how awesome of a shoe they are!These are the cutest and comfiest shoes! I am usually a size 8, and I have a few other pair of Adidas CF running shoes in size 8 that are a little too big. So when I bought these I got a 7 1/2, and they fit perfect! The color is super cute, and they are so light - perfect for running. Love them - I will probably buy every color.",Awesome!,Verified Purchase,109 people found this helpful
