author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Jen Stafford,/gp/profile/amzn1.account.AG7C7STVPLJ7NWPHWJOQGVPYUKJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 21, 2019",1,1,https://www.amazon.com/EPAuto-Waterproof-Trash-Storage-Pockets/product-reviews/B08HSS3ZB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"It’s big. Bigger than anticipated. Or maybe my car is just smaller than anticipate. 😁 But it’s super sturdy and holds its shape. I love that it’s easy to line with a grocery bag. I wish it were smaller, but that’s hardly a defect. Totally deserves its 5 stars.",Big and sturdy. Like: real big.,Color: BlackVerified Purchase,227 people found this helpful
L,/gp/profile/amzn1.account.AHGJNS47BP3XOWDEAENUYIIAPNTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 22, 2019",0,5,https://www.amazon.com/EPAuto-Waterproof-Trash-Storage-Pockets/product-reviews/B08HSS3ZB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,2.0 out of 5 stars,"I always have trash in my car and I usually use a plastic bag as a trash can. Since that looked “trashy” I decided to buy this auto trash can.Pros:- it’s made nicely. Materials good and it looks nice- it’s sturdy- it holds a decent amount of trash- it’s waterproof so I feel comfortable throwing away liquidsCons:- it’s so bulky. I drive a Jetta so I don’t have a ton of room. I can’t keep it in the front because my passengers don’t have enough room for their legs to sit comfortably.- it’s too heavy for my gear shift. If my car is on Drive, you can shift it to the right and it’ll go into Sport mode. It scared the crap out of me when it shifted on its own and my car revved up.- The only space I have for it is hanging off the back of the passengers seat. It’s uncomfortable reaching back there every time I have trash and I have to remove it when I have passengers in the back. After trying to use it for a couple weeks, I gave up and stopped using it. It became more of a hassle than a convenience.",Too bulky for my Jetta,Color: BlackVerified Purchase,198 people found this helpful
Lara Kohl,/gp/profile/amzn1.account.AFDIK6DWNJ2FC7PKJRYIEOBAEXIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 10, 2019",0,0,https://www.amazon.com/EPAuto-Waterproof-Trash-Storage-Pockets/product-reviews/B08HSS3ZB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"can't believe I'm writing a review of a trash can, but this works really well! for years I've used the pop up, cylinder shaped trash cans that never stay in place no matter how I try to secure them to the floor board, spilling trash everywhere. This trash can has an adjustable strap that I loop through my center console so it hangs between the two front seats (facing the back). this makes it easily accessible to both the front and back seat and keeps it from tipping over. It's larger than any other car trash can I've seen in stores, so holds plenty (I line it with a grocery store plastic bag, which fits perfectly). the lid easily Velcros shut and the round opening on top also helps keep trash from spilling.  I will say it covers up the rear seat air controls that are on back side of my center console, but passenger can easily reach under trash can to get to those. The strap was long enough for the console in my Yukon, but it did not fit on either of our full size Dodge pick ups. very happy with this.",nice!,Color: BlackVerified Purchase,123 people found this helpful
Tsalagi Stacey,/gp/profile/amzn1.account.AGGMKAJ2KWHOXQJO7ZXAGWK3ADUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 27, 2019",1,0,https://www.amazon.com/EPAuto-Waterproof-Trash-Storage-Pockets/product-reviews/B08HSS3ZB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,There is nothing bad to say about this product. It fits perfect and does exactly what it is intended to do. I no longer have garbage in my car. I wish I would have found this sooner.,Everyone should have one of these,Color: BlackVerified Purchase,72 people found this helpful
Kaitlyn,/gp/profile/amzn1.account.AEPTCGTNQYAO7ZLPFPJONQYVUSHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 26, 2019",0,1,https://www.amazon.com/EPAuto-Waterproof-Trash-Storage-Pockets/product-reviews/B08HSS3ZB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"The trash can is great. I like the small opening so things stay in and how the lid velcrows shut. Size is great too and I'm able to store more bags. I did make one adjustment so far. I added support for the bottom to separate the bags from the bag inside (plastic at bottom to make more rigid)I also wish that the strap could get a little tighter, I guess my console is too small to make it right against it. Also the velcro at the bottom doesnt stick to MY carpet very well. Maybe I'll get a brush and see if I can make it stick a little better. Otherwise I love the pockets I have so much extra storage with that. I need napkins, small survival items, and hand sanitizer (and a few other small things) on the front and sides. easy for me to grab from the drivers seat.",Nice Trashcan,Color: BlackVerified Purchase,56 people found this helpful
Luke,/gp/profile/amzn1.account.AEHER6YJEUUFHXPGVW3RDXMEA6MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 27, 2018",1,0,https://www.amazon.com/EPAuto-Waterproof-Trash-Storage-Pockets/product-reviews/B08HSS3ZB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"The product was larger than I expected, in a good way ;). The materials are solid and the interior looks like it could definitely handle a few spills. The support sticks used to hold it open seem like they could fall out since there is no sleeve, but otherwise everything looks good.",High Quality Product,Color: BlackVerified Purchase,57 people found this helpful
annlw582,/gp/profile/amzn1.account.AET7DXKBMG2UKEBT7YCLZEVKEMKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 24, 2019",0,1,https://www.amazon.com/EPAuto-Waterproof-Trash-Storage-Pockets/product-reviews/B08HSS3ZB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Love this car trashcan! Fits my 2008 Toyota Corolla. Both passenger and driver can easily reach it. Can use a regular plastic bag from Walmart to fit inside. I especially like the Velcro strip on the underside that sticks to the carpet to secure it in place. Highly Recommend! Great price!,Fits perfectly added Velcro keeps it in place,Color: BlackVerified Purchase,45 people found this helpful
LF,/gp/profile/amzn1.account.AHFQTTUVSRENT4HOSZIFFI5D2RIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 8, 2019",4,0,https://www.amazon.com/EPAuto-Waterproof-Trash-Storage-Pockets/product-reviews/B08HSS3ZB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Great trash can for my car! Admit it, if you're looking for a car trash can, your car probably looks like it’s been to a fraternity party - even though you're a full grown adult. Don't be embarrassed. Ok, maybe you should be. Just buy this trash can and get your stuff together, one candy wrapper at a time.",No longer driving with empty soda bottles and chip bags all over!,Color: BlackVerified Purchase,39 people found this helpful
Seth Connolly,/gp/profile/amzn1.account.AF3M6VIAIBDQRZ3B5XPPY3PWDKMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 15, 2019",0,0,https://www.amazon.com/EPAuto-Waterproof-Trash-Storage-Pockets/product-reviews/B08HSS3ZB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"It's a trash can, so it's not going to change your life or anything.  However, this one allows you to put in a trash bag (or reuse the plastic bags from the store), has the whole in the top that is big enough for soda cans, the strap is big enough to put wherever (i looped it through my console so it's right in the middle of the back floorboard).  The velcro on the bottom was a pleasant surprise, keeping it from moving around.  Better than my previous method of just tossing my trash in the floor board right behind my seat.  Keeps your ride nice and clean.",I like this product,Color: BlackVerified Purchase,37 people found this helpful
Dave O.,/gp/profile/amzn1.account.AHXLERNV7477P4Y35B3DFVQSO6IQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 5, 2019",1,0,https://www.amazon.com/EPAuto-Waterproof-Trash-Storage-Pockets/product-reviews/B08HSS3ZB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"I don't see the point of having a trash can strapped to the center console when it blocks 12v plugs, radio controls or vents. I prefer to have them be free standing. I used to have a nice trash can in my 2007 Silverado Crew a while back that had good velcro and a weighted bottom, but a tweeker stole it. After that, I tried a hard one but it was constantly tipping over.This one is pretty good. The top holds its shape OK, but the thing falls over easily and the sides/bottom deform a bit. I added some 1/2"" PVC to the bottom and it is working pretty good now. The velcro still doesn't stick too good. If you want to do the same, the PVC dimensions are two 4"" lengths and one 5"" length. Use 90° elbows and seat the pipe in there good. It fits nice and snug and adds some mass to the bottom to help prevent it from tipping over.I think I'll add some sand to the PVC and cap them to increase the mass. I may also sew in a nicer velcro strip on the bottom. I wouldn't add side bolsters because I want all the weight in the bottom to prevent tipping.",Needs some modification to be free-standing,Color: BlackVerified Purchase,28 people found this helpful
