author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Sally,/gp/profile/amzn1.account.AHGGJAFCNP6PFJLE6ZSHCKPQBBMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 22, 2019",3,8,https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/product-reviews/B06ZY896ZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,This thing is awesome! I only a 2018 Dodge Durango that sadly does not have leather seats. I own three dogs and it is just a nightmare pulling out my extension cord to vacuum my truck. I can now just plug this little guy into my 12v car outlet and I’m good to go! The power in this vacuum is as good as it’s going to get for a car vacuum so if you want extreme suction - buy a shop vac. Also the attachments are fantastic.P.s. I own 3 dogs- it picks up hair. The spots with sand in the picture are not vacuumed over yet to compare.,The most impressive car vacuum,Color: BlackVerified Purchase,"1,608 people found this helpful"
adam,/gp/profile/amzn1.account.AFHX5WBVWZUURX7FEF3HPLRYDXOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 24, 2019",0,2,https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/product-reviews/B06ZY896ZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I don’t understand the reviews stating it’s lack of suction. Yes, it’s not super powerful but it works! I don’t know what people expect from a $30 car vacuum but it works great to pick up dirt and crumbs in a pinch. The accessories are useful and the extra filter is clutch.",Would recommend for the price point,Color: BlackVerified Purchase,895 people found this helpful
Julia Bright,/gp/profile/amzn1.account.AFLXVEV2S43LVINAXUMY6466YXBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 18, 2018",0,4,https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/product-reviews/B06ZY896ZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Your browser does not support HTML5 video.           I'm glad to have such a great stuff in my car. Yes, it is not a powerful as my vacuum  cleaner in the house, however, it cleaned out all the garbage, which I accumulated over the past autumn and winter in the car.At the end of October my husband and I went to the ocean and as we tried to be neat - the sand was still in the car. Finally, I got rid of it!Now my beauty again is clean, as on the first day, when I bought her))))",I'm glad to have such a great stuff in my car!,Color: BlackVerified Purchase,"1,491 people found this helpful"
RIDE-SHARE DRIVER,/gp/profile/amzn1.account.AHUQQ6HON5Z6TNGAXHILHK4OIC3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 27, 2018",0,1,https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/product-reviews/B06ZY896ZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"EXCELLENT AUTO VACUUM, but check you car's fuse box and make sure it's at least 15 amp because this vacuum blew the 10 amp fuse of the cigarette lighter outlet in my 2013 Subaru Outback.  HOWEVER, the Outback has a second power source located inside the console and it is rated at 20 amp.  This is a terrific vacuum cleaner!  Very easy to set up!  This baby does the job! I drive for both ride-share companies and make it a point to keep my car spotless and this small but MIGHTY vacuum does the job!  A clean car gets better tips!!!!","EXCELLENT AUTO VACUUM, but....",Color: BlackVerified Purchase,706 people found this helpful
ReviewerViewer,/gp/profile/amzn1.account.AEYTE6VW5QS7M2B7PLCWP4GJAKSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 8, 2019",0,3,https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/product-reviews/B06ZY896ZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Your browser does not support HTML5 video.           Nice caddy and for the price does a decent job. Not as powerful as a commercial vacuum but if you are one to stay on top of a vehicles appearance, this does a good job of doing so.",12V power source means power within the car,Color: BlackVerified Purchase,546 people found this helpful
Busybeeerc,/gp/profile/amzn1.account.AE7ZSROJU4LVJ55AXYQ4CGKZPIZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 17, 2020",6,3,https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/product-reviews/B06ZY896ZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Your browser does not support HTML5 video.           Update 10/15/2020:I have been using this vacuum for more than a year and belobe that it already paid me back. I am washing/cleaning my car myself regularly and was paying the store 2-3 bucks for the vacuum every time. Decided to get this vacuum and am very happy with the results.I also got an AC/DC converter with a car charger and sometimes bring it to my office to vacuum the floor. Works great! Recently, started to keep it no the car with the converter so that I can use it anywhere anytime when needed. Worth every penny! Still highly recommended!Original Review:I wash my car and clean the interior very often. There for to avoid using the paid vacuum at the wash center I use my own anytime anywhere! So I bought this Thisworx and it’s awesome. Not only the very convenient small size, the great suction power for a car vacuum amazed me. The attachments are very useful. The long extension unit is very flat and helps cleaning narrow areas like the sides of the seats. The brush attachment is very successful to clean the carpet. The cord is very long which is a great plus to have the vacuum back to the trunk. It will be way enough for a small and a bigger size car. Once you are done you can put everything back in it’s nice bag that comes with the unit. Cleaning is very easy. You can disassemble the unit and can clean (I prefer washing) it.I am very satisfied with the results. Always keep it in my trunk organizer and use as needed. Highly recommended!!!",A keep in car gadget!,Color: BlackVerified Purchase,225 people found this helpful
kayeleonie,/gp/profile/amzn1.account.AFXC4RKL3OJMVPTNOZ3R66AWKLGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 16, 2019",2,1,https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/product-reviews/B06ZY896ZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,This product was purchased with another product.. I am completing the same review for both...So I purchased this item a while back.. I really needed to clean my car but I rally wasn’t looking forward to it ( it’s like emptying the dish washer)....but last Sunday I woolens up and tackle that job.. the vacuum made things so much easier... I appreciate that it had all the little accessories help do a through job....I also received the car spray and the mop.. so worth it.. I would make this purchase again..,Best Vacuum,Color: BlackVerified Purchase,263 people found this helpful
Simon Garfunkal,/gp/profile/amzn1.account.AHY2GZDO4RQPFOWLEMBRM4OZG6MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 3, 2018",0,2,https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/product-reviews/B06ZY896ZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Great little vacuum! I have used it twice so far and I am not disappointed. I got a follow up email a few days ago from the seller, the p.p.s stated to turn on the engine when using the vacuum. I found that out earlier as I had the stereo on in my truck while vacuuming and noticed the sound degrade from my speakers, I started the engine and all was good again. I cracked the brush accessory by accident trying to fit it over the longer adapter, but it seems to still work fine. The carrying case is very nice and everything fits in it.",Great little vacuum,Color: BlackVerified Purchase,239 people found this helpful
Jessica Lambert,/gp/profile/amzn1.account.AGJBYQ5AYO5EHYWB3X6VDICIUPOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 3, 2019",0,2,https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/product-reviews/B06ZY896ZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I figured with so many great reviews I couldn’t go wrong giving it a shot. Did it get my Nissan Versa relatively clean? Yes. Did it take five hours to do so? Yes, yes it did. It did pick up some dirt out of my car, but it struggled to pick up dog hair ( which is the main thing I wanted it to clean) and anything that wasn’t super fine. The suction is not strong at all, but like I said- technically it did pick up some dirt, just not enough for me to justify running my car for five hours. The filter had to be cleaned every five minutes, but it never really got full. It over heats and has to shut off. The vacuum doesn’t seem to work at all on its own without one of its attachments. The rest don’t work at all. My recommendation? If you don’t have five hours to spend cleaning your car, skip this one.",Does this work? Technically.,Color: BlackVerified Purchase,142 people found this helpful
sandra,/gp/profile/amzn1.account.AFOJMFUKGYKY5KQ2Y66MAYHVB56A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 21, 2018",0,2,https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/product-reviews/B06ZY896ZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"This car vacuum is awful, it doesn’t suck up anything. I don’t know if it’s just the one I got or if they are all like this but It makes a god awful sound that makes you just want to throw it in the trash!",Doesn’t work well,Color: BlackVerified Purchase,139 people found this helpful
