author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
TJ Burke,/gp/profile/amzn1.account.AFYK3B43JT4OSZT2XS3YSGPWTLAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 1, 2018",1,,https://www.amazon.com/TP-Link-AC1750-Smart-WiFi-Router/product-reviews/B079JD7F7G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"You see my momma used to say ""there is a great big world out there.  That I needed to stop lifting weights in my room, stop watching tv in the basement, stop playing video games on my Intellivision.""  I have  always had that voice in the back of my head.  I have moved out on my own and started a family, but I for the past  22 years I just keep coming back to what my momma said.Well I finally did something about it and used the interwebs at my local buffet style family dining establishment (borrowing my momma's smartphone) and ordered the TP-Link AC1750 Smart WiFi Router, as a companion piece to a modem surfboard.  I am not what you would call well with the electronics, but this piece of manufacturing was easy for me to set up and even brought my son and I closer together as we worked on it as a daddy/son project.Once this was set up the whole family dynamic changed, the kids no longer fight with each other, my wife no longer hollars stuff to me at my face, we watch the entertainment on the tv with the airdropping of shows and movies.My momma was right... there is a whole great big world out there, and now my family and I can see if wireless from our phones and tablets!",Mama said...,"Model: AC1750, WiFi 5 RouterVerified Purchase","1,623 people found this helpful"
Kikkomann,/gp/profile/amzn1.account.AFMWUQHB5QY36SMYKMQV42TOMQGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 26, 2019",2,,https://www.amazon.com/TP-Link-AC1750-Smart-WiFi-Router/product-reviews/B079JD7F7G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Prior to this purchase, I had 3 other wireless routers that I returned because they just won’t work! I got tired so I bought the cheapest one (this) instead. To my surprise, this is the one that worked for me. I like the router admin page’s ease of use, as well as the phone app (named “Tether”) made by TP-Link. The admin page can also generate a QR code which you can print and put in a wall so whenever you have guests, they can just scan the QR code to connect to the internet.",No-Frills Wireless Router,"Model: AC1750, WiFi 5 RouterVerified Purchase","1,069 people found this helpful"
DangerrD,/gp/profile/amzn1.account.AHSUWRW7JW4EHRDN3IZ2QTTFBEMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 15, 2018",0,,https://www.amazon.com/TP-Link-AC1750-Smart-WiFi-Router/product-reviews/B079JD7F7G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I have Mediacom 200 Mbps service. Setup was fast and easy. Connected to three smart TV's, two Home Theater Receivers and three desktop PC's without issue.One PC is wired direct through the LAN port I get 240-255 Mbps. My second PC is at the opposite end of my 1740 sq/ft house from the router and I use a TP-Link Archer T4UH adapter I get 170-180 Mbps download speed. My third PC is only about 25 feet away using a Belkin model F9L1109v1 adapter I get 142-145 Mbps download speed: I also tried a Netgear AC1200 adapter model A6210 that gets about 120 Mbps on this PC.My point is the wireless adapter you use will make a difference. This router is on most top 10 lists for 2018 and cost a lot less than the others on those lists.I am happy with the performance so far. I just hope it lasts longer than the last TP-Link router I purchased.",Happy So Far,"Model: AC1750, WiFi 5 RouterVerified Purchase",937 people found this helpful
Ol' Hesty,/gp/profile/amzn1.account.AGA2WEYL2VFKKPE2PL5PTZIDBGPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 21, 2018",0,,https://www.amazon.com/TP-Link-AC1750-Smart-WiFi-Router/product-reviews/B079JD7F7G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I bought this router after a thunderstorm took out both my routers, apparently a surge blasted thru my CAT5 cable and fried everything.  Lucky for me my $250 mega monster Linksys router (main router) was still under warranty at Bestbuy, (very easy to claim BTW). My access point router was pretty old and probably needed to die anyhow.  I started looking and didn't want to break the bank on some really expensive router, just one that would push 100Mbps (my max ISP speed) and had relatively good distance, so I bought this one.  I think I was out the door at $62 on Amazon, and one day delivery.  Had this sucker set up in no time as an access point, and very easy to do, click the box that says access point on set up, rename the SSID to the same as your main router with same password, and presto, your golden.  This is my first TP Link router, and I must say I am impressed with the set up.  The routers log in page is very user friendly and easy to navigate.  Unless you are going to do some serious router configurations and whatnot, then this is an excellent choice if you are in the market.  I am writing this on October 21, 2018, and should something happen or if I get some dropped signals from it, or have any issues with it, I will definitely keep this review updated as I believe that YOU should deserve to know what you are considering for a purchase.",Not bad at all,"Model: AC1750, WiFi 5 RouterVerified Purchase",835 people found this helpful
NerdyElf,/gp/profile/amzn1.account.AFZRRQGY23YPVRA7HJXS5MLTK43A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 21, 2018",0,,https://www.amazon.com/TP-Link-AC1750-Smart-WiFi-Router/product-reviews/B079JD7F7G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"The router arrived while I was at work, so my teenage son transferred all the cables from the old router to the new one, configured the password, and everything worked perfectly without any advanced config. Our network printer connected flawlessly to the router, and I then reconfigured the printer on 3 computers running Windows 10. It has never been so easy to set up that printer. Much easier than my old Netgear router ever was.",Best out-of-the-box experience!,"Model: AC1750, WiFi 5 RouterVerified Purchase",696 people found this helpful
Keith Baker,/gp/profile/amzn1.account.AEHOPP73Z6OZZEVOF6N47KRB6ZJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 18, 2018",0,,https://www.amazon.com/TP-Link-AC1750-Smart-WiFi-Router/product-reviews/B079JD7F7G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,This is a replacement for a 15 year old router I had but it works beautifully.  If I would have known that it would work this good I would have bought it a long time ago.  Covers the entire apartment all the way to the street and parking lot.  Says to can handle 50 devices so I am not sure about that but I do know at least 12 devices it can support.  No drop signal or dead spots.  Fast deliver to.,Great product,"Model: AC1750, WiFi 5 RouterVerified Purchase",602 people found this helpful
Crazy legs,/gp/profile/amzn1.account.AEJBGJS2CPV6TQH5SWTTGVIPHTZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 3, 2018",0,,https://www.amazon.com/TP-Link-AC1750-Smart-WiFi-Router/product-reviews/B079JD7F7G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,I installed several smart devices with different aps in my condo and became concerned I may open my network to hacking. Replaced my old router with a built in modem with this TP-Link AC1750 and a TP-link Modem. After reading some of the reviews I had real concerns about failing on the installation. The installation of both were easy and I was able to get all of my devices back on wifi quickly. I installed all of the smart home devices on the guest band keeping them out of my network. Everything is working better than I expected.,Good Value,"Model: AC1750, WiFi 5 RouterVerified Purchase",578 people found this helpful
Jordan W,/gp/profile/amzn1.account.AGXLLGSCIQ6O22CDJFN43W2WTBNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 14, 2018",0,,https://www.amazon.com/TP-Link-AC1750-Smart-WiFi-Router/product-reviews/B079JD7F7G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"This being my second tp-link router, I love the reliability of the product and they have excellent tech support when needed. This model comes with the tether app that is very easy to use.",Affordable yet reliable,"Model: AC1750, WiFi 5 RouterVerified Purchase",542 people found this helpful
sms87,/gp/profile/amzn1.account.AGITQHPC5FXJDDZ2PGXNV3BUN2CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 2, 2018",0,,https://www.amazon.com/TP-Link-AC1750-Smart-WiFi-Router/product-reviews/B079JD7F7G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"After getting the router setup I had the hardest time getting access to the Net. The password didn't work at first and my PC couldn't connect.Half the problem was my fault. I wanted a dual network and simply misconnect the PC. Once that was done I still had issues with the router. I had Wi-Fi signal but couldn't connect. After reaching to TP-Link , which didn't get back with me, I searched online and figured out that I had to go to the router link ( http://tplinkwifi.net ) to gain total access. After this was achieved I was able to setup passwords and instantly my PC was connected to the NET. I'm not tech savvy and the instructions were vague but I am happy with this router. My other router is the TP-Link Touch which I truly love.TECH NOTE:For those who are not tech savvy just remember to have all your connected devices off..including the modem. Once you have made the correct connections plug in the router and wait for all lights to come on then plug in the router and wait for all lights to come on especially the internet light, then lastly turn on all device that you have connected to your router.Another note: Your cable line goes into your modem...then the Ethernet cable from the modem goes into your WAN/Internet port...and the Ethernet cable from your PC goes into one of the ports on your router. Remember to go the routers link and type in the IP Address.",Oh Boy....That was rough,"Model: AC1750, WiFi 5 RouterVerified Purchase",526 people found this helpful
Marcos Cuevas,/gp/profile/amzn1.account.AH3MDZOJWRTNK3QGRQOJSUJIIXIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 28, 2018",0,,https://www.amazon.com/TP-Link-AC1750-Smart-WiFi-Router/product-reviews/B079JD7F7G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"Gigabit confirmed. After a much troubleshooting, I’m getting full 950mb+ speed thru Ethernet on the Router. Sadly Gigabit is too advanced & nothing supports gigabit wifi yet so there’s no way to test wifi speeds. It’s future proof I guess.My iPhone maxes out at 250mb & I hit that easy. The UI & LED night time settings are worth a try. ZERO latency on PS4. Instant HD streaming.4 stars cuz there’s no way to test the wifi.",Best Interface & Features,"Model: AC1750, WiFi 5 RouterVerified Purchase",361 people found this helpful
