author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Blairfilm At Gmail,/gp/profile/amzn1.account.AFL3M5VOAEBY7VE63JDT4C7FRRKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 8, 2018",1,16,https://www.amazon.com/product-reviews/B07RNS2HS3/ref=zg_bs_home-garden_cr_1?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"Yankee Candle Company candles used to see so high priced to be before I began buying candles. I love candles so much that most every day I'm either enjoying a fragrant candle or wishing I'd ordered more. Less expensive candles burn fast and often leave a black stain on the ceiling above. Or when you put them out you'll see dark smoke that kind of makes you wonder if burning candles is a smart thing to do for your living environment. The minute I began buying these Yankee Candle Company candles I realized they burn very clean and burn for about three times the length of a traditional brand. I bought 3 of these and my large apartment smells like a Christmas cookie but not so strong that the sweetness is overwhelming. I love to relax in bed, with my dog, Logan, at my side, and enjoy the beauty, fragrance and relaxation that only Yankee candle delivers always. If you can find these on sale and if the ratings are great then you should be making a purchase right now. I hope this helps. I don't receive anything in return for a review. Just a happy camper with these candles. And I'm a dude!",I love candles so much that most every day I'm either ...,Size: Medium Perfect PillarStyle: Christmas CookiePattern Name: CandleVerified Purchase,247 people found this helpful
Amy Elizabeth Taylor,/gp/profile/amzn1.account.AHJGMYASJQEHY5GOZ4V4KDJ35AKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 8, 2018",0,5,https://www.amazon.com/product-reviews/B07RNS2HS3/ref=zg_bs_home-garden_cr_1?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"Dissatisfied purchase. All Yankee Candle products I have bought in the past have been fantastic, however, these particular candles gave off relatively no scent. Would compare it to a cheap Walmart brand candle and wouldn’t recommend.",Not up to par. Would not recommend.,Size: Large JarStyle: Balsam & CedarPattern Name: CandleVerified Purchase,151 people found this helpful
S. Dial,/gp/profile/amzn1.account.AFJNX2KHQHEE267KUMQGMTVDHQDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 4, 2018",0,6,https://www.amazon.com/product-reviews/B07RNS2HS3/ref=zg_bs_home-garden_cr_1?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"I purchased three of these candles for my aunt (who is located in a different state across the country from where I live) who has severe mobility issues and wears a colostomy bag as a result of cancer treatment. She requested good quality & good smelling candles to help with the smell when she and her caregiver change her bag. I purchased the Balsam & Cedar, Lavender and Sparkling Cinnamon candles thinking that each would offer a pleasant and varied aroma depending on her mood. She was excited to receive the package and quickly tried each of the candles. Both she and her caregiver remarked that all three of the candles smelled ""cheap"", they said that ""they smell like Lysol"" and they're reminiscent of ""dollar store quality candles"". I am exceedingly disappointed. I expect more from Yankee Candle (a brand that I've personally used in my own home and normally have a high opinion of), I expect better quality for candles that cost more than $10 each. At the very least I expect for each of the candle aromas to be distinguishable from one another. Now my aunt is stuck with three terrible smelling candles that she won't use, and I think we can all agree that the situation must be bad if you prefer the smell of human waste to a product designed to freshen the air.",Smelled Bad,Size: Large JarStyle: Balsam & CedarPattern Name: CandleVerified Purchase,131 people found this helpful
Barbara Elyse,/gp/profile/amzn1.account.AEPHEMRYFVSRBOED35VPJKV4OUOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 1, 2018",0,6,https://www.amazon.com/product-reviews/B07RNS2HS3/ref=zg_bs_home-garden_cr_1?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,the scent was so perfect for the holiday season and now after - they last and last and last - chose not to do a tree and the scent of this candle allowed me to have the fresh scent of a Christmas Tree without the work and clean up - the candle was so satisfying I purchased another a week later for the back of the house.,the Fresh Scent of a Northern Forest,Size: Large JarStyle: Balsam & CedarPattern Name: CandleVerified Purchase,129 people found this helpful
BIG_LYD,/gp/profile/amzn1.account.AFV4IU672ZGGXL25TU64WXNCEXCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 18, 2018",0,4,https://www.amazon.com/product-reviews/B07RNS2HS3/ref=zg_bs_home-garden_cr_1?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,My absolute favorite Yankee candle scent!  Use it year round.  Nice outdoor/natural scent that isn’t overpowering.Make sure to burn candle one hour for every diameter inch (approximately 4 inches for large jar) so that the wax melts evenly and you don’t waste any of the candle wax.,Favorite Yankee candle scent!,Size: Large JarStyle: Balsam & CedarPattern Name: CandleVerified Purchase,110 people found this helpful
LaFawnDuh,/gp/profile/amzn1.account.AGYGPKEA6GREVDLU5GYKSJV4PJ7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 9, 2018",0,2,https://www.amazon.com/product-reviews/B07RNS2HS3/ref=zg_bs_home-garden_cr_1?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"This candle transplants me instantly to the dark Canadian wilderness. Trees, pine cones and even a hint of snow come alive in a true treat for your nostrils. Be careful though, Fire is hot!",Excellent candle.,Size: Large JarStyle: Balsam & CedarPattern Name: CandleVerified Purchase,76 people found this helpful
JAM,/gp/profile/amzn1.account.AGYWLZPDQR24TTUGVGWREQPPGVRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 29, 2017",0,1,https://www.amazon.com/product-reviews/B07RNS2HS3/ref=zg_bs_home-garden_cr_1?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,2016 Christmas Cookie candles smelled wonderful. I purchased 3 this year and they didn't have near the rich cookie fragrance as it did last year and years before.. Something is definitely different. Disappointing......,Not the same rich cookie fragrance as in the past,Size: Large JarStyle: Christmas CookiePattern Name: CandleVerified Purchase,79 people found this helpful
Jaline,/gp/profile/amzn1.account.AFHT5YHHQ3XH4RFWVREDM6WVFX4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 17, 2018",0,1,https://www.amazon.com/product-reviews/B07RNS2HS3/ref=zg_bs_home-garden_cr_1?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,Balsam & Cedar has always been one of my favorite Yankee scents! I really like this scent for the holidays.Mine arrived in perfect condition and the scent lasted until the was was gone.,Love Balsam & Cedar,Size: Large JarStyle: Balsam & CedarPattern Name: CandleVerified Purchase,64 people found this helpful
Shanetx,/gp/profile/amzn1.account.AGO7HTP4OVG36MMXUHLN6D3HHQ6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 25, 2019",0,1,https://www.amazon.com/product-reviews/B07RNS2HS3/ref=zg_bs_home-garden_cr_1?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,I have been burning this fragrance since it came out around 1994. It was the strongest and most beautifully blended Christmas scent that Yankee had put out. I would let it burn during the season and it fill my home with the smells of the season. The label was the most festive next to the Christmas Eve label that you could find from Yankee. Then they changed the Label before the latest change it slowly but since the label change the fragrance was never the same.  It became more of a metallic scent and did not have the depth it did for all the years. It seemed like it had been watered down. The most recent pours have been just a ghost of what it once was. I miss burning it during the holidays and have stopped buying it after 20 years of wonderful Christmases.  Im sorry all the people now buying it that give it 5 stars didn't know the beautiful seasonal scent it once was. But I guess Im glad that it is still purchased. Just wish it was the way it use to be.,Its too bad.,Size: Large JarStyle: Home For The HolidaysPattern Name: CandleVerified Purchase,28 people found this helpful
matt stalone,/gp/profile/amzn1.account.AH6FDTY3JFRNSBDLCTJF4RVQHGSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 20, 2018",4,0,https://www.amazon.com/product-reviews/B07RNS2HS3/ref=zg_bs_home-garden_cr_1?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,3.0 out of 5 stars,"Smells great, but candle arrived misshapen, as seen in photos. Wick not at surface.",Three Stars,Size: Large JarStyle: Balsam & CedarPattern Name: CandleVerified Purchase,32 people found this helpful
