author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
BTSM,/gp/profile/amzn1.account.AGO2EB2GCD2EINUB3MYJVLTYVQEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 20, 2018",0,4,https://www.amazon.com/Cartman-Orange-39-Piece-Tool-Set/product-reviews/B00RF9J8DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,3.0 out of 5 stars,"I purchased this kit because it was inexpensive, small, but still had the typical tools you might need in a pinch. Only thing I didn't notice until I needed it was there are no philips head screw driver bits! There are regular, start tips, and allen tipped bits, but there is also and allen wrench set that comes with it, so I think the allen screwdriver heads is a little redundant, especially at the cost of phillips head bits. other than that its been handy.",missing one vital part,Verified Purchase,149 people found this helpful
Star,/gp/profile/amzn1.account.AF5SGRBAEGOUVMO36P52VGW5XFRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 13, 2016",0,1,https://www.amazon.com/Cartman-Orange-39-Piece-Tool-Set/product-reviews/B00RF9J8DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"If you are a small woman like me, then you will really appreciate this toolkit. I know that some reviews said that they gave these tools to their kids to play with, but I really hope they were joking. This tool kit is NOT for children. The tools are sharp and the hammer is heavy enough to do serious damage when swung like any other hammer. Anyway, I use the tools to hang things and assemble small furniture pieces. I hate going into the garage in the hopes that my husband put the hammer back in the same drawer. This kit is very light and convenient to me.Edit: After about a year of use, the magnet in the screw driver came loose and fell out. I messaged  the seller about any ways to get a replacement magnet, but did not hear anything back. Then one day there was a package at my door with a totally new kit! I had initially gave four stars because my first case did not close and I just used another bag. However, this new case actually closes and all the tools seem to stay put. Thanks for the service! Still love my pink tools (and now my husband is using them).",Great for small people,Verified Purchase,152 people found this helpful
teridene,/gp/profile/amzn1.account.AHCN7UNIAGJ27ULM5SZASQQ3OUDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 16, 2017",1,0,https://www.amazon.com/Cartman-Orange-39-Piece-Tool-Set/product-reviews/B00RF9J8DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Perfect! No longer do I have to ask my husband for a plier or a screw driver then wait until he decides to go get one for me. He's a contractor and takes any tool I bring in the house to work only to be swallowed up in his truck. I hope the pink color will deter him from taking these tools to work. To make sure  I hid this tool box in the China cabinet and have used it multiple times! Its so nice! I need a screw driver, I just go get it, I need a tape measure, I just go get it! No more waiting for my hubby! I think I'll get a drill and sander for myself next. The tools are heavy duty and durable. The case is super handy. Great buy!",Every woman should have their own tools.,Verified Purchase,115 people found this helpful
J. allen,/gp/profile/amzn1.account.AF3QBGC7LLRYGJSU46N25XLXPV7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 24, 2017",0,1,https://www.amazon.com/Cartman-Orange-39-Piece-Tool-Set/product-reviews/B00RF9J8DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Bought these for my Grand daughter in her first apartment.  Did every job she had, whether hanging pictures orrepairing fireplace screen or installing light plates.  Everything necessary is there.",Bought these for my Grand daughter in her first apartment ...,Color: Orange 39pcsVerified Purchase,84 people found this helpful
Russell C.,/gp/profile/amzn1.account.AGV25ASIJ2HBMPVLQDLTEPHBHPXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 31, 2017",0,1,https://www.amazon.com/Cartman-Orange-39-Piece-Tool-Set/product-reviews/B00RF9J8DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Bought this tool set for my daughter's first apartment.  She tells me it has come in very handy and she has loaned it to several other apartment dwellers.  Glad I got it for her and gave her a short lesson on what each tool might be used for.  It has all the basics covered for a DIY small job or for assembling that new gizmo.  I told her that when she has a male friend over, to break out the tool kit and ask him what each tool can be used for.  If he cannot name 3 uses for each, show him the door.  If I am going to have a son-in-law one day, I want one that can fix things!  I am not getting any younger and want another pair of hands that can do some work around here - as I supervise.",Great apartment-size tool set,Color: Orange 39pcsVerified Purchase,69 people found this helpful
Brad Groux,/gp/profile/amzn1.account.AGVSEGMGBNX4WEHBSLNNNUOCQAPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 30, 2016",0,,https://www.amazon.com/Cartman-Orange-39-Piece-Tool-Set/product-reviews/B00RF9J8DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,4.0 out of 5 stars,"This is what it is. A cheaply made toolset for around the house or car that will work in a pinch or is  handy to have around. If you'll notice, there are actually two other toolsets identical to this model, one with red accent colors on the case and tools, and one with green. They are all the same, and just branded by separate companies. I purchased this to perpetually stay in the trunk of my car for emergency or random usage.",The build quality isn't perfect,Color: Orange 39pcsVerified Purchase,35 people found this helpful
Playbooth,/gp/profile/amzn1.account.AHLCZLXMF5XQ2XOLPGPGZUDHMV7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 2, 2019",0,0,https://www.amazon.com/Cartman-Orange-39-Piece-Tool-Set/product-reviews/B00RF9J8DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,2.0 out of 5 stars,"This is one of those ""it has to be made in China about 20 years ago"" type of products.  This isnt worth the money and is just a waste of money.Having purchased this as a simple tool kit, you have some form of expectation that the product will survive the trip. Upon opening the product, the knife was broken, the tape measure plastic broken as well as many pieces not secured. Even when attaching the metal components to the screw driver they would fall off almost immediately.  I have since thrown this away.My recommendation, dont buy it. Just spend more money on a Ryobi or top brand one and have that set survive for years. This just isnt worth it even for simple jobs.",Don't waste your money.,Verified Purchase,3 people found this helpful
Andre,/gp/profile/amzn1.account.AHZNXVBKVBRUTZNZJ2MUWX22FJTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 2, 2018",0,0,https://www.amazon.com/Cartman-Orange-39-Piece-Tool-Set/product-reviews/B00RF9J8DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,3.0 out of 5 stars,"I'll be straightforward and say that I was too lazy to return this. I've kept it, tried to correct the problem myself (maybe 50% succeeded) and the entire rest of the set has been very useful and solidly reliable. But when the set arrived, the replaceable screwdriver tip had four or five circular magnets jammed inside?? I literally can't even imagine how this could have happened. I was able to remove two of them, and can basically use it now but it's awkward and the replaceable tips tilt a little. Really sucks i don't have a perfect screwdriver but again, the rest of the set is great so 3 stars...",Magnets Jammed into the Screwdriver???,Color: Orange 39pcsVerified Purchase,2 people found this helpful
NYChica,/gp/profile/amzn1.account.AGCUWEL52VFAI5QU2PDROAE57D7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 3, 2017",0,0,https://www.amazon.com/Cartman-Orange-39-Piece-Tool-Set/product-reviews/B00RF9J8DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=5,3.0 out of 5 stars,"Love this tool box!! Its enough and more for me to put together furniture and other little things around the apartment. The number of tools provide great versatility and I am very happy with the quality of the tools. The price makes it a no-brainer. Everyone needs one of these!UPDATE: I've had it for a couple of years now and which I still like it, the quality is poor. The tape twisted within the first few uses and the first 3 inches of so has been twisted since. today- when I used the tape- it snapped off the holder, now there's no way to retract it- its basically two parts so I have to trash it and buy a new measuring tape.The screwdriver inserts metal tips rubs off each time it's used, which makes it less effective with each use. Overall for the price its okay but if I have to replace parts after a couple of years...I would rather pay more for a better quality tool set that lasts longer.",Perfect toolbox for an average person!!,Color: Orange 39pcsVerified Purchase,One person found this helpful
S. Thomas,/gp/profile/amzn1.account.AEXNXZGKF6H5RZQG4PV6W3NH4HNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 11, 2017",0,0,https://www.amazon.com/Cartman-Orange-39-Piece-Tool-Set/product-reviews/B00RF9J8DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Bought this as a gift for my guy, who is very particular (I half figured I would probably have to send it back). However, he loves it and says he more than impressed with the quality and versatality of the tools.","Bought this as a gift for my guy, who ...",Color: Orange 39pcsVerified Purchase,61 people found this helpful
