author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,helpful_votes,total_review,visibility_status
DadOrDieTrying,/gp/profile/amzn1.account.AEGQD3RZGDE5CPWZLFKEFN76GT6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 26, 2016",0,2,https://www.amazon.com/Hasbro-A5640-Connect-4-Game/product-reviews/B00D8STBHY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"We absolutely love this game! The sad part is that the world has become accustomed to cheaply made products. Unfortunately, this is just a price we have to pay if we want affordable products. Hasbro has done a wonderful job ensuring that Connect 4 continues to be a part of our lives, but if you're looking for the sturdy game you had when you were a kid, this one falls a little short. The rack is flimsy and made of thin plastic, and the discs lack that heavy checker weight, BUT they totally work. Just mentioning it for the people who are nostalgic, this game just feels a little different. Our kids don't know the difference and it certainly doesn't matter when you measure the memories that were making with them, but it is nice to remember some of the differences from when we were kids.",Still the Same Awesome Game!,Verified Purchase,117 people found this helpful,2616251,783,188,Public
Small~Town~Girl,/gp/profile/amzn1.account.AHQ4VAOPWBYUD3FUNK53CM6N77BA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 23, 2017",5,9,https://www.amazon.com/Hasbro-A5640-Connect-4-Game/product-reviews/B00D8STBHY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Hasbro Connect 4 Game was one of our daughter's absolute favorite games to play, growing up. In fact, she and her dad played a game of it almost every night as part of her bedtime routine. Our daughter now has kids of her own and it is time to continue the tradition of playing this game. We ordered it at Christmastime and have been looking forward to playing it with the grandchildren. It got set aside, but has now been noticed again by our grandson and he is very excited to play it. Got it out and put it together, ready for his next visit. Looks about the same as it did back then. There is some fun to be had here. Looking forward to many years of making new and fabulous memories of Connect 4 with the grandchildren.",~ Continuing the Connect 4 Tradition with the Grandchildren ~,Verified Purchase,69 people found this helpful,190687,63,53,Public
Pop Bop,/gp/profile/amzn1.account.AE2XE2JL5O4JVJYJ4PHY567N6BHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 26, 2019",0,0,https://www.amazon.com/Hasbro-A5640-Connect-4-Game/product-reviews/B00D8STBHY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Anyone can play it. It's ready to go out of the box. You can play for minutes or an hour. Losing a disc somewhere under the couch isn't the end of the world. Kids different ages can still play with each other. This is an essential go to the toy closet sort  of item. I was afraid a new one like this might be cheaper feeling or flimsier than the older ones, but was pleased to see that while it won't survive really rough handling the toy is durable enough for normal little kid play.",There's A Good Reason It's A Classic,Verified Purchase,33 people found this helpful,613464,"14,488","2,247",Public
DobieOne,/gp/profile/amzn1.account.AGDXBVG23EX7WWB6HSVEKWP5TJUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 22, 2017",0,0,https://www.amazon.com/Hasbro-A5640-Connect-4-Game/product-reviews/B00D8STBHY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"OK, This one was the biggest hit of all. Of course, she beat the pants off of me but had a great time doing it. Grandparents beware - your little grandchildren love playing games and they are good at it. My 7-yr-old granddaughter can play me like a fiddle and beat my butt on Connect 4. Finally after beating me time after time, she admitted that one of her pre-school teachers had taught her game strategy on winning in this game and she took pity and tried to teach me some of her tricks. :) Gotta love the little children.",CONNECT 4 WAS A HUGE HIT WITH MY 7-YR-OLD GRANDDAUGHTER :) She beat my pants off,Verified Purchase,27 people found this helpful,134374,"1,799",124,Public
shopgirl,/gp/profile/amzn1.account.AHR6HOLLEBPKBL43Z5ZMJKQZRBTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 27, 2016",0,0,https://www.amazon.com/Hasbro-A5640-Connect-4-Game/product-reviews/B00D8STBHY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I really loved Connect 4 when I was a kid. Then I bought this for my 3 year old and 1 year old. Although they are not playing by the rules, putting the discs into the slot keeps them busy. It's also a good tool to teach colors and counting as well as learn about taking turns. A+ plus in my book.",Great learning tool for toddlers.,Verified Purchase,41 people found this helpful,2599895,483,161,Public
RedPanda,/gp/profile/amzn1.account.AHFJ7TYWIMPRWU5HDOIUXYM4SW6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 25, 2018",0,0,https://www.amazon.com/Hasbro-A5640-Connect-4-Game/product-reviews/B00D8STBHY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I bought this to relive my childhood memories back in elementary school, but also to teach my nephews how to play Connect 4. It's so fun and easy to learn. I am a cynical uncle by making my nephews eat the Beanboozle Jellybeans if they lose (which is 98% of the time). Other than that, very quick, easy, entertaining, and builds strategies for young children where their brains are still developing via the Connect 4 game (probably not the jellybeans part).",A Fun Classic Game,Verified Purchase,13 people found this helpful,617899,,,
"Teacher, Mom, 40-Something",/gp/profile/amzn1.account.AG6CJA7ZDG3L3RZ6CDLALX6SBESQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 19, 2016",0,1,https://www.amazon.com/Hasbro-A5640-Connect-4-Game/product-reviews/B00D8STBHY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This is the same classic game that I played when I was a kid, and now I can play it with my children! The goal is the same--to get four colors in a row. At first my children struggles with predicting where a player might go next, but after playing with it for a while, they've really started to get the knack for it. It has helped them to develop critical thinking skills. We got the game at Christmas, and it's now eight months later and they still pull it out to play all the time. I think this one will be a keeper.",What's Not to Love with this Classic?,Verified Purchase,20 people found this helpful,3435623,,,
K. Polizzi,/gp/profile/amzn1.account.AHOFN32IM6KF7T6MV5JFGAXOGCKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 21, 2019",0,1,https://www.amazon.com/Hasbro-A5640-Connect-4-Game/product-reviews/B00D8STBHY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I bought this game for my two boys (9 and 6) to play together because i remembered having it and loving it as a child and knew that they would enjoy it also. I was right. They played non stop, switching sides constantly hah. Game is sturdy enough to withstand my boys and thats saying something. I wouldn't travel with the one of the original size because it would be tricky, with all the counters etc but you could make it work using the box as a level ground to play on. I would go ahead and just purchase the miniature version though if needed for the car. There are so many wonderful ways to use Connect Four as a game, especially if homeschooling. For instance, I used little round price stickers and wrote letters on them to teach my youngest his letters. The players would then say the letter names and sounds as they put them in the slot. Then, with my oldest, I wrote sight words. You could do numbers, suffixes, nouns etc. Love that this game is also one I actually want to play. I dont run and hide when my kids suggest playing a board game anymore. It's quick, fun and easy to put away when done. Gets them thinking of strategy and, as stated above, many other things depending on how you use it. All round great game.",My fave childhood game!,Verified Purchase,2 people found this helpful,556732,,,
ChiGirl,/gp/profile/amzn1.account.AHKV637UH5EGLPEBCXJCKFC5U3XA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 24, 2020",1,0,https://www.amazon.com/Hasbro-A5640-Connect-4-Game/product-reviews/B00D8STBHY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"This is a review of Amazon warehouse product and not the game itself.  I bought from Amazon warehouse because I thought the pieces might get lost before my child is old enough to understand strategy.  The description said box was damaged but product was new.  This is clearly not true.  Additionally I normally just drop return off at whole foods which is really easy for me, but that is not an option for this product so it's going to be a pain to return.  They should let me throw the item away and refund my money",Badly damaged game,Verified Purchase,3 people found this helpful,881542,"8,664","1,468",Public
Kronin323,/gp/profile/amzn1.account.AH2K7AM73R5IMJT4HEDIWHEQ4ELA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2017",0,0,https://www.amazon.com/Hasbro-A5640-Connect-4-Game/product-reviews/B00D8STBHY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"The classic game, just like I remember from my childhood. (Or is it? I remember the pieces being red and black, not red and yellow, but maybe I'm confused...)Introducing it to my daughter, she's loving it.For classic gameplay, this does the trick.  However, this original design only allows classic gameplay, due to an all-or-nothing mechanism to remove pieces from the bottom.  Apparently other versions of this game exist that allow you to remove pieces one at a time, which allows additional variations of gameplay.  Check out the Wikipedia article on this game for descriptions of those variations, if interested.So, 5 stars for the classic game, minus one star for the lack of the more advanced one-at-a-time removal mechanism.",Classic,Verified Purchase,6 people found this helpful,79010507,252,258,Public
