author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,helpful_votes,total_review,visibility_status
Person,/gp/profile/amzn1.account.AF2VYYXSMYF2N5N5NJG4QAXLUZRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 1, 2019",1,4,https://www.amazon.com/Kids-Against-Maturity-Original-Humanity/product-reviews/B076PRWVFG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"Bought this game for our family vacation. Had high ratings and awards and said for ages 8+. I have an 8, 11 and 13 yo and parental guidance is strongly suggested. Was surprised by some of the cards included in this game, especially since the game website says for 6 and up, and the ages of the kids pictured in the description. Most cards are funny and potty humor but I’d still not feel comfortable letting my 13 yo play alone with his friends without removing several cards from the deck.On the other hand, my husband and I found the game fun. Lots of old school references and not as raunchy as CAH.","Funny, but not appropriate for stated age.",Verified Purchase,"1,008 people found this helpful",62593673,"1,078",23,Public
Roberta,/gp/profile/amzn1.account.AFKIBZJRTCGYH2UNWECBSL627E2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 11, 2018",0,30,https://www.amazon.com/Kids-Against-Maturity-Original-Humanity/product-reviews/B076PRWVFG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,As a grand parent I did not realize the potty talk these cards would produce.  Over 75% of the cards used sexual/potty language.  I had looked at the top few reviews and thought this would be a great game for my 8 and 10 year old grand children.  I was rather shocked at the language on the cards.  I know I am of a different generation but I would not buy this game again even for older teens.,I am of a different generation,Verified Purchase,780 people found this helpful,126852,824,6,Public
Chris,/gp/profile/amzn1.account.AFRKMS4CVUG7VDBL5WIKUQVKJFQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 8, 2019",0,8,https://www.amazon.com/Kids-Against-Maturity-Original-Humanity/product-reviews/B076PRWVFG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"If you have any sort of humor in your blood, this is the family game for you. We ordered this game before we left for spring break so we could play when we needed a break from the beach/pool. It did not disappoint in the least. My kids, along with my nieces and nephews (ranging from 6-16) were laughing uncontrollably the entire time. The phrase possibilities are as creative and funny as you can make them. I think my 8 year old had the best time. He literally said the next morning after our first night of playing that his stomach was sore. If you’re one of those parents who get offended easy...you should definitely get this game and learn to loosen up a bit. We need to be able to laugh especially nowadays. And if we can’t do that with our kids, then who can you do that with. Great game and will be recommending it to all of my friends.",One word...Hilarious!,Verified Purchase,672 people found this helpful,506823,,,
Jessica T.,/gp/profile/amzn1.account.AERN6BQLKUUMCZJAPPASIVIHPKPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 27, 2019",0,1,https://www.amazon.com/Kids-Against-Maturity-Original-Humanity/product-reviews/B076PRWVFG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Your browser does not support HTML5 video.           I bought this game as a family game for my boys. We are a family of five, with the oldest who is 15 and the youngest is 6 years old. All of us find it very entertaining, even us adults. The game is stimulating and we always find words combinations that are silly and funny. My main concern was the level of appropriateness. I simply remove some cards based on the crowd playing with the game. We adults enjoy it too. One of my sons are very shy by nature and seeing him come out of his shell as he is playing with his friend, makes it worth it. As a mom, seeing your family laughing and interacting with one another is priceless!",Interactive game for kids of all ages!,Verified Purchase,651 people found this helpful,1910112,,,
Mother_of_5,/gp/profile/amzn1.account.AFO2C4PXEQTTQ6WCPMVXNWDIP5BA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 15, 2019",0,0,https://www.amazon.com/Kids-Against-Maturity-Original-Humanity/product-reviews/B076PRWVFG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"My family’s favorite game to play. We have family game night once a week and this is always the one everyone wants to play. Our kids are 12, 10 & 8. It’s great to hear everyone laughing and having a great time while playing it. There was a few (less than 5) cards my husband and I took out before we played it with our kids. They need to make expansion packs.",My family’s favorite game.,Verified Purchase,564 people found this helpful,17916,619,61,Public
Amazon Customer,/gp/profile/amzn1.account.AFX4D3EQSPDZRQ3Z6OSL6VLT2FMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 9, 2019",0,8,https://www.amazon.com/Kids-Against-Maturity-Original-Humanity/product-reviews/B076PRWVFG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"This game was purchased for my family with children ages 8 and up but after playing with my friend's 14 year old daughter, my kids wont be playing this.  Answers like Aunt Flo, The Gooch, and Neverland Ranch are not appropriate and open up discussions that don't need to be had at such young ages.  Also one round read ""King Kong played Ping Pong with his (Ding Dong) in Hong Kong.""  Again not really appropriate for kids.  For being a kids game answers like Electric Slide have no meaning to them and while I know ""poop"" jokes are funny to kids there are way too many of them in this game.",Not appropriate for younger kids.,Verified Purchase,234 people found this helpful,112276,268,2,Public
Amazon Customer,/gp/profile/amzn1.account.AERHONLUIVTUJVZ5PLSHWXKSRD6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 19, 2018",1,2,https://www.amazon.com/Kids-Against-Maturity-Original-Humanity/product-reviews/B076PRWVFG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Great game! Perfect balance between apples to apples and cards against humanity. The 1 star review that was left about it’s content I couldn’t agree less with, it’s mentioned on the description that it has innuendos in the game, and honestly any cartoon on tv today has the same, get with times old lady. We’ve played this with family and friends from ages 7-72 and had a blast every time. Nothing offensive. Cannot wait to play with the extended family at Christmas. 5 star! This is the second set I’ve bought (Santa’s coming)",⭐️⭐️⭐️⭐️⭐️,Verified Purchase,183 people found this helpful,62593673,188,6,Public
lesley haldeman,/gp/profile/amzn1.account.AGRPZW34AR3D26GDW7XMPR5NMSNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 2, 2019",1,1,https://www.amazon.com/Kids-Against-Maturity-Original-Humanity/product-reviews/B076PRWVFG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,We love this game! This is a real crowd pleaser. We hosted a family game night with friends and their kids and we all had a great time. We got the opportunity to unplug from our phones and share a bunch of laughs.This game is like cards against humanity but for the family. Kids like the silly cards and the adult humor is totally lost on them. Highly recommend this game!,A kids card game that’s actually fun for adults too!,Verified Purchase,524 people found this helpful,9483191,,,
Christy,/gp/profile/amzn1.account.AHUFOXVXF6XCKM72FPVNBT5JFWVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 25, 2018",2,11,https://www.amazon.com/Kids-Against-Maturity-Original-Humanity/product-reviews/B076PRWVFG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,Just opened the game to play.....and some cards we cant use. Will update after we play the game on how we like it. So just got done playing and I had to take all these white cards out. My kids are 13 and 10 and while they know what some things are these are just not appropriate in my opinion. I'm a pretty easy going person and mom but 'plump pageant moms' 'the gooch' and 'a fat lady in yoga pants' is just teaching kids it's ok to make fun of someone. We had fun playing but I would highly suggest removing these cards from your game.,Card are cut off....and some inappropriate cards.,,692 people found this helpful,62593673,511,10,Public
R. Siver,/gp/profile/amzn1.account.AG6X2GKSVY22FNZICWPAMZ7IHXDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 29, 2019",0,0,https://www.amazon.com/Kids-Against-Maturity-Original-Humanity/product-reviews/B076PRWVFG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I have played Cards Against Humanity and have taken out all the inappropriate cards in order to play with my tweens. Kids Against Maturity is perfect for the whole family! There are some cards that are a little edgy but not as outrageous as CAH. I highly recommend this game, it’s tons of fun!",Family Fun!!!,Verified Purchase,502 people found this helpful,2598938,542,3,Public
