author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Tim,/gp/profile/amzn1.account.AHTVNDN2QZZDHMMWU3GY57M6DPZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 19, 2017",0,1,https://www.amazon.com/product-reviews/B00D7OAOYI/ref=zg_bs_166225011_cr_4?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,"I was not aware when buying this that they made such a cheap piece of junk version but I'm furious. The board is warped so every time you try and pop the bubble all the pieces go flying unless all 4 players constantly hold down their sides with their hands. The pop bubble CAME BROKEN. It was in multiple pieces and now only works if I carefully put it together every time and hold the board down while we're playing. What a piece of junk. Hasboro made me think this was the original version and it's total crap. I'd like to just pay the couple bucks more to get the good version but I had no idea there was a difference when ordering and this version is just a joke. Totally broken, totally cheapo, basically unplayable. Trash.","Don't but this version, it's cheap trash. Get the more expensive version. So upset at Hasboro right now.",Verified Purchase,140 people found this helpful
Dawn B,/gp/profile/amzn1.account.AHWQJ26L3ZTPPD4YAQSJSD4CGKFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 6, 2018",0,0,https://www.amazon.com/product-reviews/B00D7OAOYI/ref=zg_bs_166225011_cr_4?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,"I would give this zero stars if I could. The quality of this item is very poor. It is flimsy and poorly constructed. It has new rules that I do not remember from the original game. I was so excited to get this game because I loved it so much as a kid, but my 8 year old hated it!  If you just want the game and do not care about how cheap the box is (it ripped when we tried to open the tape), or how cheap the flimsy piece of paper that you have to attach to the cheap plastic base is, then I guess you will be okay.  I wish I could return it, but we ripped the box so I am not sure if they will take it back.",Disappointed,Verified Purchase,58 people found this helpful
Amazom Customer,/gp/profile/amzn1.account.AGLJUYGVOHKVDB7B5XEND6UIZUNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 26, 2018",0,0,https://www.amazon.com/product-reviews/B00D7OAOYI/ref=zg_bs_166225011_cr_4?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,"Confusing rules. Poorly made. Pegs fall off when the lightweight board is even just jostled. Popper hard for kids to press and doesn't really roll the dice correctly. Hard to insert the flimsy paper insert under the side flaps which are supposed to hold it down. Rules are way too confusing. Here's a suggestion, download the classic instruction sheet from 2002 off the internet. Just search for ""Trouble Game Capital"" and there is the perfect PDF of the good old rules you remember. Box is thinner than a cereal box and opens with tuck in flaps, so get a zipper bag to store the pegs in. By the way, the box is not shrink-wrapped, just sloppily taped shut, so use a knife to slit the tape before opening. They've cut every corner for this game to keep the price low. It's dollar store quality, cheap and cheerful. Ignore the red numeral 1 on the dice, it's for some stupid new rule. Likewise ignore the ""Warp"" and ""XX"" markings on the board and just play by the old rules. Better yet look for a vintage set at a thrift store. Just use this cheapie to get started playing.",Dollar Store Quality,Verified Purchase,40 people found this helpful
Janet,/gp/profile/amzn1.account.AHAJVJKDJ65SUV2PVKDSEOEAJDIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 30, 2016",1,1,https://www.amazon.com/product-reviews/B00D7OAOYI/ref=zg_bs_166225011_cr_4?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,Very cheap. The paper does not even attach to the game. It just sits on top and is held in place by the pegs.,Very cheap. The paper does not even attach to ...,Verified Purchase,103 people found this helpful
Clan Worland,/gp/profile/amzn1.account.AF4I4VPECZJQBHYJCIUJAMV5DGFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 8, 2017",2,0,https://www.amazon.com/product-reviews/B00D7OAOYI/ref=zg_bs_166225011_cr_4?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,This game is very cheaply made. The game cover will not lay flat on the board causing the pieces to fall off their place while playing the game causing frustration. I would not recommend this game to anyone.,Buy a different game.,Verified Purchase,101 people found this helpful
R. J. Thayer,/gp/profile/amzn1.account.AHXYSOD3MRXI3JOAYP4MB5XZ4MMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 30, 2018",0,0,https://www.amazon.com/product-reviews/B00D7OAOYI/ref=zg_bs_166225011_cr_4?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,3.0 out of 5 stars,"I wanted to get this game for my kids because they had been playing around with a McDonald's Happy Meal version for a while, but that version was problematic and mostly garbage (except for the dice popper).  I saw that there was a 'Retro' edition which I remember as the design from my childhood, but it was a lot more expensive than I thought the game should be. I saw that Hasbro had updated the game  and it was really inexpensive. Since this was going to be a bit of an introduction to board games for my kids I didn't want to spend a ton.That should have been my first clue - that the ""retro"" one was almost 3x the price. The product that arrived is so flimsy and cheap on so many levels. The box it comes in is a thin card stock that barely holds its shape. The game board: there are two components that you need put together yourself for some reason. The plastic part is very thin and very wobbly. The card stock insert (which is the same thickness as the box, by the way) is flimsy. Even the playing pieces feel cheap; There's no weight to them at all. They don't stay on the pegs all that well (the original had holes for the pieces to stand in). I can already see that playing this is going to be a bit of a hassle all around. I know that kids get excited and will end up bumping the table or the board, and the pegs are going to go flying off their location because they have no weight to them nor anything to really hold them to their places. The original board and its pieces were very hefty and an incredible quality when compared to this updated version.The only positives I can give this version is the addition to some variant rules, which will come in handy when the kids want a change, and the dice popper functions rather well. I think I might spring for that ""Retro"" version after all.",Lacks In Quality All Around,Verified Purchase,19 people found this helpful
JennNix,/gp/profile/amzn1.account.AH6KDG4SXZFAQ6TYWPH526FRGIAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 21, 2017",0,0,https://www.amazon.com/product-reviews/B00D7OAOYI/ref=zg_bs_166225011_cr_4?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,"I loved this game as a child and was excited to order it for my children.  This is either a knock off or Hasbro has failed miserably at maintaining quality standards.  This game is worse quality material than dollar store toys. I am so upset at the horrible quality.  It is a cheap piece of cardstock that you put over the thin plastic--NOTHING like this game used to be.  I am so angry that I spent actual money on this.  I would love for my kids to be able to play this game, but the only way we will be able to do so is if we find a vintage one somewhere...  SO SUPER DISAPPOINTING.  Save your money!",Cheapest material I've ever seen,Verified Purchase,17 people found this helpful
N. Jesus,/gp/profile/amzn1.account.AGQXSSLPZME42EZS4G3VXLUKGPLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 28, 2015",1,0,https://www.amazon.com/product-reviews/B00D7OAOYI/ref=zg_bs_166225011_cr_4?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,,Construction Cheap,Verified Purchase,68 people found this helpful
Ashley C.,/gp/profile/amzn1.account.AELX744C4N3JNTW42LOACDVH4LJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 21, 2019",0,0,https://www.amazon.com/product-reviews/B00D7OAOYI/ref=zg_bs_166225011_cr_4?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,I bought this as a gift for my child and unfortunately due to the time frame I am unable to return it. This game is defective and does not work according to the directions. The bubble in the center of the board does not “pop” which does not allow the dice to flip which is a key component of the game. Without the popping mechanism this game is unable to be played. The game was not shipped in plastic/wrapped according to new product shipping information. It was closed with small pieces of tape indicating that the packaged game had been put together by a third party. I will not be using this seller in the future and am now having to replace the game from a brick and mortar retailer.,Defective Game,Verified Purchase,2 people found this helpful
MyHouse,/gp/profile/amzn1.account.AHMDKQ2BMRRCTR7FJRAOY2YRO2ZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 30, 2016",1,0,https://www.amazon.com/product-reviews/B00D7OAOYI/ref=zg_bs_166225011_cr_4?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,5.0 out of 5 stars,Glued it to a canvas frame and hung it on the wall for storage and easy access!,So much fun with 4 and 6 year olds!,Verified Purchase,16 people found this helpful
