author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,helpful_votes,total_review,visibility_status
Vanessa,/gp/profile/amzn1.account.AH4CU2H22HEFEQWECYK6Y7UP33DQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 26, 2017",4,,https://www.amazon.com/Intex-Sunset-Glow-Baby-Pool/product-reviews/B000I9RZOW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This is so awesome! I wanted it because I had a 10 month old who I knew would want to play in the massive snowstorm that was coming. We'd had a little snow before and he was frustrated when I wouldn't let him play outside for more than a couple of minutes. None of the stores had swimming pool stuff in the dead of winter (for obvious reasons), so I was glad to find this on Amazon. I inflated it, scooped some snow inside, and let him play in our living room to his heart's content. Since then I've used it as a bathtub and even bought some swim diapers and used it as a swimming pool (imagine that!) once it got hot outside. Anyway, great product!",More Than A Swimming Pool,Verified Purchase,164 people found this helpful,11673,740,506,Public
Jheneya,/gp/profile/amzn1.account.AEW3GXS55W7AHA6G6KV3RTIFV5GA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 28, 2017",2,,https://www.amazon.com/Intex-Sunset-Glow-Baby-Pool/product-reviews/B000I9RZOW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,This little pool is a good size for our 1-year-old.  We use it as a play pen when we're in the yard and also as a wading pool with a little bit of water and a few toys.  We've even used it as a little bed when our son fell asleep at a beach party.  Its petite size makes it easy to pack in a bag and it blows up in little time.  It's also durable as we've used it many times with no leaks or tears so far.,Handy little pool,Verified Purchase,83 people found this helpful,3300302,168,11,Public
Lisa D,/gp/profile/amzn1.account.AEXBHEGM4BEIHYXHWKZSV3CMMZWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 24, 2016",1,,https://www.amazon.com/Intex-Sunset-Glow-Baby-Pool/product-reviews/B000I9RZOW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"So this pool is cheap... but has actually held up pretty well this summer... I bought this to bring to the beach with us so my daughter, who is two, could swim in it sometimes instead of the ocean. We have brought this to the ocean filled it with water and dragged it back successfully many times without ripping or tearing it. My husband also used it as some kind of a surfing or floating device in the ocean and it didn't pop... Surprisingly. Nice little pool... Cheap price... Can't go wrong",Has held up nicely,Verified Purchase,69 people found this helpful,721,8294,1037,Public
Independent thinker,/gp/profile/amzn1.account.AF4LRWDGM4LZG6GWUCPT2RYACZYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 5, 2017",1,,https://www.amazon.com/Intex-Sunset-Glow-Baby-Pool/product-reviews/B000I9RZOW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"This was perfect to use as a soft play area for my baby who wasnt sitting up yet. I bought this after seeing something like this on pinterest to use as a play area for babies. I inflated it, added a little soft quilt to the bottom and a few toys, Voila! Happy content baby!! Never leave a baby unattended though. I always kept this in the same room as I was in. I would generally rotate my son into different and fun activity centers as I would call them....bouncy's, swings, high chair, crib, inflated baby pool, my arms etc...It kept him entertained and mentally stimulated. Highly recommend to be used like this But always watch your baby. Never Leave them unattended!!Update: This deflated and pretty much broke after a couple of months of use. I dont actually need it anymore since my babe is getting bigger but still, I could have kept it for other uses but alas, you get what you pay for and it was really inexpensive. Oh well.",Great for baby!,Verified Purchase,22 people found this helpful,25895,569,314,Public
Hailey,/gp/profile/amzn1.account.AGYNSDHGHJBBCDFELB5CIIRIPYHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 19, 2017",1,,https://www.amazon.com/Intex-Sunset-Glow-Baby-Pool/product-reviews/B000I9RZOW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"The top ring doesn't blow up to a perfect circle, but it's not bothering my daughter so it's all good. It's cushioned on the bottom, which is nice. It's pretty wide, not too deep. We use it as a ball pit. In the picture we have about 100 balls in there, plus two of my daughters favorite stuffed animals. Everything fits nicely, it's nice addition to her play space. Worth the 6$.",$6 Well Spent,Verified Purchase,42 people found this helpful,621655,137,26,Public
G. Kelsey,/gp/profile/amzn1.account.AFSQPIHTILMYQHLFKX7ZSFLXTTZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 7, 2020",0,,https://www.amazon.com/Intex-Sunset-Glow-Baby-Pool/product-reviews/B000I9RZOW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I bought the same pool two years ago and I was happy with the sturdiness and the quality of the product. I re-ordered the exact same baby pool and received it today. This is not the same pool! At first I thought I am imagining things, it seemed a lot smaller and less sturdy, and harder to inflate. I decided to check the measurements and sure enough, they were way off! It is supposed to be 34x10 inches. In fact it is hardly 30 inches in diameter and about 7 inches in height. The whole thing looks cheap and flimsy.The last time I bought I paid 12 dollars for it. Now it is sold for 20 bucks and the quality is way worse! It’s a cheap knock-off, not a real thing.",Not the same pool it used to be!,Verified Purchase,5 people found this helpful,2571758,41,40,Public
Jason,/gp/profile/amzn1.account.AH52RZ536RCJSUBWZ24VU4NDB36A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 1, 2019",0,,https://www.amazon.com/Intex-Sunset-Glow-Baby-Pool/product-reviews/B000I9RZOW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Am very disappointed - love the pool and it's the perfect size and look. Sadly, I ordered the pool and it arrived with a puncture so I had to send it back. I ordered another one and the second one also came with a puncture! Tried the puncture repair stickers both times that are included in the box and neither of them would stick to it properly and repair the puncture. Keeps deflating. So disappointing. So I've had to send the second one back too.","Ordered the pool twice, both times came with a puncture and would not blow up fully",Verified Purchase,8 people found this helpful,3272936,42,46,Public
Rae Ben,/gp/profile/amzn1.account.AEBI7JEKIP6ICWBKPDMTHZXWUCMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 26, 2016",3,,https://www.amazon.com/Intex-Sunset-Glow-Baby-Pool/product-reviews/B000I9RZOW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Unfortunately, I ordered the 34x10 "" pool but received a much larger one! Not that I'm complaining though. But it takes up the whole family room and bedroom.We've had it about a week and it's great for my 6 month old to practice sitting up and crawling (we temporarily live at my parents' with tile/laminate floors and no area rugs). Though we received the larger pool, it wasn't hard to blow up. My 5 year old daughter actually blew up the three wall chambers by herself while I was searching for the hand pump, lol! And I inflated the floor of the pool myself as well. Didn't take too long. I'd love to take this pool out to the front for the kids to swim but we're in a drought this hot summer in CA.",Wrong size received but awesome pool!,Verified Purchase,17 people found this helpful,13615,821,341,Public
Krg52985,/gp/profile/amzn1.account.AE5CEZXZ7SKG73NOEGSIBHJX7AJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 2, 2016",1,,https://www.amazon.com/Intex-Sunset-Glow-Baby-Pool/product-reviews/B000I9RZOW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,Perfect pool for my 13 month old. Fits great on my townhome balcony still leaving room for patio chairs and her water table. Arrived In great condition and on the day amazon said it would arrive. I removed 1 star because the plug that you close after putting air in the bottom of the pool doesn't push back in to the plastic like it does on the sides so I'm going to guess she will find it sooner or later and deflate the bottom section. But it's not that big of a deal. Still very happy with my purchase.,Perfect for small toddler.,Verified Purchase,35 people found this helpful,15177890,43,22,Public
Puppy's Mama,/gp/profile/amzn1.account.AEAH7TRSQRPKBN7E6KTD2SKI6QJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2016",2,,https://www.amazon.com/Intex-Sunset-Glow-Baby-Pool/product-reviews/B000I9RZOW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Bigger than the picture. Very nice, works like a playpen. Not planning to put much water in it, just enough to get my baby a little wet maybe. He is 5 months in the picture. Note that we pumped it with a tire pump. That's why it is so fully inflated.",Inflatable Playpen!,Verified Purchase,58 people found this helpful,9214,4233,513,Public
