author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,helpful_votes,total_review,visibility_status
Patrick F,/gp/profile/amzn1.account.AGDBWAKQKYGDUAVWTAXAE5AINLFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 2, 2020",0,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"Disappointingly trite.I was looking forward to this book. In fact, it’s the first book in years that I actually pre-ordered. The premise is interesting enough: there is an ethereal library that exists between life and death. You are permitted to choose any book from the shelves and each book contains an alternative life. Each life is what would have resulted if you changed a single decision you regretted. Interesting, right? Like you could see what would have happened if you’d gone for that coffee date or pursued that master’s degree or kept playing piano. In the midst of each new life, if the life-hopper finds herself disappointed, she winds up back at the library to try again. Eventually, you’ll either find a life that is the best possible outcome or your “root life” blinks you away into death.Unfortunately, the premise is played out in the most expected way possible. Nora Seed reverses her regrets and realizes that even the best alternate universes have uncertainties and pain and sadness and disappointment. Even when she winds up with her dream job and a great family, she can’t stay to play this life out. Why? Well, because it isn’t really “hers.” So, surprise, surprise, she ends up waking up from her suicide attempt with a new appreciation for the life she once had and longed to depart.If you read the first 30-40 pages of this book, you’ll probably be able to write the rest of it in your mind. It’s supposedly an opportunity to explore infinite universes, so why choose the most predictable course of actions? To get across the point that you ought to realize the beauty of the life we have around us? Just write a greeting card to convey the message; an entire book is unnecessary. Additionally, it seems like the author either doesn’t understand or chose not to really explore the idea of infinite options. In all her lives, the most remarkably unique one is granted one sentence of exploration, “In one life she only ate toast” (212). Every other life is just variations on themes of work, friends, romantic partners, and family. Of the infinite possibilities available to explore, nothing unexpected happens. It’s maddening as the author keeps smashing his readers over the head with ideas that anything might happen while never delivering on the promise.The writing style is difficult to evaluate. It just feels there. Sentence after sentence slowly moving the predictable story forward. It’s utilitarian prose lacking poetry and depth--seemingly at odds with a book that is attempting to spelunk the internal caverns of a deeply depressed person. The author constantly quotes philosophers but doesn’t seem to have any real interest in engaging seriously with philosophical ideas. It’s a novel in form but a cheesy self-help book in content. This novel is a seed of an interesting idea which was never cared for and died below ground. Unfortunate.D-","Predictable, Simple, Ultimately Pretty Boring",Verified Purchase,"1,238 people found this helpful",1648,1442,402,Public
Snappy,/gp/profile/amzn1.account.AFG47UBSCTA6DMCA36YJY3OOGLRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 25, 2020",0,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Just read all the goodreads and amazon 1 and 2 star reviews.Characters were so underdevelopedFailed miserably at being philosophicalCondescending at best to anyone with severe depression and suicidal ideation! It basically chalks up to telling a severely depressed person “aww smile and be happy for what you have!”So much more wrong with this book. I feel like I need to join some sort of support group for hating it so. EVERYONE seems to love it and I can see why so many people don’t seem to understand mental health and suicide. It’s so dark down there and this book sorely misses the mark.I wasn’t reading this book for philosophy or to feel uplifted. I chose it because I loved the concept, I thought it would be much more developed. I can’t even tell you what anyone looked like or what their personalities were? I liked the cat. That is about it.",Like many things in 2020 this book is awful.,Verified Purchase,523 people found this helpful,17688,,,
Abby Wynne,/gp/profile/amzn1.account.AHUYIVSFBLQUHBRCOFZIN67VQTIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 13, 2020",0,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,I think the title says it all. Some interesting ideas but nothing earth shattering for me. A nice novel for when you need to wait for a train.,Predictable and preachy but a nice way to spend the time.,Verified Purchase,233 people found this helpful,674790,,,
Schizanthus Nerd,/gp/profile/amzn1.account.AFU7SGTPK3TWN4PIQYOPNYA3MV2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 14, 2020",0,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"‘Would you have done anything different, if you had the chance to undo your regrets?’This was one of my most anticipated reads of the year. It had me at ‘library that contains an infinite number of books’. Then there’s my mild obsession with all things multiverse and my knowing that there isn’t a version of me that doesn’t end up reading this book. I was so hyped up about this book that I preordered three different versions of it. (Sorry, bank account …)What I didn’t expect was to come to the realisation that I didn’t actually like Nora. It took almost no time at all for me to begin resenting her for squandering her potential. She was intelligent and gifted in various disciplines but she bailed on multiple opportunities that most people could only dream of having. Even though I also acknowledged and empathised with the pain she’d experienced, it still took a long time for me to stop being distracted by the privilege she took for granted.‘Never underestimate the big importance of small things.’I loved the idea of being able to test drive different versions of the life that could have been, although it did raise some questions for me. Some were addressed in this book but others are still ticking over in my mind.Nora inhabits the bodies of a number of different versions of herself, all living lives that could potentially have been hers. When she returns to the library the other Noras resume their lives. Nora’s actions in a borrowed life could easily result in consequences that would derail an aspect of the life of the Nora that lives there, and I wondered if I would chance that if I was in her place. I’d hate to think that me acting in an unintentionally careless way could have real world consequences for another version of me.If someone who has their own version of the Midnight Library chooses to stay in one of the lives they visit, what happens to the version of themselves who lived there first? Do they die? Swap existences with the interloper? Or is their existence undone entirely? Also, if you remain in another version of your life, could you ever truly feel like you belong or would you constantly feel like you need to fake knowing people that weren’t a part of your original life?I did eventually get over my initial resentment/envy of Nora’s many opportunities and settled into exploring each new possible life with her. There were some lives I wanted to visit longer and others I wanted to escape from almost immediately. It seemed obvious from early on where Nora’s story was leading.One thing that I hadn’t given much thought to in the context of this story prior to reading it was the impact that Nora’s choices in life, big and small, would have on the other people in her life. In this respect it reminded me of ‘The Butterfly Effect’, although Nora’s story is nowhere near as dark as Evan’s. Paulo Coelho’s ‘Veronika Decides to Die’ and Robert Frost’s ‘The Road Not Taken’ also popped into my mind as I was reading.I wound up thinking a lot about who my Mrs Elm would be and the form that my Midnight Library would take. While my Library would have books (obviously!), I’m still not entirely sure who my Mrs Elm is.I don’t know if it’s possible to read this book without thinking about your own regrets. Equally, I don’t know if it’s possible to read this book without considering the changes you could make in your life to erase them.The story is told quite simply. It seemed to me to be part cautionary tale, part self help book and part Philosophy 101.‘Now go on, live, while you still have the chance.’Content warnings are included on my blog.",‘Never underestimate the big importance of small things.’,,213 people found this helpful,1701,,,
lindaluane,/gp/profile/amzn1.account.AENRAIC4BIO5UE4JWY2WOPNMXV3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 1, 2020",0,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I really loved this book!Highly recommended for anyone who might need to learn to appreciate the importance of little things in life and how they are just as important as the big ones - and how we impact the people around us in little ways that make a difference . About learning to love who you are instead of being upset that you are not who others wanted you to beI try to teach my students that only ""they"" know the best how to be ""them"" - this elaborates on that. I love Matt Haig as a writer anyway",Learn to love being you,Verified Purchase,169 people found this helpful,3779,,,
Abraxas,/gp/profile/amzn1.account.AFAENBLXPFTTAS6FRZHIBI7HQWVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 26, 2020",0,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Suicide is a difficult subject to tackle, but Matt Haig  does it brilliantly and sensitively in this book. His language is simple but efficient. The text seeps beneath the skin, and tugs at every emotion. I cried lots.",Touching and important,Verified Purchase,165 people found this helpful,498193,,,
Mercedes J.,/gp/profile/amzn1.account.AFX75C3ZAE2NW474FKDCYCHNM3LQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 5, 2020",0,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"I was reeeeeeeally looking forward to this book. Every time I needed a new book to read I came first to this one, constantly forgetting that it wasn't coming out till the end of the month. As soon as it came out, I bought it.Whelp, it was a bit of a disappointment. I did enjoy it, and I loved the idea of it, but it was kind of a letdown in some aspects. I won't synopsize this book as it's already been done here numerous times, but here are some of my thoughts on this story...~ I didn't really like Nora. I have a very...we'll say...'full' personality and I have trouble dealing with/relating to people who are 'poor me' all the time. The only person who can make positive changes in our own lives is US. WE are the masters of our own destinies, so Nora's depression over the life she was leading based on all the choices SHE made was difficult for me to handle. She had some amazing opportunities that people would kill for, and she blew Every. Single. One. Of. Them.Now, I understand anxiety. I have family members who suffer from awful anxiety and without the proper medication, I myself would be on the nightly news every time I have to get on an aeroplane (I hate them they're the devils' transport), but I deal with it. You see a doctor, you find what works for you and you try your best to go about your life. (I understand not everyone can do that, but that's how *I* deal with it). I just couldn't relate at all to Nora's depression and her inability to try and do better for herself when she clearly had so much to offer.~ I REALLY didn't like the fact that every time Nora entered a new life, she was a complete stranger to it. Why? What was the point of making it that way? It was incredibly jarring and uncomfortable to sit through Nora trying to figure out where she was, who everyone was, and what she did for a living and knowing NOTHING about her life. Why make her go through all that each time?How could she get possibly get comfortable in any particular life when within the first 15 minutes she could SERIOUSLY screw it all up by saying or doing the wrong thing? I didn't like it and it kind of gave me anxiety every time I had to read about her floundering and flustering her way through a new life (I know, I know...hush).~ The ending could be seen from space. This wasn't necessarily a bad thing, but just know that there are no surprises here. What you think is going to happen is exactly what's going t happen. While I knew it was coming, I was still happy with the end result.~ I LOVED the Midnight Library. I thought that entire segment of the book was brilliant and I loved the time we spent in there.Overall, I did enjoy this book, but I didn't love it. I think my expectations were a bit too high and it didn't help that I didn't get on that well with Nora. That said though, I would still recommend it. If you're interested in Matt Haig, I REALLY recommend 'How to Stop Time'! I absolutely loved that book. It's still one of my favorites.",3.5 Stars...Slightly Disappointing...,Verified Purchase,93 people found this helpful,1391,,,
Amazon Customer,/gp/profile/amzn1.account.AED2BYRW46REW7YWQD2IVTNSXBMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 22, 2020",0,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"A helpful and hopeful story. It felt like it was a bit rushed in the writing, not as polished as previous works. An interesting premise though that gave me pause for thought. How do we make room for regret so that we can live a meaningful life?",Some good ideas,Verified Purchase,67 people found this helpful,3815092,,,
C. Jackson,/gp/profile/amzn1.account.AHVOZVNJZGBZSCH2375P2ZSYQFHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 25, 2020",1,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This book is an absolutely gorgeous read! It came to me highly recommended, and I will do the same for you. Read it. It left me feeling hopeful— as if every regret I’ve ever had means less than the next choice I might make. I’m not doing it justice at all — just sit down with this book and read it.","A gorgeous, hopeful read",Verified Purchase,50 people found this helpful,1285668,,,
jahutcherson,/gp/profile/amzn1.account.AGLTA4H5JMDIJLKBD5SVQOH5ROXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 9, 2020",0,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"First things first, this is listed in ""Post Apocalyptic SciFi"", and while reality itself might fit into that category right now, this book has none of those elements. It is at its core a self-help novel, then chick lit (which I usually have a soft spot for), and then speculative/psuedo-spiritual fiction. Nothing post-apocalyptic or scifi about it at all. Which was disappointing.As many many other reviewers have said, the book was so very predictable. It was also lacking entirely in conflict. Perhaps it was the author's heavy heavy use of foreshadowing. Perhaps it was the subject and plot. Either way, there's nothing at all exciting, challenging, or novel about the story. It was simply a drawn-out retelling of  the Three Ghosts of Relationship Past Present and Future. Ho hum pigs bum.","Like the main character's life, this book is many things. Unfortunately none of them are great.",Verified Purchase,45 people found this helpful,1012088,,,
S. Lolar,/gp/profile/amzn1.account.AGRDNGS4EXN2O76AVU2FBBIRNXTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 26, 2020",0,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,2.0 out of 5 stars,"I got this book because of all the positive reviews on GoodReads....Never again will I listed to ""popular"" opinion. This book was insipid except for the obvious saccharine moments.  The main character was insufferable--I hated her from the first chapters.  It is ridiculous to think that we could all be olympians or rock stars or glacierologists or doctorates if..we just had made a different choice. And it's silly to think you could just be dropped into a life of, say, a glacierologist without absolutely any scientific knowledge and somehow fake your way through said life for a few days. The ending was painfully obvious.  I actually skimmed over the last few chapters because it read more like a self-help book...At least it was a quick read (prob because I skimmed over the intolerable parts. LOL)",Predictable and insipid,Verified Purchase,30 people found this helpful,766162,,,
Dennis Koga,/gp/profile/amzn1.account.AFDHCFWEZTP43LJ2X4S6REPBITIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 30, 2020",0,,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/product-reviews/0525559477/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"I waited a long time for this book once it was announced, and devoured it in less than a day.  While I was wistful at the ending, I thought it lent credibility to what the story was all about, and in that moment I felt all things were possible, including the hoped-for resolution.Beautifully written, well worth the time to discover on your own when you find yourself wondering what and how your life could’ve been different.","Thoughtful, Surprising, Enlightening",Verified Purchase,35 people found this helpful,989066,,,
