author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,helpful_votes,total_review,visibility_status
MHDSinc,/gp/profile/amzn1.account.AGN6M6UUM6VCMDQH7NJXPNDSCLEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 19, 2018",1,,https://www.amazon.com/Quaker-Chewy-Granola-Dipps-Variety/product-reviews/B01LNKHDAK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Ordered this for my son who was on a research trip.  He just returned (and basically hadn't eaten any...when asked why, was told they were very hard.  Check the 'Best By' date on the bottom and it was back in April!!  Unfortunately, he didn't return from his trip until August 15th, which was a week past the return date.  Sellers should NOT be allowed to sell out of date food!!",Out-of-Date - Hard as rocks,Flavor Name: 3-Flavor Variety packVerified Purchase,195 people found this helpful,36041,444,85,Public
Paulina Camaj,/gp/profile/amzn1.account.AGKKH6JSYL6GCKJWFOC3WVYHK7ZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 25, 2018",2,,https://www.amazon.com/Quaker-Chewy-Granola-Dipps-Variety/product-reviews/B01LNKHDAK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I wish I could put 0 stars, I bought this in September 2018 and my brother already ate some and he kept telling me they taste funny. When I went over to my moms house I saw that the expiration date was in nov 24 2016. I can’t believe this, the return date already passed but I have to warn the rest of you.",Expiration date from almost 2 years ago,Flavor Name: Back-to-School Variety PackVerified Purchase,158 people found this helpful,1698237,,,
AudFamily,/gp/profile/amzn1.account.AEKP6ICU44RCPL4FWK4HATZYXZYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 9, 2019",0,,https://www.amazon.com/Quaker-Chewy-Granola-Dipps-Variety/product-reviews/B01LNKHDAK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,I received the box and it had expired the month before. I was refused a refund.,Dissatisfied,Flavor Name: 3- Flavor Less Sugar Variety PackVerified Purchase,105 people found this helpful,251974,,,
HZTandy,/gp/profile/amzn1.account.AFRKLQKMCBGZPJT3352XMRQIMIOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 23, 2019",0,,https://www.amazon.com/Quaker-Chewy-Granola-Dipps-Variety/product-reviews/B01LNKHDAK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,Just received this box and there is a week left before expiration.  The bars are all stale and definitely not chewy.  Won't be ordering these again.,Just about expired,Flavor Name: Back-to-School Variety PackVerified Purchase,113 people found this helpful,152846,,,
Amazon Customer,/gp/profile/amzn1.account.AGNOQM2FVCEVGZHACDERCOWQ2GMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 21, 2019",0,,https://www.amazon.com/Quaker-Chewy-Granola-Dipps-Variety/product-reviews/B01LNKHDAK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Loved being able to order these bars in bulk. However the most recent shipment I received started to become hard a few weeks after I received them. When I checked the expiration date, they were very close to expiring. A bit of a bummer since I will have to throw away about 1/2 the box.",Great deal but... bars were old.,Flavor Name: 3- Flavor Less Sugar Variety PackVerified Purchase,88 people found this helpful,656377,91,33,Public
Squiffy,/gp/profile/amzn1.account.AGDITLEMTV62X2LU3NNR26EAV3AA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 16, 2018",0,,https://www.amazon.com/Quaker-Chewy-Granola-Dipps-Variety/product-reviews/B01LNKHDAK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"While I love this brand, and buy the smaller boxes frequently, I bought this to sell for concessions at an event. All (and I mean ALL) of the bars were smooshed and twisted and melted into their packaging. They looked so pitiful, there is no way I could sell them. So maybe you want them for lunches and your kids won't care. That's great. Get them. But for any other reason, I would go to the grocery store and get the nicer boxes.",Smooshed. Twisted. Melted.,Flavor Name: Chewy & Dipps Variety PackVerified Purchase,101 people found this helpful,308890,175,74,Public
ilmartelo,/gp/profile/amzn1.account.AFD7KSXTDPGICTEDXWVVLRKB7AYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 6, 2019",0,,https://www.amazon.com/Quaker-Chewy-Granola-Dipps-Variety/product-reviews/B01LNKHDAK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I ordered these three times before I canceled the subscription, and each time they came stale and hard.  I looked up the date codes and they weren't out of date, for some reason the bars were just rock hard even though the ones I buy in the grocery store are soft and well, CHEWY.I hope seller is not changing the sell-by dates, but I can't figure out why Amazon's CHEWY granola bars are hard and stale and store bought ones taste fine.",Stale,Flavor Name: 3- Flavor Less Sugar Variety PackVerified Purchase,76 people found this helpful,1788838,82,16,Public
R. D. Hess,/gp/profile/amzn1.account.AFX3WIA2EIVAX6PXOBF2NQI7B7CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 16, 2018",0,,https://www.amazon.com/Quaker-Chewy-Granola-Dipps-Variety/product-reviews/B01LNKHDAK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"I bought these locally all the time since they are my typical breakfast.  I found them on Subscribe and Save where they are only slightly less expensive (less than a penny per bar) so I bought them a few times.  They are in terrible condition in the box, mangled and smashed and they are not nearly as fresh as what I buy in local stores. All four boxes I have received were the same way.  Not sure why they are such inferior quality, but I took them off of my Subscribe and Save list solely because of the quality.",Poor quality in this bulk pack,Flavor Name: 3-Flavor Variety packVerified Purchase,97 people found this helpful,518146,118,29,Public
stin,/gp/profile/amzn1.account.AHGOF76GLVEN57QH4MO3C6COTFGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 14, 2018",0,,https://www.amazon.com/Quaker-Chewy-Granola-Dipps-Variety/product-reviews/B01LNKHDAK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Got the box of 58 bars and they are all very hard, difficult to bite and chew.  I checked and the expiration date is 10-25-18.  Today is 9-14.  I have 4 weeks and 10 days to eat 58 bars before they expire.",shipping old product,Flavor Name: 3- Flavor Less Sugar Variety PackVerified Purchase,61 people found this helpful,111789,254,182,Public
Holly,/gp/profile/amzn1.account.AETKCZ33SY2J7TEA3P7BTQNTI3IA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 22, 2019",1,,https://www.amazon.com/Quaker-Chewy-Granola-Dipps-Variety/product-reviews/B01LNKHDAK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"I received these on January 22, 2019. As you can see in the photo, they are best by January 23, 2019. I would think they would send fresher products.",Not the freshest,Flavor Name: 3- Flavor Less Sugar Variety PackVerified Purchase,52 people found this helpful,1465011,72,28,Public
