author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,helpful_votes,total_review,visibility_status
Howard Batt,/gp/profile/amzn1.account.AEDCHUJXQPDWWQSLKKRJ7R4UHJPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 1, 2019",0,,https://www.amazon.com/Miracle-Gro-Garden-1-Pound-Purpose-Fertilizer/product-reviews/B000P0DK1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I loaded it, connected it to the hose and sprayed.  Nothing other than water came out.  I yelled at it, turned it on and off - no joy.  I wrote customer service on FB and got an immediate reply but it was too test it in a white bucket and call back if I still had the problem.  Very nice person but not the answerThis version has no ""straw"" so think about what that means.  It means the cup has to be entirely full so the liquid is in contact with the top.  If it's not it won't work.  It's that simple.  It must be full before it will dispense fertilizerNext is quite a bit of the product sits un-dissolved on the bottom of the cup.  The answer?  Fill the cup with product in it almost to the top with waterr.  Stir until the product is completely dissolved.  It doesn't take long.One other problem people have complained about - leaking.  If there's no washer at the hose connection, it's going to leak.  Check to see that the washer didn't fall out at some point.  If it did or if for any reason you don't see one in the connection, put one there  - they're cheap but indispensableI was frustrated and now I'm happy.",answers to a couple of problems,Size: 1 packVerified Purchase,112 people found this helpful,19579,588,172,Public
Sally Roth,/gp/profile/amzn1.account.AHGELTKIDV7R3HRK4PROUGIC7O2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 3, 2019",2,,https://www.amazon.com/Miracle-Gro-Garden-1-Pound-Purpose-Fertilizer/product-reviews/B000P0DK1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Skirt and shoe and sleeve are soaking wet as I write this, thanks to this crappy product. Leaks like crazy, not where yellow end meets hose, but where the yellow end meets container (see pic). No way to make it stop. Tried to hold the leaky part closed with hand, nope. Because so much of the hose water is pouring out before it gets to jar, the thing sprays weakly with a reach of about 2-3 ft. Took more than 15 solid minutes of squeezing trigger for jar to fill. (Pics are before it filled. Shut it off, did not want to be soaked with MiracleGro.)Silly me, did not even glance at reviews because I used one like this 15 yrs ago, and I thought it was the same thing. No clue what they changed but IT DOES NOT WORK, LEAKS LEAKS LEAKS.Believe all the negative reviews! Returning even though it's a PITA.MiracleGro itself is great. This sprayer is a POS.Why are you still selling it, MiracleGro, after all these negative reviews?? It is not a water pressure issue or damage. It is an inherent design problem.",LEAKS LIKE A SIEVE! DO NOT BUY!!!!!,Size: 1 packVerified Purchase,58 people found this helpful,1004280,3638,119,Public
Charles,/gp/profile/amzn1.account.AFLMRCU7GZURSKUY2LCVFGOJUXQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 20, 2019",0,,https://www.amazon.com/Miracle-Gro-Garden-1-Pound-Purpose-Fertilizer/product-reviews/B000P0DK1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Low expectations based on many other negative reviews, but for me with one use it was far better than I had hoped for.The good stuff included the trigger is variable, for example for my just potted seedlings, I was able to gently press the trigger so that they were watered with a slow stream but not harmed.  The three position head adds to that flexibility.  Only had a very small leak using full power on the jet position, not much leakage but some compared to none on the other setting there was some but minimal.My only slightly non positive thought was that I wasn’t sure when the fertilizer was being applied at less than full strength as the base chemical was running out.  My solution was to dump the remaining jar contents into a watering can and dilute the remainder with water.  Turned out looking like the mix i normally use with a watering can.I made sure to take off the plastic cover on the jar before starting and I used only half of the fertilizer provided, and also thoroughly rinsed the jar and sprayed clear water to cleanse the head when I was finished.So much better than making 20 trips with a watering can.So five stars for me.Charles","Had Very Low Expectations, but",Size: 1 packVerified Purchase,46 people found this helpful,724936,198,47,Public
loveamazon,/gp/profile/amzn1.account.AFGD5N342EM4MMCPXB24CHBXSBZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 31, 2019",0,,https://www.amazon.com/Miracle-Gro-Garden-1-Pound-Purpose-Fertilizer/product-reviews/B000P0DK1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"The idea of this product is nice. It is much more effective than hand mixing into a watering can and individually applying to each plant, especially if you have a large area to treat. Unfortunately, the mixing process does not seem completely worked out and the food mix does not seem to dilute well in the water. A small fill is supposed to treat a certain square footage, but after nearly doubling that area, I still had a large amount of mix left in the sprayer. It is still a step up from doing it by hand, but it really feels ineffective in terms of providing the right amount per plant or sq. /ft. based on the amount used during the process.","Sprays Great, Mixes Poorly",Size: 1 packVerified Purchase,39 people found this helpful,506002,420,105,Public
Amazon Customer,/gp/profile/amzn1.account.AFFBH3VWQHJ7X3LHOVZMR7PZ5BMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 2, 2016",0,,https://www.amazon.com/Miracle-Gro-Garden-1-Pound-Purpose-Fertilizer/product-reviews/B000P0DK1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Worthless.  This thing leaks like crazy and the leak isn't where the hose attaches, it's between the actual spray bottle and the piece that you use to connect it to the hose so I don't know how you would fix it.  If anyone has any suggestions I'd be happy to hear them.  I hate returning things.  I like the idea of it but as it is, it is worthless.  At this moment I am completely soaked from trying to use it.",Don't bother.,Size: 1 packVerified Purchase,88 people found this helpful,84294092,622,335,Public
WD,/gp/profile/amzn1.account.AGZNL4IIILD4SHN7H5XQZ7SPS7YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 11, 2017",0,,https://www.amazon.com/Miracle-Gro-Garden-1-Pound-Purpose-Fertilizer/product-reviews/B000P0DK1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I should have listened to the other Reviewers, who were in the majority with respect to the Feeder CONSTANTLY leaking. This item is a Scotts Fertilizer Company Product, but very poorly designed and manufactured. Surprising, since most Scotts Products are excellent and well constructed. Save your money ----  don't purchase this Feeder.",CONSTANT LEAKING ISSUES FROM DAY ONE :,Size: 1 packVerified Purchase,42 people found this helpful,2452301,144,40,Public
Danielle Gallone,/gp/profile/amzn1.account.AEC47TPLAGQ7SWQPNMHNTAGMMGRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2019",1,,https://www.amazon.com/Miracle-Gro-Garden-1-Pound-Purpose-Fertilizer/product-reviews/B000P0DK1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Guessing it’s a design flaw, bought one and it leaked like a faucet where the unit attaches to the female end. Exchanged for a new one and it did the same thing...now my shoes are soaked and my plants are dead :(",Leaks like a waterfall,Size: 1 packVerified Purchase,17 people found this helpful,,34,45,Public
Lance,/gp/profile/amzn1.account.AGZQVE7TNAIFEUPM4ITALZGWPNSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 11, 2015",0,,https://www.amazon.com/Miracle-Gro-Garden-1-Pound-Purpose-Fertilizer/product-reviews/B000P0DK1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Just like many others, I got trolled by Miracle Gro.  I laughed heartily at the joke that Miracle Gro played on me, once I started using this product.  I assumed that everyone who bought this and couldn't get it to work right were idiots.  Either I was wrong, or I, too, am an idiot.  The ONLY way to get any actual Miracle Gro product out of this is to shake it vigorously while you run water through it.  Otherwise, there is literally no possible way to make this stupid thing work.  I took it apart and laughed even more at the great joke.  There is absolutely no mechanism by which the powder can be pulled into the water stream.Good one, Miracle Gro!! 10/10 joke.  Still laughing.","Ignored 1-star reviews, paid the price.  Product is a joke.",Size: 1 packVerified Purchase,54 people found this helpful,,,,
KT Palm Springs,/gp/profile/amzn1.account.AE7JTZR2I5G5WNTVFNBFQSQ6JEVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 8, 2021",0,,https://www.amazon.com/Miracle-Gro-Garden-1-Pound-Purpose-Fertilizer/product-reviews/B000P0DK1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"**REVIEW UPDATE**  I am posting this update to share what I learned regarding the leaking reported by so many reviewers.  At first I did not experience any leaking as mentioned in my original review below, however, after a few uses the issue did start occurring.  At first I just kept trying to screw on the top more, but that was not the problem.  The sprayer has a yellow circle which allows you to select from 3 different spray patterns.  I noticed the source of the leak was that water was dribbling out from one of the 3 spray holes other than the main one that I had selected.  If you observe the face of the yellow circle and watch closely, you can rotate the spray pattern selector either to the left or right only a tiny amount, the dribbling will stop.  It's easy to see if you just watch it as you slowly turn the dial.  This solved the leaking issue for me so I hope this can possibly help others as well. ****  Original Review Follows:I didn't read reviews prior to purchasing this because I've had these in years past and never had any problems, plus,  I felt like the brand name of Miracle Gro was a name I could trust.  I began reading the reviews after the product arrived but before I actually used it.  Based on the large number of people who complained about excessive leaking, I figured I would probably have to return it.  So I was pleasantly surprised when I did use it, to find out that it did NOT leak.  I can't imagine all of these people are just making this up, unless the reviews were old and the design has been improved, however, it seemed to work fine for me.  My only comment is that when you turn on the water, it takes quite a while for the feeder tank to fill with water.  So based on the instructions, it would seem like you have to use it for several minutes before it will actually begin feeding  I'm thinking I could fill the tank with water first before I turn it on, to avoid this issue.",Not sure why all the negative reviews.,Size: 1 packVerified Purchase,3 people found this helpful,360336,48,26,Public
jc,/gp/profile/amzn1.account.AHDKTJW7UQN7BFRRDA4H574BSWDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 12, 2016",0,,https://www.amazon.com/Miracle-Gro-Garden-1-Pound-Purpose-Fertilizer/product-reviews/B000P0DK1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"I like to think of Miracle-Gro as a maker of fine products...but this feeder is not made well.  The first one I recieved squirted water from every seam - even after tightening it.The next one was better but it doesn't have a 'quality' feel to it.  Personally I'd rather pay twice as much and get a long lasting one.I will continue to use the previous, older style that was built much better.btw, I love Miracle-Gro food for plants.",Not well done.,Size: 1 packVerified Purchase,32 people found this helpful,26635,2384,356,Public
