author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,helpful_votes,total_review,visibility_status
T. Prentice,/gp/profile/amzn1.account.AHB53SNFMN37YVTWJEMHWQUX52DA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 16, 2019",1,,https://www.amazon.com/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/product-reviews/B07LBHDZL4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,I strongly advise NOT to purchase this necklace. Within 6 weeks of wearing the necklace it tarnished and turned an ugly green color. It was a gift to my mom for her birthday. I was completely embarrassed. Do not purchase this for yourself and DEFINITELY NOT for a loved one.,My necklace turned green,Color: 01-January & July-Siam Ruby RedVerified Purchase,419 people found this helpful,816212,419,8,Public
Roberto R.,/gp/profile/amzn1.account.AHVS6TTSUB7DTBFTH2KGHTPNI5LA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 20, 2019",2,,https://www.amazon.com/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/product-reviews/B07LBHDZL4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"After 2 weeks of use my girlfriend send this pictures to me, I feel so bad because I give her this necklace as a gift and I know it will not be the finest necklace, how ever I certainly hope that It will last longer than 2 weeks, nothing on this necklace worth the shame.I've learn my lesson... never buy jewelry online!",It Does not worth a dollar,Color: 04-April-Rainbow Opal WhiteVerified Purchase,197 people found this helpful,10171320,218,73,Public
SnarkyTexan,/gp/profile/amzn1.account.AGILK4LU46H5MZFA27AKC5DO3VAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2019",0,,https://www.amazon.com/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/product-reviews/B07LBHDZL4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"My fiancée had gifted this to me for Christmas. I was excited as the color and setting is beautiful. I noticed the metal looked cheap. I didn't see 925 or any karat notes for the quality of the metal. So I checked the post on Amazon before I decided to wear the item 24/7 as I do with gifts from my SO. I was surprised to find that the necklace has a description of “white gold plated"" but further down in the details it says brass plated rhodium. No. This is not worth $50! My poor fiancée, who is not very technologically inclined, got duped into purchasing a $10 item for 5x its value! I returned the item immediately before it started turning colors and showed its true value.Shame on you seller, for your wording. Be honest about what you're selling. Karma will get you eventually.",Buyer Beware,Color: 05-May-Emerald GreenVerified Purchase,134 people found this helpful,2932860,634,91,Public
Andrew,/gp/profile/amzn1.account.AGQMTA7YQGKCY7YAN7B7FJHNG5UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 15, 2019",0,,https://www.amazon.com/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/product-reviews/B07LBHDZL4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I purchased this for mothers day as a gift for my mother. When I opened it imagine my surprise when inside there was a little plastic bag with 2 broken metal pieces, no heart, nothing. Very upsetting. Idk what happened but I'm doing a return",I received nothing,Color: 03-March & December-Light Sapphire BlueVerified Purchase,114 people found this helpful,29455,120,7,Public
Jorge,/gp/profile/amzn1.account.AHD3T6RIL464A64Z44BZDLMPELXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 14, 2019",2,,https://www.amazon.com/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/product-reviews/B07LBHDZL4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,No sirve duro una semana,No sirve,Color: 02b-February-Tanzanite PurpleVerified Purchase,69 people found this helpful,1959762,69,2,Public
stacy jenkins,/gp/profile/amzn1.account.AEJZWAVTTQS2E2B3HJ4EWZIXGHLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 19, 2019",1,,https://www.amazon.com/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/product-reviews/B07LBHDZL4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,It was a Valentine's day gift and she loves it. Told me she got compliments from everybody who saw it!,Valentine's day gift,Color: 02b-February-Tanzanite PurpleVerified Purchase,47 people found this helpful,3977534,50,36,Public
Super !!!,/gp/profile/amzn1.account.AELXWHXSEYTVQEM6FYKBTHBKHV7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 13, 2018",0,,https://www.amazon.com/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/product-reviews/B07LBHDZL4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,It’s a much lighter blue than in the picture and smaller too- basically it looks much better in the seller’s picture than what you receive. I’ve bought items like this before but this item didn’t get much notice. I’ll keep looking ...,Looks better in picture ...,Color: 03-March & December-Light Sapphire BlueVerified Purchase,36 people found this helpful,83643354,84,98,Public
D.B.H.,/gp/profile/amzn1.account.AELQU4Y6RVN2T6XBTC7J4KDROQDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 20, 2018",0,,https://www.amazon.com/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/product-reviews/B07LBHDZL4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,I got this for my wife and she absolutely loves it.  The only minor thing is that it tends to flip over exposing the back of the necklace.,Stunning beauty.,Color: 10a-October-Tourmaline Hot PinkVerified Purchase,31 people found this helpful,8859720,304,178,Public
tnoons,/gp/profile/amzn1.account.AF3JZRDO2I3QQ7RZG426MPD7YLEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 10, 2020",2,,https://www.amazon.com/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/product-reviews/B07LBHDZL4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"The chain tarnished after 2-3 weeks of regular wear. No showering or getting it wet, but sure enough turned my GFs skin green.The stone was actually quite nice and wish I didn't have to return, but the stone already shows cracks and scratches. They sure look pretty but the low quality just isn't worth it.","Pretty ""crap""",Color: 04-April-Rainbow Opal WhiteVerified Purchase,14 people found this helpful,194339,35,30,Public
William H.,/gp/profile/amzn1.account.AFLZ7TP6TUVPD4LRH7HWR7CK6MXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2020",0,,https://www.amazon.com/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/product-reviews/B07LBHDZL4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"A gift for a friend, not exactly what I expected.. almost embarrassing, save your money, you can get something 4x better for them...With that being said, the picture looks great, but you're better off going to a real jewelry store, I took a chance with this, unfortunately due to the pandemic.. I feel like it's not worth the price at all and got burned $40+..I think this item is maybe worth $5 maximum, If you buy this cheap quality, cheap is what you get, wish that I could rate it better...",Be smart & patient about what you buy,Color: 10b-October-Healing Stone for Love-Rose Quartz PinkVerified Purchase,11 people found this helpful,665507,11,8,Public
