author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
pat,/gp/profile/amzn1.account.AHLNRLG6X74OXMXZZJLA3HWFDIKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 9, 2020",0,,https://www.amazon.com/Cinnamon-Toast-Crunch-Breakfast-Cereal/product-reviews/B07CX3FHMB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,Too expensive for the amount. I thought I was getting a larger box. I bought 2 boxes since and got them for less than what he charged me.  I would not recommend this seller.,Too expensive.,Size: 1.05 Pound (Pack of 1)Verified Purchase,6 people found this helpful
John H. Turner,/gp/profile/amzn1.account.AHZEKSH7BENGZ5SROPBEVW767GZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 9, 2018",0,,https://www.amazon.com/Cinnamon-Toast-Crunch-Breakfast-Cereal/product-reviews/B07CX3FHMB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,So why is the box geared to children?  I have had bad arthritis days in my hands and lived on this cereal.  I have eaten It right out of the box when I ran out of milk.  Give this one a try.,The perfect adult cereal!,Size: 1.05 Pound (Pack of 1)Verified Purchase,5 people found this helpful
SDR,/gp/profile/amzn1.account.AGHCXMOMPGSTLZS2J2EAGECQH3HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 15, 2020",0,,https://www.amazon.com/Cinnamon-Toast-Crunch-Breakfast-Cereal/product-reviews/B07CX3FHMB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Cinnamon Toast Crunch, Cereal is so delicious.  I don’t normally eat cereal much anymore, but during the Pandemic, I thought I wanted to buy my old favorite for comfort food!  I need to stay away from this cereal because the first time I had my first bowl in years it turned out to be 2 bowls!  So awesome!",Cinnamon Toast Crunch - Great Taste,Size: 1.05 Pound (Pack of 1)Verified Purchase,2 people found this helpful
DREHS01,/gp/profile/amzn1.account.AHXKPPJYBC37DTVK3L5KA7373MNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 27, 2021",0,,https://www.amazon.com/Cinnamon-Toast-Crunch-Breakfast-Cereal/product-reviews/B07CX3FHMB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"This product is difficult to get in stock. When I first established the subscribe and save, it was a good deal. The last time I purchased it, the price rose significantly and I missed the window to cancel. This will not happen again as I cancelled my subscription. Poor management of program on this product.",Shipping erratic and major price fluctuations,Size: 1.05 Pound (Pack of 1)Verified Purchase,
Rejuvenations Redesign & Staging,/gp/profile/amzn1.account.AH6CGVNLGDZKWOEH37CMQ3EGEERQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 30, 2019",0,,https://www.amazon.com/Cinnamon-Toast-Crunch-Breakfast-Cereal/product-reviews/B07CX3FHMB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,These were really good ! Too good in fact. There is more sugar than we normally use and if the ever make it sugar free so we can apply our own Splenda / I will happily eat it every morning. It’s delicious but the sugar is it’s downfall in our house,Delicious but too much sugar,Size: 1.05 Pound (Pack of 1)Verified Purchase,One person found this helpful
Amazon Customer,/gp/profile/amzn1.account.AF6MCSJBTIUPBFDHR25EK4HZC7IA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 13, 2020",0,,https://www.amazon.com/Cinnamon-Toast-Crunch-Breakfast-Cereal/product-reviews/B07CX3FHMB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Feeding a teen during a pandemic. Not sure what else to say. He seems to think the bigger boxes taste better! Lol,Good price,Size: 1.05 Pound (Pack of 1)Verified Purchase,One person found this helpful
M J H,/gp/profile/amzn1.account.AEXRI5F4EQSWNVYSI2EGY4TW4FSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 21, 2020",0,,https://www.amazon.com/Cinnamon-Toast-Crunch-Breakfast-Cereal/product-reviews/B07CX3FHMB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Nothing left to eat but crumbs!)  SUPER  SMASHED!!!  Plus they packed it with my cleaning supplies?!?  Thank God the cleaning supplies didn't spill all over.  Not impressed.,SUPER SMASHED!!!! WILL NOT BUY AGAIN.,Size: 1.05 Pound (Pack of 1)Verified Purchase,2 people found this helpful
Miche Greg,/gp/profile/amzn1.account.AEDE4FNDB3POAQ7TYLQZMXIVJJ7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 22, 2020",1,,https://www.amazon.com/Cinnamon-Toast-Crunch-Breakfast-Cereal/product-reviews/B07CX3FHMB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,Shipping was awful!  The box was shoved in my mailbox and I’m embarrassed to take it to our shared beach house.  It looks like it was run over by a truck.,"Product fine, shipping ruined the product",Size: 1.05 Pound (Pack of 1)Verified Purchase,2 people found this helpful
marion,/gp/profile/amzn1.account.AGYG3AQZXRJYM7AJSDWTPDPSFJGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 28, 2021",0,,https://www.amazon.com/Cinnamon-Toast-Crunch-Breakfast-Cereal/product-reviews/B07CX3FHMB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Somebody say sugar sugar sugar oh my God I like the churros better,Quality product,Size: 1.05 Pound (Pack of 1)Verified Purchase,
Glenn,/gp/profile/amzn1.account.AFO7WIOVMFY6FTKFFDNX2RV3WTEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 3, 2021",0,,https://www.amazon.com/Cinnamon-Toast-Crunch-Breakfast-Cereal/product-reviews/B07CX3FHMB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Kids love this stuff! It's often cheaper on Amazon than in the stores!,Kids love it!,Size: 1.05 Pound (Pack of 1)Verified Purchase,
