author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Chris,/gp/profile/amzn1.account.AGJ3WJK4JFQ3RBO7EMPFSPAIUHHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2019",2,,https://www.amazon.com/Filtrete-EA20-2PK-6E-Air-Filter-12/product-reviews/B07CZQXKMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"While I do like Filtrite filters, the ""smart"" filter is anything but. The app reports they need replaced whether they do or not. They only track time not use or airflow. There's no way to reset a filter that doesn't need changed. The MAC is permanently linked to your account, so you can't even delete and re-add it. The circuit doesn't even have anyway to measure airflow. It's just a Bluetooth chip. Borderline false advertising. Save the extra money and just set yourself a calendar reminder to check them.",Waste of money.,Size: 20 x 25 x 1Style: 2-Pack Smart FilterVerified Purchase,56 people found this helpful
T. Allison,/gp/profile/amzn1.account.AF3BGTEBVDRX5ONVAR2LS7SWBCBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 24, 2015",4,,https://www.amazon.com/Filtrete-EA20-2PK-6E-Air-Filter-12/product-reviews/B07CZQXKMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"No way this 2-pk is the same genuine Filtrete MPR 2200 I bought at Lowes.  It is flimsy and the gauze material has visible holes in the medium.  Additionally, there are so many discrepancies in packaging, product, and even the copy on the filter.  The genuine Filtrete uses ""TM"" and the fake came with a registered mark.  Additionally, the fake didn't mention the MPR rating, that it was (or wasn't) electrostatically charged, etc.I'm returning.",FAKE--DON'T BUY UNTIL AMAZON RESOLVES,Size: 20 x 25 x 1Style: 2-PackVerified Purchase,338 people found this helpful
Ricardo,/gp/profile/amzn1.account.AENK4VJNBRPRUNSFXHIQGOD4B6NQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 27, 2017",1,,https://www.amazon.com/Filtrete-EA20-2PK-6E-Air-Filter-12/product-reviews/B07CZQXKMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Best filters ever, this is a high technology product and well worth the cost, when you compare side by side a used Filtrete and a new one you can see the difference (and health wise not breathing all that contamination captured by the Filtrete). Since we installed two new 5 ton Trane units 10 years ago we exclusively use Filtrete Healthy Living Elite Allergen Reduction Filter, MPR 2200. I change filters every 90 days via Subscribe and Save, beats having to remember when new filters are required and run to the local HD who by the way no longer carries this premium 3M Filtrete. The results of using and regularly changing the Filtrete 2200 every 90 days is that both Trane A/C units coils are as shiny and clean as new. All I can say after 10 years of daily use beating the South Florida heat 24 hrs a day, this is amazing. All our friends and neighbors who ""save"" and use regular filters are saving on the filters but they need to have the A/C Service company come out twice a year $$$ to clean their coils to maintain top performance, in addition to the higher utilities due to clogged coils. Go figure!!!",Use Filtrete Healthy Living Elite Filter MPR 2200 avoid costly A/C coil cleaning,Size: 20 x 25 x 1Style: 2-PackVerified Purchase,22 people found this helpful
Eric G.,/gp/profile/amzn1.account.AGJ52UFKUQFRE2RTE7NRVPHA5A7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 20, 2016",1,,https://www.amazon.com/Filtrete-EA20-2PK-6E-Air-Filter-12/product-reviews/B07CZQXKMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I started buying these filters because for some reason the Costco where I live stopped carrying the size I needed (they had every size ""except"" the one I need).  These have a higher MPR rating as well (2200 vs 1900).  I have really bad allergies, and they do a good job at filtering out a lot of the dirt and allergens in the air in my house.  Right now I replace the filters every 3 months, but may start replacing them every 2 months as they're absolutely filthy by the 3 month mark.  Bonus, spray some febreze or Lysol on the filters before you put them in to either make the house smell nice all around or just to kill any bacteria or germs that may be filtering through the air.  The picture I attached shows a filter after 3 months vs a new one.  I also live in a semi-rural area, and at the time, there was a lot of construction going on in my neighborhood (it's a new neighborhood), so there was a ton of dirt in the air.","I have really bad allergies, and they do a good job at ...",Size: 16 x 20 x 1Style: 2-PackVerified Purchase,34 people found this helpful
For My Child,/gp/profile/amzn1.account.AFNHGHIPV4UA2MJMVM2XCBVDWQ4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 2, 2018",0,,https://www.amazon.com/Filtrete-EA20-2PK-6E-Air-Filter-12/product-reviews/B07CZQXKMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"I receive these several months ago and believe they are the really product. ( I only add this because people said they receive fakes)SHORT ANSWER:  These filters are great and I can tell a difference when I used a higher grade filter but that can vary depending on the level that I started and how clean the house was previously by a high filter.  Don’t forget to check the air filter regularly because a dirty filter can cause the coils to freeze up and will need to be turn off to unfreeze.  Don’t forget to have your AC/heater check and make sure you tell them to clear the line (they may not normally do it, but should.)LONG REVIEW:I started using 1500 (at the time the purple label) and have used up to 2800.  I live in a place where I get very sick because of all the pollution, pollen, dust, and in the winter smoke from miscellaneous burned things from across the border.How well do these work …..well that depends on how you live your life.We for the most part keep our windows and doors closed and always run the fan on a/c (heater) unit so it is alway cleaning the air which was recommended to us.  If you have pets and open your window and door a lot and keep them open it will be hard to keep your air cleaner.  The cleaner you have your house the better it will be vacuuming, dusting, etc….We have box fan with 20 x 20 filters on it.  We tried using, them then we stop, and now we are using them again. We started using 1500 and upgraded recently to 1900.At first I thought when we used the 2800 filter it was really only a physiologically made me feel better, but I up graded our fan filters from 1500 to 1900 and notice they appeared to get dirty fast.  After that observation I believe they make a difference.How fast can it clean your air?  Depend on your life (mentioned above) and house size.  I have notices that it can take about month or so to clean our small house.There is a visual difference the higher you go.  The higher filter look different with more pleats and a stronger gauge on the wire across the front and back.KEEP IN MIND**If you don’t change your filter when it gets dirty it can freeze the coils because of poor air circulation and you will need to leave the air conditioner off for a while to melt the coils.**Regular maintenance can prevent problems make sure you have your ac/furnace is check year and TELL THEM TO CLEAR THE LINE (they don’t always do this automatically) and can get clogged and cause flooding.**AC not turning on also check the batteries.I’m sure there are more, but these either happened to me personally or I heard about them and wanted to pass this knowledge along.",Worked for me,Size: 16 x 25 x 1Style: 2-PackVerified Purchase,11 people found this helpful
Dr. Merkwerdichliebe,/gp/profile/amzn1.account.AFXI3DHZ5NS2DWYHBDRMWI342JNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 7, 2020",0,,https://www.amazon.com/Filtrete-EA20-2PK-6E-Air-Filter-12/product-reviews/B07CZQXKMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"This was frankly amazing. I was stuck for a filter because the demand was so high in CA what with all the fires and smoke, so I had to buy the filter with the best filtration ability and the fastest ship-time. But this filter... it's beyond dumb. I thought the ""smart"" thing was just some app they sucker you into getting for your phone, but this thing has a *timer/TRANSMITTER* glued onto it. After activating the battery, the gizmo counts down and then somehow automatically orders you a new filter, because you're clearly too stupid to replace your filters every six months. Wow. Well, those wireless transmitters are going to be beaming from the landfill, not my home. A totally useless waste of time and resources that I had to literally saw off the filter with a knife. Never again. Filtrete, you had one job...",The Other Stupidest Filter Ever,Size: 14 x 20 x 1Style: 2-Pack Smart FilterVerified Purchase,3 people found this helpful
CMM,/gp/profile/amzn1.account.AHQOJCZPPQWIKKGNWNCJNFIDL5RA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 11, 2018",0,,https://www.amazon.com/Filtrete-EA20-2PK-6E-Air-Filter-12/product-reviews/B07CZQXKMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"These were put to the test by smoke from wildfires making outdoor conditions hazardous. They kept the inside air clear, smoke free, and odor free. Also these are helping me manage allergies with less medication since Inside allergens are greatly reduced.",These were put to the test by smoke from wildfires ...,Size: 14 x 20 x 1Style: 2-PackVerified Purchase,17 people found this helpful
KawaiiGuyy,/gp/profile/amzn1.account.AHX3M2CWEAGQQGHRVM3GXSFK46TQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 10, 2019",1,,https://www.amazon.com/Filtrete-EA20-2PK-6E-Air-Filter-12/product-reviews/B07CZQXKMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I am rating the airflow Bluetooth monitoring of theses...  not the filter itself. It will not reconnect, ever. This is my fourth one of these and none of them reconnect after initial pairing. This was the same issue I read on reviews but figured I would try it for myself.  The filters are great as you would expect (stop buying from 3rd parties of you want genuine) but the added benefit of actually monitoring the airflow/air pressure is wasted on these. Great idea... terrible implementation. As you can see in the pic it hasn’t actually measured the pressure at the device in 33 days... it’s inly guessing at this point. So just save the extra money and use a good filter and replace regularly as we should be!","BT never reconnects, 4 filters all the same",Size: 14 x 25 x 1Style: 2-Pack Smart FilterVerified Purchase,3 people found this helpful
O.Chemist,/gp/profile/amzn1.account.AH4P3YIH4X6HOF4AAUBSERVQXK7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 15, 2021",0,,https://www.amazon.com/Filtrete-EA20-2PK-6E-Air-Filter-12/product-reviews/B07CZQXKMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"A high-efficiency filter like this is expensive enough to make using it to its full extent worthwhile, but one does not want to replace it while it still has some life remaining. The sensor built into these filters works effortlessly with the free phone app (which also reports local outdoor air quality readings). For maximum health benefits, this type filter is very helpful but it is good to be able to daily monitor how much effective life remains. The app gives adequate advance warnings when the filter is nearing the end of its effectiveness; note, however, that since it is a Bluetooth sensor, you must be within the limited range (normally, within the same building) for it to work.",Works really well to optimize filter use,Size: 16 x 20 x 1Style: 2-Pack Smart FilterVerified Purchase,
Mr Gadget,/gp/profile/amzn1.account.AEGCAJG3PPVEFD4HRAZXX7RHNW7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 6, 2019",0,,https://www.amazon.com/Filtrete-EA20-2PK-6E-Air-Filter-12/product-reviews/B07CZQXKMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"I got these so I would know when to change the air filter because at times we have wildfires and lots of particles (and presumably dust) in the house and at other times things are clear.  I wanted to get high degree of particle filtration, but not have to guess when to replace it.  The app works great for me.  Easily pairs with the filter and updates all the time based on current airflow.  The app tells me that I bought the filter in early April and it still has 38% life left and is rated good.  It is now early July so I got 3 months use and maybe another month or two to go.  We will see.  Without this, I would have been paranoid and replacing filters every 2 to 3 months or perhaps stupid and waiting for 9 months because I would not be thinking about my filter and would not know it wasn't working.  I also really think that they help with allergies and breathing better (less snoring) at night.  They are too pricey (so one star off), but given that the technology works and does something useful, I think that they are worth the extra scratch for piece of mind and health benefits.  (I got the 2200 MPR which I think is like Merv 16 or so - super good filtration of small particles, which should include the particles from wildfires).",I am very happy overall!  Recommended.,Size: 20 x 25 x 1Style: 2-Pack Smart FilterVerified Purchase,
