author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Young H. D. Kim,/gp/profile/amzn1.account.AE5C5IDO6XA7JPS36X6DBBU3SZGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 16, 2019",0,,https://www.amazon.com/Harry-Potter-Philosophers-Stone-Rowling-ebook/product-reviews/B019PIOJYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Vividly described event after event, it's already been a while since the story lived with the mind of people of the world.If you want to be part of the world, you want to read at least this very base of Harry Potter series, so you'd understand what your friends, family and media are talking about.I also recommened this story to anyone who wants to learn widely accepted, common and practical English words and expressions.",Now it has become a must-read,Verified Purchase,32 people found this helpful
Rachel,/gp/profile/amzn1.account.AEU46H3IWJ7DHHKHSEUVTAKSMO7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 20, 2021",0,,https://www.amazon.com/Harry-Potter-Philosophers-Stone-Rowling-ebook/product-reviews/B019PIOJYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"it's not as if this is my fave series but Harry Potter is pretty good. my personal favourite in hp would probably be Harry Potter and the Chamber of Secrets.anyways, this book's prologue is about how lily and james, Harry's parents died.then eleven years later, harry received his letter to go to Hogwarts, a magical school.but, as uncle vernon tore it in pieces, harry didnt read the letter.then uncle Vernon got sick of the letters so they went abroad .a giant named hagrid broke in and told harry everything about the wizarding world.fave parts:Hermione : it's wingardium leviosar!Hermione : now I'm going to bed before you get another clever idea to get us killed, or  worse , expelled .thx for reading!",not my favorite series,Verified Purchase,
Soccer Fan,/gp/profile/amzn1.account.AE62RV7WJ4M2KSO3FTGQOSQMI6HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 22, 2019",0,,https://www.amazon.com/Harry-Potter-Philosophers-Stone-Rowling-ebook/product-reviews/B019PIOJYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I really like this book, it has wonderful adjectives good for education. Childeren would like to start harry potter from the first book. This book is a good start for grade 3-5 students.",Harry Potter & the philosopher's stone,Verified Purchase,3 people found this helpful
Amazon Customer,/gp/profile/amzn1.account.AHNLDQKYHPIBDBFV5MZFH743E5GA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 27, 2021",0,,https://www.amazon.com/Harry-Potter-Philosophers-Stone-Rowling-ebook/product-reviews/B019PIOJYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"As the first book in the Harry Potter story, this is essential readingThe delightful intersecting of fact an fiction is always excitingIf you believe in magic, in any form, this book is for youEnjoy",A must read,Verified Purchase,
Esheli Ranawaka,/gp/profile/amzn1.account.AHQUOAPABS34EUFR76SN5NAJVA3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 15, 2021",0,,https://www.amazon.com/Harry-Potter-Philosophers-Stone-Rowling-ebook/product-reviews/B019PIOJYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"My personal favourite of the series is the half blood prince but this is equally amazing. I am a potterhead and this is my who-knows-what time reading this! for all those young readers or even more experienced readers,this should be read. Please read the book before the movie because the book is more elaborate and has great plot themes the movie is lacking.",harry potter is just a necessity!,Verified Purchase,
Lucia T.,/gp/profile/amzn1.account.AGNO5HDHJAZ4YHNUJDAUVMCPNQOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 3, 2019",0,,https://www.amazon.com/Harry-Potter-Philosophers-Stone-Rowling-ebook/product-reviews/B019PIOJYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This is like the fourth time I read Harry Potter 1 and I always find something new, please encourage kids to read, they can learn about friendship, corurage, love.",I will always be a potterhead,Verified Purchase,One person found this helpful
Kindle Customer,/gp/profile/amzn1.account.AEYJYQPRBART4R3I53JTUJJ2YQHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 6, 2017",0,,https://www.amazon.com/Harry-Potter-Philosophers-Stone-Rowling-ebook/product-reviews/B019PIOJYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I just completed reading this lovely book. I had no preconceptions before I began reading as I never read any of the books before, haven't watched the movies, and, hopefully, pending a trip to Harry Potter world in Universal Studios.I give this book a rating of 5 for it's creativity and it's fairly enjoyable style of writing. As an Orthopedic surgeon (R1) there is very little creativity in my daily life. Reading something magical and fun like this reminded me of how beautiful it is of an experience to dream.",Almost like a guided dream,Verified Purchase,2 people found this helpful
Amazon Customer,/gp/profile/amzn1.account.AHA6WUK4J3S5NMFWGFMWNU247A3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 22, 2020",0,,https://www.amazon.com/Harry-Potter-Philosophers-Stone-Rowling-ebook/product-reviews/B019PIOJYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Love the Harry Potter books, I read them over and over again",Love it,Verified Purchase,
Maria E. L. Thomassen,/gp/profile/amzn1.account.AHQ7BZJU3PJO3ZVLPMRB7DMNYMTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 14, 2019",0,,https://www.amazon.com/Harry-Potter-Philosophers-Stone-Rowling-ebook/product-reviews/B019PIOJYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I was honestly surprised by this first book of Harry Potter, I honestly didn't think I would read it, but I'm glad I did!",Amazing Story.,Verified Purchase,
Amazon Customer,/gp/profile/amzn1.account.AHZJJWM3NIASCYJP3SSFXNWFYUFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2020",0,,https://www.amazon.com/Harry-Potter-Philosophers-Stone-Rowling-ebook/product-reviews/B019PIOJYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This is a definite must read book along with the rest of the series, you will find yourself reading undercovers in your blanket at night because of how good is it.",I solemnly swear i will forever be a potterhead,Verified Purchase,
