author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Buffy M.,/gp/profile/amzn1.account.AF33TLJFBUCWFC3AO6I5EXD5UDKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 11, 2020",0,,https://www.amazon.com/Reeses-Peanut-Butter-Breakfast-Cereal/product-reviews/B07CZ83NQ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"My son actually ordered these on Alexa when he figured out how to order items lol...I’ve since changed the password! Great flavor, can’t go wrong with Reese’s!",Yummy!,Size: 11.5 Ounce (Pack of 1)Verified Purchase,7 people found this helpful
Amazon Customer,/gp/profile/amzn1.account.AH6KPT4O7PCYQIIPKTNZMI3XLD3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 8, 2021",5,,https://www.amazon.com/Reeses-Peanut-Butter-Breakfast-Cereal/product-reviews/B07CZ83NQ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,Strange stereotypes on box. Seems disrespectful,Why is this person making a strange face on my cereal box?,Size: 11.5 Ounce (Pack of 1)Verified Purchase,7 people found this helpful
Danny Donian,/gp/profile/amzn1.account.AHD5W6XKCNMQZ6V4EEGH6D7CCSQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 24, 2021",0,,https://www.amazon.com/Reeses-Peanut-Butter-Breakfast-Cereal/product-reviews/B07CZ83NQ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"I bought several (4) boxes however, I also ordered 2 boxes of Dole pineapple sauce with fruit and the weight of the fruit cups crushed the cold cereal boxes. Still useable, transferred cereal to a container.I thought the deep state did this to mess with me, but dispelled that rumor~",Boxes crushed,Size: 11.5 Ounce (Pack of 1)Verified Purchase,One person found this helpful
Shaun,/gp/profile/amzn1.account.AEQK2IVRVVA6XONIRVA2R4LZFJPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 27, 2020",0,,https://www.amazon.com/Reeses-Peanut-Butter-Breakfast-Cereal/product-reviews/B07CZ83NQ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I love Reese's cups  because it does reminds me of the actual Reese's cups ,It's a  sweet snack that you can have if you have a sweet chocolate tooth like me without not eating to many calories,I enjoy it with almond milk.",Great sweet snack for those sweet tooths,Size: 11.5 Ounce (Pack of 1)Verified Purchase,3 people found this helpful
T,/gp/profile/amzn1.account.AFI62GDIA7FXO7GDNJXGLLKUC6BA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 19, 2019",0,,https://www.amazon.com/Reeses-Peanut-Butter-Breakfast-Cereal/product-reviews/B07CZ83NQ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"These are VERY sweet.  Sweet, sweet, sweet.  Saw them in the supermarket and was always curious as to how they taste.  Even in milk the sweetness is overpowering.  I won’t buy them again.",One time buy,Size: 11.5 Ounce (Pack of 1)Verified Purchase,3 people found this helpful
Amber,/gp/profile/amzn1.account.AHBJHYKM7JXEB3KL4L2MXJRP6WSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 20, 2021",0,,https://www.amazon.com/Reeses-Peanut-Butter-Breakfast-Cereal/product-reviews/B07CZ83NQ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Cereal delivered to your door is one of the things that bring me joy. Reeses Puffs Cereal is one of my kids' favorites and having it delivered, at a great price, makes mom-ing a little bit easier. Thanks Amazon!",Cereal Delivered to Your Door,Size: 11.5 Ounce (Pack of 1)Verified Purchase,
snickerdoodle,/gp/profile/amzn1.account.AEHRVUUF6YQIPPLIRDGDJQP4D43Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 3, 2021",0,,https://www.amazon.com/Reeses-Peanut-Butter-Breakfast-Cereal/product-reviews/B07CZ83NQ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"But I eat a lot of healthy. So, sometimes I want  just tasty.  Fifty me these are good. I MIX THEM WITH A HEALTHY CHOCOLATE CHEERIOS. That way it's  not as bad of a cheat.",Maybe not healthy,Size: 11.5 Ounce (Pack of 1)Verified Purchase,
Garrett Chau,/gp/profile/amzn1.account.AFSOFZNJ5EOZVPAOOL3TOYFDFJEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 26, 2020",0,,https://www.amazon.com/Reeses-Peanut-Butter-Breakfast-Cereal/product-reviews/B07CZ83NQ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"I usually don't switch up the cereal for honey nut cheerios are a classic. This was on sale tho. The first bite was initially good but as I progressed, I began getting feeling pain on the back of my top teeth. This cereal was too hard and pressed to hard against the back of my top gum. Also the milk at the bottom was grainy and didn't run down smooth.",I'm Sticking With Honey Nut Cheerios,Size: 11.5 Ounce (Pack of 1)Verified Purchase,One person found this helpful
Amazon Customer,/gp/profile/amzn1.account.AHARWJWRYICBYQBSMP2CPTKFODJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 2, 2021",0,,https://www.amazon.com/Reeses-Peanut-Butter-Breakfast-Cereal/product-reviews/B07CZ83NQ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This cereal is a morning must if you're a peanut butter lover! Plain or mixed with a spoonful of smooth peanut butter you can't go wrong! Also a huge hit with the toddler! She asks for it every morning with her egg and taylor pork roll! ""Puffs"" lol it's adorable!",Can't go wrong!!!,Size: 11.5 Ounce (Pack of 1)Verified Purchase,
C. Kirkland,/gp/profile/amzn1.account.AEGTILNM4QMYUNHHATID6W2XC42Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 27, 2021",0,,https://www.amazon.com/Reeses-Peanut-Butter-Breakfast-Cereal/product-reviews/B07CZ83NQ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Sometimes you just want to feel like a kid.  This cereal provides that in spades.  It's great for a once in a while breakfast treat.,very good,Size: 11.5 Ounce (Pack of 1)Verified Purchase,
