author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Danielle Rackstraw,/gp/profile/amzn1.account.AHKV64PN45MRQNX3IGSD7KABOQCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 21, 2017",0,,https://www.amazon.com/Cosco-Step-Folding-Stool-Rubber/product-reviews/B01KS4RG3Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I'm 73, 110 pounds, female and half my back is fused due to polio prior to 13 and surgery.  I'm fearful of anything that I use that isn't super secure because I know one fall because of all my interior and exterior projects that I would especially be in deep poop.  I can't begin to tell you how much I love this step stool.  I plan on getting several more.  I have the 2 step but probably will get  3 step and another 2 step since my husband keeps wanting to take this for his shop.  MY LAST STEP STOOL, not this manufacturer and I paid at least twice as much I have pinched my fingers in badly now twice.  This will be given away with a warning.  This opens and closes so easy.  It's HUGELY SECURE with the feet on tile floor, cement outside, dirt and grass when I did a shutter project, and right now I use it almost daily in my kitchen for those items on top shelves.  GREAT JOB with construction.  LOVE THE GREY COLOR, and something to kind of lean against with the handle.  SO FOR MY PEACE OF MIND This is one safe item for me, and I appreciate this a whole lot.",TWICE AS NICE AS OTHERS I PAID TWICE THE PRICE FOR.,Color: GrayStyle: 2-StepPattern Name: Step StoolVerified Purchase,332 people found this helpful
Amazon Customer,/gp/profile/amzn1.account.AHBE5RN4277GTZIFVXZWSAOYPGVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 12, 2017",0,,https://www.amazon.com/Cosco-Step-Folding-Stool-Rubber/product-reviews/B01KS4RG3Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"This is a sturdy and well designed step stool, except for one thing.  Unlike on older models, the feet on this one are slippery hard plastic.  The stool easily slides on hard surfaces which makes it very dangerous.  If the feet were non-skid, I would give it 5 stars.This can easily be fixed by attaching these rubber feet.   QY 12PCS Black Color Square Shape Rubber Non Slip Non Skid Feet Pad for Table Desk Chair and Sofa          .  Without this modification I would advise avoiding this product.","Very good, except for the feet, which make it dangerous",Color: GrayStyle: 2-StepPattern Name: Step StoolVerified Purchase,251 people found this helpful
dlo1956,/gp/profile/amzn1.account.AEZXPWSJFOENYUSRUCJHW5JB75RA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 23, 2017",0,,https://www.amazon.com/Cosco-Step-Folding-Stool-Rubber/product-reviews/B01KS4RG3Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Bought this for my mother. She’s 83 yrs old and determined to hang her own curtains and reach the top of the closet shelves.  This gives her the stability that she needs to do that. The steps are wide.  The handle is long so she has something to hold onto when she’s on the second step. The handle also give her the security of climbing the ladder without the fear of falling. It is wide at the bottom with rubber which secures to the floor so it doesn’t slide. I’m thrilled that I chose this for her. She feels safe and I have piece of mind. Now if I can only get her to stop hanging the curtains and wait for me. That’s a harder challenge that it was to find this. Definitely recommend it for anyone.,Definitely recommend it for anyone,Color: PlatinumStyle: 3-StepPattern Name: Step StoolVerified Purchase,108 people found this helpful
K,/gp/profile/amzn1.account.AGDU7W75GSHSDQ2ZA56YSC6K2ZSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 12, 2019",1,,https://www.amazon.com/Cosco-Step-Folding-Stool-Rubber/product-reviews/B01KS4RG3Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"**Not safe!!** I purchased this for my elderly parents, but it is not safe... the legs have HARD PLASTIC  on the ends, not non-slip rubber. The hard plastic causes the stool to slip easily.  This should be taken off the market... will surely cause falls and injury.(Note: Years ago, I purchased a Cosco brand stool from Costco that I love... my stool has non-slip rubber on the ends of the legs, and is a quality product.  This stool from Amazon is not the same quality product!!)",Not safe! Very slippery on hard surfaces!,Color: GrayStyle: 2-StepPattern Name: Step StoolVerified Purchase,45 people found this helpful
Paul,/gp/profile/amzn1.account.AEXJYWYM7SIIJSZNOZMXX2NFJUCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2018",2,,https://www.amazon.com/Cosco-Step-Folding-Stool-Rubber/product-reviews/B01KS4RG3Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Gave it one stars because of the weld on the upper bracket support for top step. It only has two spot welds on each side. It also looks like the support pipe does not go into the main tube of the stairs. This worried me, when you are on the top step all the wieght in on those spot welds. I was going to return it, but I had a friend weld a bead of those points. Not sure if this was a defect from the factory or not. Maybe someone can let me know. Also, it has a sticker on it saying ""not for commercial use"". Maybe that version has a better weld.",Scary spot welds for top bracket...,Color: PlatinumStyle: 3-StepPattern Name: Step StoolVerified Purchase,60 people found this helpful
Thikacat,/gp/profile/amzn1.account.AEDDWMIRI7PUNDWE2TUM5X4ZGOBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2017",1,,https://www.amazon.com/Cosco-Step-Folding-Stool-Rubber/product-reviews/B01KS4RG3Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,I bought this to replace a wooden step stool that was much heavier. The handle at the top gives extra stability as well. Very pleased.Oh -- it passed Cat Inspection as well!,"Stable, sturdy, and lightweight.",Color: GrayStyle: 2-StepPattern Name: Step StoolVerified Purchase,110 people found this helpful
Elizabeth Hardisty,/gp/profile/amzn1.account.AHV4IXIADLCUH7JMK33MLJYY4X4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 20, 2017",0,,https://www.amazon.com/Cosco-Step-Folding-Stool-Rubber/product-reviews/B01KS4RG3Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"This is a good step-stool.  It's durable, good-quality materials, sturdy & safe.  The main drawback is the design itself - it's not really practical as a quick-use stool to sit in, because the top bar, the handle, is so positioned that you can't sit straight up in it - one has to lean forward a little; and there are (or was) a similar stool we had once that did allow use as a 'chair', which at times is very handy.  Also, it opens for use in such a way that the top seat doesn't fully click down into place until you put weight on it and then it 'pops' down with an audible ""CLUNK"" (which can also be a surprise if you're already getting up on it).  So it does its work just fine, and if you don't want to use it as a stool, and if you don't mind the 'clunk' of the seat getting firmly in place, no complaints at all.","Firm, well-made step-stool, won't work as a sitting-stool.",Color: GrayStyle: 2-StepPattern Name: Step StoolVerified Purchase,60 people found this helpful
Honey🍯,/gp/profile/amzn1.account.AFQ3W6QCMVJRSTYPSF3DMXQ5CYDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 18, 2016",0,,https://www.amazon.com/Cosco-Step-Folding-Stool-Rubber/product-reviews/B01KS4RG3Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This is the best step stool I have ever owned. I got it to replace the folding Cosco stool I bought years ago. That one stood the test of time, but now that I'm older, I need to be sure I have a heavier and reliably stable step stool. I'm quite short, and the top shelves of our cabinets are too high for me to reach without assistance. I use a step stool almost every day.This Cosco step stool is hefty and well-balanced, with steps wide enough to provide an even better sense of security. I recommend it as just right for anyone who needs assistance to reach higher places.","Sturdy, well balanced step stool.",Color: GrayStyle: 2-StepPattern Name: Step StoolVerified Purchase,72 people found this helpful
SW,/gp/profile/amzn1.account.AETPLHGLWQYCL44LW5RFXFNN23NQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 23, 2020",2,,https://www.amazon.com/Cosco-Step-Folding-Stool-Rubber/product-reviews/B01KS4RG3Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"Other than the slippery foot problem this stepladder seems well-built and functional. But it is unconscionable to me that the manufacturer has not addressed this by now, and I assume they just haven't been sued enough yet. This thing is near life-threatening on a tile floor and marginal on wood or smooth concrete. But rather than deal with Amazon's current return practices (waiting weeks right now for 3 refunds that they said would be posted within 7 days) I found a cheap fix which MOSTLY eliminates the problem. I removed the hard plastic feet under the step side of the ladder (each held on by one screw) and replaced them with 7/8"" rubber leg tips per the photo - total cost a couple of bucks. I say it ""mostly"" eliminates the problem because it's still possible for the other feet to slip if you are on the top step and shift your weight too far to that side, but even then the rubber tips on the step side, along with safety mindfulness on your part, should help.",Dangerously slippery feet - but there's a cheap fix,Color: PlatinumStyle: 3-StepPattern Name: Step StoolVerified Purchase,19 people found this helpful
Gigi,/gp/profile/amzn1.account.AELNV4K6FMGWJ2IX3O4YMR6DHD7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 23, 2016",0,,https://www.amazon.com/Cosco-Step-Folding-Stool-Rubber/product-reviews/B01KS4RG3Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"At first, I wasn't a huge fan of how the stool looked, but the utility beats the aesthetic by a lot, so I've come around :) Actually, the look has also grown on me, it is a simple design with basic colors and stays very clean.It is pretty lightweight, easy to handle and move around. It folds up to be very thin, so is very easy to store. It doesn't take much pressure to open it right up and then a slightly firm push down on the plastic step to lock it in. Then a slightly firm pull of the plastic top step to unlock the step to easily and smoothly fold it back into storage position.It holds up my 250 lb husband fine. I have really grown to love this stool, I use it a lot and see myself using it for a long time.",Better than it looks :),Color: GrayStyle: 2-StepPattern Name: Step StoolVerified Purchase,61 people found this helpful
