author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Joaquin Lewis,/gp/profile/amzn1.account.AEBXXRPQZ7CQRPDFXUJDPWEVTZDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 6, 2020",3,,https://www.amazon.com/EveryDrop-Whirlpool-Refrigerator-Water-Filter/product-reviews/B00UXG4WR8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I testes this water filter to see if it was working. I used the test stick that came with my ZERO water pitcher. So, I tested the water from the TAP. 269 PPM than I tested the water through the refrigerator water filter PPM was only 243 only a change of 10 PPM (PARTICLES PER MILLION). So, I ran 2 gallons of water through the water system in the refrigerator thinking maybe it needs a break in period. Mind you the family has been using the new filter through the refrigerator for about a week now.  Still only 243 PPM. Thank I took the same water from the refrigerator and ran it through the ZERO water filter, and you know what the test stick came back with 000 PPM.So, this filter is a total scam. I don’t think most will go fare to test to see if the filter is working like I did. But for $45 I needed to make sure it works. But it failed miserably. I would have been happy if it came back with 150 PPM, but only a 23-point change heck no. I sent it back. TO bad Zero water doesn't make a refrigerator water filter..",There was no change in water quality 269 PPM down to 243 PPM,Verified Purchase,522 people found this helpful
Steven Rappaport,/gp/profile/amzn1.account.AHL6QJGZJH6AYGYXPPQWVAJFDRUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 19, 2018",0,,https://www.amazon.com/EveryDrop-Whirlpool-Refrigerator-Water-Filter/product-reviews/B00UXG4WR8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,Do not buy from this source.  These are defective filters. I replaced the old filter with the one I received from Amazon ( having done this many times before) and the new filter made a grinding motor sound and barely dripped water.  I re-installed several times with the same result.  I subsequently went to Home Depot and bought the same filter which installed and worked perfectly on the first try. They are selling defects.  Do not buy from this source.,Defective filter,Verified Purchase,505 people found this helpful
C. Chamberlain,/gp/profile/amzn1.account.AH6YHSDXNU5FSC5T76LQQPULWSFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 4, 2018",1,,https://www.amazon.com/EveryDrop-Whirlpool-Refrigerator-Water-Filter/product-reviews/B00UXG4WR8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"This filter works fine as a replacement for W10295370 or W10295370A. Lots of confusion on model numbers and what fits so I am putting a photo here to help clarify.  P4RFWR, W10295370(A) and EDR1RXD1 are all the same, fit wise.Just installed in a Maytag MSF22D4XAW00 so time will tell how well this one performs, rather expensive for a filter, however.",This filter works fine as a replacement for W10295370 or W10295370A,Verified Purchase,283 people found this helpful
Martine,/gp/profile/amzn1.account.AGCOLUYNO5T66UL72M2ITYNUJHAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 18, 2017",0,,https://www.amazon.com/EveryDrop-Whirlpool-Refrigerator-Water-Filter/product-reviews/B00UXG4WR8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Original September purchase: product came in original manuf packaging, fits well and works fine.12 March Update #2: went for more water and got the hammering sound.  Upon opening the filter cartridge area, the paper towel I used to pad the cartridge is now soaked.  Redid papertowel (little thicker) and when I went back to check on it a couple hours later, paper towel getting wet again.  Just submitted a refund request.  Will try to buy from a brick/mortar store to see if I have better luck or even try to find an alternate option.  Will see what works!12 March Update: bought again but had issues when I installed it.  I’d get a hammering noise and then no water would flow.  Searched high and low for the ‘how to fix’ and found it on a YouTube video.  The latest cartridge I received was ever so slightly smaller than the last one, so it was making a complete seal when the filter compartment lid was closed.  So upon advice from the YouTube video I put in a folded piece of paper towel (about 1/4 sheet folded up) btwn cartridge and door and Voila - it worked w/out issued!  No hammering noise and water flows freely.  Will update again if this changes anytime soon!",Update: Refund requested! Latest ordered one slightly different size than last so doesn’t work anymore.,Verified Purchase,141 people found this helpful
Sammie D.,/gp/profile/amzn1.account.AEIM6ZH5HZMNL2UXHBWW4KQD375Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 22, 2018",0,,https://www.amazon.com/EveryDrop-Whirlpool-Refrigerator-Water-Filter/product-reviews/B00UXG4WR8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I was skeptical about buying the water filter after all the negative reviews, but it surprised me. My fridge was new and this is the first time I had to change the filter. Whatever filter was already IN the fridge had a terrible plastic taste so I was concerned that it would stay around with the new filter. To my big surprise it was much better. I only drink spring water and have drank from the filter and liked it- it had no after taste or plastic taste anymore. I did have some air bubbles following the filter change but it does go away after a little while. I made sure to run the water before the first use (as directed) although I didn't measure the water so was it exactly however many gallons??? No idea! I am very happy with my purchase and will only order this filter for my Whirpool fridge.",Great replacement filter for Whirlpool fridge,Verified Purchase,92 people found this helpful
Chenrong Yin,/gp/profile/amzn1.account.AEBU3ZYOIX2RXCSRS7QLOWDVB4DA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 17, 2019",0,,https://www.amazon.com/EveryDrop-Whirlpool-Refrigerator-Water-Filter/product-reviews/B00UXG4WR8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Everydrop filter 1 is a fair product, but I think it is quite expensive as a refrigerator filter. I have a big household, a family of five with two dogs, our daily water need is quite high. The water flow with filter 1 is time-consuming to fill a cup of water, especially when everybody gets home around the same time and all want some ice water. Therefore, I recommend any household over four to purchase a water filter system rather than rely on the filtered water through the refrigerator. We recently switched to an under sink Waterdrop reverse osmosis water filtration system. Though it is pricy to purchase in the first place, the system definitely satisfied our water need and the replacement filters are also affordable considering the filter life and replace frequency. The system is also quite stylish and only takes very little space. I use the filtered water to make coffee and fresh OJs for my family in the morning and they all love it. I think the major reason is that the system reduces a great percentage of TDS in the original water, which the water after filtration is not that “hard.”I used to find those ugly white scale deposits pile up on my kettle, but I do not have to deal with it anymore with the help of this RO system.",Good product but expensive,Verified Purchase,107 people found this helpful
Starman,/gp/profile/amzn1.account.AGTGNHE2F5F4VOIP5JB3UPTKTE7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 27, 2017",0,,https://www.amazon.com/EveryDrop-Whirlpool-Refrigerator-Water-Filter/product-reviews/B00UXG4WR8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"This item works. I purchased a different product that was half the price that did not work. This is the only filter thst works on my whirlpool side by side fridge/freezer. And, these filters only last me about 2 to 3 months. Getting expensive to use. Maybe it's my water pipes,I don't know,I'm on city water in florida. But it plugs up about every 3 months,and I need replace. Update: I discovered that the filter does not insert into the holder tight enough, to solve, put a small piece cardboard,or folded paper towel between end of filter and door that closes onto it. Forcing the filter tight into position.  That is what causes many issues people are having with their filter,hammering, low output, noise, leaking etc. It needs be pushed tight into housing. Test by just pushing in on it while dispensing water. Trust me, it's the issue.","works on whirlpool, check fit for operation",Verified Purchase,96 people found this helpful
Joseph White,/gp/profile/amzn1.account.AHHCAN26GIBWKWGICF5TZS27NX3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 24, 2018",0,,https://www.amazon.com/EveryDrop-Whirlpool-Refrigerator-Water-Filter/product-reviews/B00UXG4WR8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"Better flow than the ones that came with the fridge and subjectively the water seems to taste better. I've read this one filters out fluoride better than the old factory ones did, though I haven't tested that. Stupid expensive for a filter though. They've got us cornered with the custom filter type.",Good but Expensive and the Only Option,Verified Purchase,88 people found this helpful
Lindsey,/gp/profile/amzn1.account.AHYLFNQ2HBZWN2DFXDYGBBILG6HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 21, 2019",0,,https://www.amazon.com/EveryDrop-Whirlpool-Refrigerator-Water-Filter/product-reviews/B00UXG4WR8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I am one of a rare breed who uses a water tester to measure ppm in the water. Anything above 200 ppm is considered hazardous. Here in Washington, DC, the water typically falls between 167-182 ppm. When I first received the filter, it tested at an astronomical 1132 ppm. After running 4-6 gallons of water through the filter per instructions from the manufacturer (instructions I called to receive), the lowest I could get the ppm was 137. I thought I had a faulty filter, so I had requested a replacement, but I faced the same issue. It is deeply concerning to me that innocent people might be drinking this ""filtered"" water, believing the water to be clean, when the mineral content continues to test so high. I have simultaneously been testing bottled water, which every time has tested at zero (yay) and Brita filters, which are testing currently around 33 (still far better). First, I would say it is CRITICAL that consumers follow the instructions due to the extremely toxic water that will initially come through the filter -- remember it was 1,132 ppm and 200 ppm and above is considered hazardous. Second, I personally believe that having to run 4 to 6 GALLONS through the filter before it is said to work is rather extreme. I broke it down over two days because my dispenser isn't particularly fast flowing, so even conducting half of that amount took me an hour. Third, it ultimately did NOT filter the water, which is frightening. I am removing the filter completely and returning it for a refund, because drinking the tap is essentially the same, saves us $50, and removes the possibility of toxic exposure from the contents of the filter. I do believe this should be looked at more closely, because not everyone is actively testing the water and is relying on the company's word that water using this filter should be around 4 ppm (that is what I was told at least on a phone call with the company). On a positive note, the team at EveryDrop were wonderful and courteous, and I rather enjoyed working with them. They were as shocked as I was by the water testing results.","WARNING - When tested, this filter yields hazardous levels of PPM",Verified Purchase,35 people found this helpful
Dr. J. Davis Martin,/gp/profile/amzn1.account.AFMB7SWMHABONXONVZ5MUR42IK6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 18, 2019",0,,https://www.amazon.com/EveryDrop-Whirlpool-Refrigerator-Water-Filter/product-reviews/B00UXG4WR8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I had purchased this before but when I went to replace old filter, I could not get this to fit and water started spewing from the filter portal!! The water would not stop so I had a mini flood growing in the kitchen. I finally thought to put the old filter in and finally stopped the flow. I have reached out to Every Drop, Whirlpool ,and Pur to see if anyone can advise as to what filter I should buy as this is junk. I don't trust buying an Every Drop again. I read in these reviews that Pur used to supply the Every Drop filter but then started using a different brand and that's why the fittings don't load properly and that the length of the filter prevents the door from closing well. I'm hoping Pur actually has the filters that used their tech even tho Every Drop name is on the filters they sell on their site. My next call is to the store where I bought the fridge. Maybe they have had to deal with the repair problems caused by this filter and can rec a different one. Will update if anyone responds to my requests.**Update** All 3 companies responded to my inquiry. Whirlpool is sending me a replacement filter so I will let you know if it works. I will also add pics of the first filter, current filter (w/probs), and new Whirlpool filter for folks to be able to compare. Every Drop and PUR told  me to contact Whirlpool. I asked them to tell me specifically where I could buy a quality filter (as in the past) that would fit and both again referred me to Whirlpool. I am hopeful I can find a place to buy a good filter and will let you know details.*Update 2* received Whirpool's replacement filter and the minute i felt it I could immediately tell it was so much lighter than the one I bought here. I then noticed the one I bought here had lots of stains on it as well. After weighing it, the Whirlpool one, and the one I had previously bought from here, I am convinced that the most recent one I bought from here was used. It weighed more than the other 2, was even dirty whereas the one I replaced was still clean looking. I personally think Amazon should shut down this seller for safety reasons. They lure you in w/a good filter and when you return to buy another, God knows what is in that filter, where it was used, potential diseases, etc. The filter that started all this mess must have messed up the filter line bc now I am having issues where there is air in the line, water won't stop flowing, etc. and this is a 1 yr old fridge so I am hoping Amazon will allow the truth to stay in my review.",Caused a mini flood,Verified Purchase,25 people found this helpful
