author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Karlee,amzn1.account.AGJIDX5D6K3IPMM5P5L2Z766LBXQ,"Reviewed in the United States on February 3, 2018",0,,https://www.amazon.com/Lodge-America-Pre-Seasoned-12-Inch-Skillet/product-reviews/B0009JKG9C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"We use this pan for everything except eggs. We've had this one for quite a while now so I feel like i can give a longer term review. The biggest thing I don't like about this pan is that it didn't feel like it came sufficiently pre- seasoned, so we looked up some videos and instructions and did it. Now it feels like the more we use the pan the better it gets. My husband and I both just Love this thing. The only thing it doesn't seem to cook right is eggs. There seems to be a bit of a learning curve when it comes to cast iron, but once you figure it out, it's very enjoyable to cook on and the food comes out delicious.Tips on how we seasoned it: there are lots of opinions on which oil to use but we just went with plain ole vegetable oil. We made sure the pan was clean, then covered it with a thin layer of oil. We put it in the oven as preheated it until 475 degrees. Once it came to temperature, we turned it off and just let the pan sit in there until it cooled. The goal is to ""burn off"" the oil, so bring it past the smoking point until it gets dry and hard on the pan. That's what makes it coat well. We did this 3 or 4 times, but the more you use it the better nonstick surface you'll have.Tips: Don't wash with soap, it'll strip it. We purchased a chainmail scrubber that we love to use. Seems to help smooth it out a little too, but that might be in my head. When I clean it I only use the scrubber and hot water. The more I use the pan the easier it gets to clean.When you finish cleaning it, don't leave it wet. It'll rust. We just put it back on the stove with the burner on until it's dry. Easy.Keep in mind that cast iron doesn't exactly heat evenly, but it holds heat well. This just means that you have to sufficiently preheat the pan before you use to ensure even cooking.Overall I love this pan! It just gets better every time I use it.","Not seasoned well enough, but it's still a fantastic skillet.",Style: SkilletSize: 10.25-InchVerified Purchase,"2,239 people found this helpful"
Greg Levine,amzn1.account.AFBVBLBKFGFC3IK2TR24Q26C6K5A,"Reviewed in the United States on September 13, 2018",1,,https://www.amazon.com/Lodge-America-Pre-Seasoned-12-Inch-Skillet/product-reviews/B0009JKG9C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I bought this skillet a little while ago and I was surprised how rough the surface finish was. It felt like sandpaper. Given all the positive reviews, I was expecting higher quality. After some research I found instructional videos on how to grind these Lodge skillets smooth, but who has time for that? I found two other American producers of cast iron that come with a smooth finish right out of the box: Stargazer and Finex. The Finex looks interesting but I went with the Stargazer because it's fully machined at half the price. Seems like I made the right call. The design is great, the surface finish is super smooth, and it cooks like a champ. If you're reading this review, do yourself a favor and pass on the Lodge. Go with the Stargazer instead. It's well worth the investment.",Disappointed with surface finish. Went with Stargazer instead.,Style: SkilletSize: 10.25-InchVerified Purchase,"1,425 people found this helpful"
Britta,amzn1.account.AFTNMND3PH5ARVDGIE2CXKZDJTOA,"Reviewed in the United States on August 19, 2017",0,,https://www.amazon.com/Lodge-America-Pre-Seasoned-12-Inch-Skillet/product-reviews/B0009JKG9C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"This is my third lodge skillet. I typically use my 12 inch for everything, but I live alone, and this is perfect for eggs or grilled cheese. My biggest tip that I can give for lodge preseasoned cast iron---""wash it"" first. I don't use soap, but I use a stainless steel scrubber and hot water and thoroughly scrub the whole thing inside and out. I then dry it over medium heat on the stove, put a thin layer of oil all over the pan with a paper towel and then ""bake"" the cast iron in the oven at 450 degrees until it starts to smoke and stink. It kind of smells chemically. Once I smell it, I turn the stove off, let the cast iron cool in the oven, take it out, and it's ready to use. It may take a couple times before it's perfectly nonstick. Between each use I scrub it with the stainless steel scrubber and hot water and dry over medium heat on the stove. I rub more oil on it after drying about every 10th time I use it, or when it looks dry. I have never had to rebake it. My twelve inch has been perfect for years and this one is well on its way. So low maintenance. Great, heavy quality.",Lodge Skillets are the best- with a little prep.,Style: SkilletSize: 8-InchVerified Purchase,793 people found this helpful
jhfitness,amzn1.account.AFHWNHU3NPR5QE5BYDMYAMM4LXQQ,"Reviewed in the United States on June 8, 2019",3,,https://www.amazon.com/Lodge-America-Pre-Seasoned-12-Inch-Skillet/product-reviews/B0009JKG9C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I'm adding a photo in case anybody else was struggling to figure out what size to get! This is the 6.5 inch. It's the basically size of a regular napkin. I also put a large egg and a stick of butter in to show a comparison. I got it to make pizzookies in (""pizza cookies""), and I ordered too small at first. This size is perfect for me.  Lots of people are complaining about the food sticking.  I've used my skillets for cookies and eggs (mountain man breakfast), and it hasn't caused me any issues.  In fact, my eggs didn't stick at all! (I did use butter in the pan, but I assume that's normal). Overall, great.  I think I'll order 2 more to use with friends over!","6.5"" comparison",Style: SkilletSize: 6.5-InchVerified Purchase,311 people found this helpful
Jan,amzn1.account.AGK5B7NIMEGPR6V7V2T3TVBO6TEQ,"Reviewed in the United States on March 10, 2016",5,,https://www.amazon.com/Lodge-America-Pre-Seasoned-12-Inch-Skillet/product-reviews/B0009JKG9C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I really love this cast iron 10 inch skillet from Lodge!  I debated for a long time whether or not purchase one, For me, a purchase like this is about an investment, and I want my investment to last a long time.. I also really like the fact that this is made in the USA.  American made products are just not easy to find anymore.  But really, the proof in the quality of this cast iron  was obvious when i made sweet potato corn bread and baked it in the oven in this skillet.  It came out so nice and brown and moist.  I'm enclosing pictures, so you can see the nice way it cooked the corn bread on both the top and bottom of the bread.  Sorry, the pan in the first picture is a bit oily looking....I had cooked in the pan and then washed and oiled it.  If you like this review, please click the helpful button under the review.  It helps me to know if my reviews help people.",Really a Great Purchase!!!!  Love this Cast Iron Skillet!!,Style: SkilletSize: 10.25-InchVerified Purchase,"3,210 people found this helpful"
Karlee,amzn1.account.AGJIDX5D6K3IPMM5P5L2Z766LBXQ,"Reviewed in the United States on February 3, 2018",0,,https://www.amazon.com/Lodge-America-Pre-Seasoned-12-Inch-Skillet/product-reviews/B0009JKG9C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"We use this pan for everything except eggs. We've had this one for quite a while now so I feel like i can give a longer term review. The biggest thing I don't like about this pan is that it didn't feel like it came sufficiently pre- seasoned, so we looked up some videos and instructions and did it. Now it feels like the more we use the pan the better it gets. My husband and I both just Love this thing. The only thing it doesn't seem to cook right is eggs. There seems to be a bit of a learning curve when it comes to cast iron, but once you figure it out, it's very enjoyable to cook on and the food comes out delicious.Tips on how we seasoned it: there are lots of opinions on which oil to use but we just went with plain ole vegetable oil. We made sure the pan was clean, then covered it with a thin layer of oil. We put it in the oven as preheated it until 475 degrees. Once it came to temperature, we turned it off and just let the pan sit in there until it cooled. The goal is to ""burn off"" the oil, so bring it past the smoking point until it gets dry and hard on the pan. That's what makes it coat well. We did this 3 or 4 times, but the more you use it the better nonstick surface you'll have.Tips: Don't wash with soap, it'll strip it. We purchased a chainmail scrubber that we love to use. Seems to help smooth it out a little too, but that might be in my head. When I clean it I only use the scrubber and hot water. The more I use the pan the easier it gets to clean.When you finish cleaning it, don't leave it wet. It'll rust. We just put it back on the stove with the burner on until it's dry. Easy.Keep in mind that cast iron doesn't exactly heat evenly, but it holds heat well. This just means that you have to sufficiently preheat the pan before you use to ensure even cooking.Overall I love this pan! It just gets better every time I use it.","Not seasoned well enough, but it's still a fantastic skillet.",Style: SkilletSize: 10.25-InchVerified Purchase,"2,239 people found this helpful"
🔹 Catrinka 🔹,amzn1.account.AHO2ZKVTDPL6G35FLZW7UGXCYSEA,"Reviewed in the United States on November 6, 2016",0,,https://www.amazon.com/Lodge-America-Pre-Seasoned-12-Inch-Skillet/product-reviews/B0009JKG9C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,4.0 out of 5 stars,"I've ordered two of these 12"" Lodge cast iron skillets from Amazon over the years.  The first one I bought years ago for me to use and, more recently, another one for my son's first apartment after college.For the price, I don't think you can beat cast iron skillets from Lodge.  If you google ""best cast iron cookware,"" you'll generally find Lodge listed at the top or at least as one of the favorites by different consumer research sites and publications such as Cooks Illustrated even when compared to cast iron at many times the price.The only cast iron cookware that I find to be of better quality than these are those manufactured many decades earlier.  I have a couple of smaller Griswold cast iron skillets made around 1930-1940 and there's a definite difference.  Good quality vintage cast iron cookware is generally thinner walled and slightly lighter in weight.  Many of the older pieces also have a raised bottom ridge, or smoke ring.  However, the biggest difference IMO is the smooth, polished surface on the vintage pieces.  Modern-day manufacturing of cast iron skillets (like these by Lodge) tends to leave a slightly pebbled surface.  Unfortunately, it's getting harder and harder to find smooth-finish vintage cast iron cookware that's in good condition.  And, when you do, it's usually quite expensive.An ultra-hot cast iron skillet is my very favorite for searing thick tenderloin steaks and salmon.  I put the skillet (minus silicone holder) into a 500° oven for about 10 minutes to heat it.  Then I apply a dry rub seasoning to both sides of room temp steak filets or to top side of salmon fillets.  Remove hot skillet from oven (extremely hot, so be careful), place on high flame or burner, and immediately place steaks or salmon onto skillet surface to sear to the degree of browning and crispness desired (usually just takes 1-3 minutes).  Flip to other side to sear and then place back into still-hot oven to finish cooking.  Amount of time in oven will depend on thickness of steak and/or fish and degree of ""done-ness.""  Salmon and other meaty fish don't take long and, since we eat our steaks rare or med-rare, it usually doesn't take more than several minutes in the hot oven to finish.While the pre-seasoning on these skillets (Lodge uses soy-based vegetable oil) is a nice way to start out without having to do that time-consuming step before using, you'll find that the surface of your skillet just keeps getting better and better.  For many things, I find them to be every bit as non-stick as a teflon coating.For cleaning, I use a scraper if I need to remove anything stuck on, but rarely does that happen.  I never use detergent on mine.  Instead I use hot water and a scrubbie to clean.  Always be sure to thoroughly dry cast iron pieces so that no rust develops.  And never ever put them in the dishwasher!The silicone handle cover is a nice addition for use on top of the stove.  While it can handle some oven temperatures, I remove it before placing in a 500° oven since that's higher than the recommended temp for the silicone.","For the price, it's hard to beat Lodge cast iron skillets",Style: Skillet with Handle HolderSize: 12-InchVerified Purchase,258 people found this helpful
Tess M. Manicki,amzn1.account.AFZHOAZUWCWMBCKFU4GAXTX3HEUQ,"Reviewed in the United States on April 5, 2019",1,,https://www.amazon.com/Lodge-America-Pre-Seasoned-12-Inch-Skillet/product-reviews/B0009JKG9C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"I don't even need to review this product because there are so many people who already give it high ratings.  But I felt the need to anyways.I have owned cast iron in the past, and honestly, I didn't get it. Everyone was always raving about how amaaaazing it was and how it's sooooooooo good for non stick.  And I would see videos of people sliding eggs out of the iron like it was a non stick pan.  I bought a FANCY iron skillet from a high name brand, and I was like....what?  What was I doing wrong?EVERYTHING. WOULD.  STICK.I basically called BS on the whole thing.  I then went online and learned all this special care for iron and how you ahve to never use soap, and not be too abrasive or you'll remove the seasoning, and basically all of these things where I wa slike....okay.  So.....my food burns onto it, and then.....I can't use soap or an abrasive scrubber to remove it?  So....what universe is everyone else living in????So I gave up on cast iron and happily went back to my anodized non-stick set.Well after a few years I visited a friend and was cooking at her house.  I learned that ALL she had was a full set of Lodge Cast Iron.THE HORROR.I was floored with fear because I am a great cook and was 1000% expecting to burn everything to her pans and destroy them.The cooking, changed my life that day.  It was SO. EASY.Her pans were so enjoyable to cook on that I immediately went home and ordered a Lodge skillet.  I was still nervous about it, but at the low price, who cares!  I am privileged enough that I can afford to spend $30 to see if I like a pan without going broke.It arrived, and it's been a life changer.  The cleaning is not that hard at all, I do avoid soap but I got a brush to clean it with and all is well.  I cook only using butter or bacon fat and the extra savory taste that all of my cooking gets from this pan and it's seasoning is just miles and miles beyond that of my non-stick.  I have gone from using a full 12 piece set, to basically only using one ceramic non-stick pan about 25% of the time, and my one Lodge skillet 75% of the time.  The best.  I want a smaller one too.","Huge Skeptic, I Was Proven Wrong",Style: SkilletSize: 12-InchVerified Purchase,34 people found this helpful
X. Z.,amzn1.account.AHRO7F4OLJ2QCT5QO2O3OJDCSBMA,"Reviewed in the United States on August 6, 2020",2,,https://www.amazon.com/Lodge-America-Pre-Seasoned-12-Inch-Skillet/product-reviews/B0009JKG9C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"I really wanted to love this pan after reading all the reviews, but I must have done something wrong that it failed the very first time I used it.  The day I received it, based on the instruction from Lodge's website, I used hot water to rinse it without soap, dried it completely using paper towel, and applied veggie oil.  I then put it on cook top, turned on heat to low, and slowly to high.  I then cracked an egg into it, and a few tomato slices.  I thought I followed every step correctly, but everything stuck on the pan.  It was super hard to clean.  I used a brush with nylon bristles, but in vain.  I then again followed instruction and boiled water for a few minutes, but the food still got stuck on the pan.  I tried boiling water three times and didn't help.  Very frustrated, I dried it and coated with oil.  I tried again the next morning with a Dutch baby pancake in the oven, and again was very sticky.  I wonder what I did wrong and how to fix it.  I emailed Lodge, but a week passed and I have not heard anything from them.  I had high hope on this pan and now super frustrated.",What did I do wrong?,Style: Skillet with Handle HolderSize: 10.25-InchVerified Purchase,16 people found this helpful
DSH,amzn1.account.AFYE6UG3W5ARWYDZTUODON3BCEXQ,"Reviewed in the United States on January 3, 2016",1,,https://www.amazon.com/Lodge-America-Pre-Seasoned-12-Inch-Skillet/product-reviews/B0009JKG9C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=5,5.0 out of 5 stars,This is a quality pan and became totally nonstick after a few seasonings. Reasonably priced and made locally.  This pan will last forever with proper care.  Picture shows a batch of latkes in action.,What's not to like?,Style: SkilletSize: 6.5-InchVerified Purchase,116 people found this helpful
