author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
ChiefLaughALot,amzn1.account.AF4KRDA6XVQE357OWPILTPXV7TSA,"Reviewed in the United States on November 24, 2018",0,,https://www.amazon.com/COOLIFE-Luggage-Suitcase-Hardshell-Lightweight/product-reviews/B01M0MAZ3J/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"My family travels internationally which means lots of airplane transfers, rail, ferry loading and unloading.  Each member has their own set. Only one cosmetic scuff has appeared. About to order another set for my mother as we are taking her to London, Scotland and Ireland for the holidays. We rarely use the middle size. The small size we carry on and the largest size we check. Very pleased with maneuvering and durability of wheels on various rough surfaces. The retractable handle makes for easy storage on ferries and railway. We’ve had zero issues with locking mechanism.  We are a family of 4 with kids age 8 and 12.",International travelers,Color: blueVerified Purchase,696 people found this helpful
P Pep,amzn1.account.AESUXZN5UHWORNTTMXMJLJEJDZNQ,"Reviewed in the United States on December 15, 2016",0,,https://www.amazon.com/COOLIFE-Luggage-Suitcase-Hardshell-Lightweight/product-reviews/B01M0MAZ3J/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,Loved it however very disappointed after my first use one of the bags cracked.  It should last longer than one flight.Update -  The Company reached out within 24 hours of my review to address the situation.  I was very impressed with their customer service and their desire to have happy customers.,Loved it however very disappointed after my first use one ...,Color: orangeVerified Purchase,"1,311 people found this helpful"
Shannon,amzn1.account.AF2CT7AT2J3P2CWNHT7MNSAXQEIQ,"Reviewed in the United States on June 1, 2018",0,,https://www.amazon.com/COOLIFE-Luggage-Suitcase-Hardshell-Lightweight/product-reviews/B01M0MAZ3J/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,When I first saw the reviews I was like dang I shouldn’t buy this luggage but I still took a chance because I needed cheap luggage. And I am a very satisfied customer. My luggage survived my first trip. I would recommend luggage covers because they can get scratched easily but to me that’s not an issue. My belongings being secure and my luggage not being damnage were my only concerns. And they were not damaged at all. The preset lock code worked fine too and it was easy to reset the (000) password to what I wanted it to be. So yes I would definitely recommend this set. It’s definitely cheap and reliable.,A Great Buy,Color: blueVerified Purchase,352 people found this helpful
Amazon Customer,amzn1.account.AFQZV6XQRGOR6XS65RHZXC3W6KSA,"Reviewed in the United States on July 5, 2018",0,,https://www.amazon.com/COOLIFE-Luggage-Suitcase-Hardshell-Lightweight/product-reviews/B01M0MAZ3J/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,This item came quickly I received just in time for our trip.  This luggage is awesome.  We went to Hawaii for 10 days held all of our items plus a few extra on the trip home. The suitcases are lightweight and roll with ease.  I loved the zippered section nothing fell out.  The wheels roll well especially in the busy airport.  Outsides are very durable.  You can pull the handle up and set your backpack or extra bags on top nothing falls off.  This is the best luggage I have owned so far.  I will be taking it to London in December.,Excellent wheels lightweight,Color: blueVerified Purchase,269 people found this helpful
Amanda,amzn1.account.AEOOZJAVM3FCB6G67H5ZDLVX3EKQ,"Reviewed in the United States on October 9, 2017",0,,https://www.amazon.com/COOLIFE-Luggage-Suitcase-Hardshell-Lightweight/product-reviews/B01M0MAZ3J/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"I purchased these to go on vacation.  I used these once, with the zipper not working on my returned. I had to tap my suit case closed on my returned flight.After writnig this review the manufacture contacted me directly and credited my account for the issues I had with the suit case.  Although the product may need work, there is a lto to be said about customer service!  Thank you Mia for contacting me and working with me on a solution!",Product needs work but Customer Service is awesome!,Color: blueVerified Purchase,306 people found this helpful
may e howard,amzn1.account.AGR5BX4UHKEZ4TXFKM6ZFM4KTB7A,"Reviewed in the United States on May 8, 2018",3,,https://www.amazon.com/COOLIFE-Luggage-Suitcase-Hardshell-Lightweight/product-reviews/B01M0MAZ3J/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I really like my new luggage set. They came today. I won't be traveling with them until July.They look really great. I will let you how the trip goes. At this moment, I'm happy with my purchase.",Time for new luggage,Color: blueVerified Purchase,187 people found this helpful
Jason Kyle,amzn1.account.AFQY4HLHGZ744JQCRFDKVYSWJTAQ,"Reviewed in the United States on April 25, 2018",0,,https://www.amazon.com/COOLIFE-Luggage-Suitcase-Hardshell-Lightweight/product-reviews/B01M0MAZ3J/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I had to go to Germany recently and the luggage we had blew out a wheel on the last trip. The search began... I wanted to a suitcase that I could check that wasnt gigantic but would be solid for 7 - 10 days of business travel as well as work for those coveted vacations. What we ended up finding was 3 suitcases that would work for both my wife and I! These are solid, feel well put together, and seem like they will last a while. The only con Ive found so far is that I was expecting them to be a little more hard shelled, when I sat on it, the case cratered a bit but popped right back and I brought some hollow chocolate eggs back in my bag and several of them were damaged during handling from the trip. The middle sized bag was perfect for me for a 7 day international trip... I cant wait to go on vacation and need the large bag!",and seem like they will last a while,Color: orangeVerified Purchase,188 people found this helpful
By CJs Pirate,amzn1.account.AHJ3S3V3XBCJZFF7EE4RALKBJPPQ,"Reviewed in the United States on July 13, 2018",0,,https://www.amazon.com/COOLIFE-Luggage-Suitcase-Hardshell-Lightweight/product-reviews/B01M0MAZ3J/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,After a week of traveling I am quite impressed with this luggage.  It has withstood the rigors of daily movement from my pick up to whatever hotel my wife and I happen to be staying in during this six state journey.  I was doubtful at first whether I would find this luggage to be any better than anything I already owned.  My doubts have been alleviated.These pieces are a charm to handle.  They glide easily and the telescoping handles lock into place firmly.  I am impressed.,Easily Glide When Pulled,Color: blueVerified Purchase,167 people found this helpful
la nakashima,amzn1.account.AGGAAVDQ4OOETOTLNMFGT4IECKBQ,"Reviewed in the United States on September 4, 2018",3,,https://www.amazon.com/COOLIFE-Luggage-Suitcase-Hardshell-Lightweight/product-reviews/B01M0MAZ3J/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"UPDATE:  upgraded review because customer service has been so attentive.this latest pic ... i TOTALLY can find my luggage - SOOO EASILY!!!i have had 2 more flights .... no additional luggage dents.  i did buy luggage straps .... NOT related to security of this brand - simply seemed like a good idea with zipper-hardside luggage.  go figure - from 3 pieces of luggage with 6 straps, lost 2 straps already.*********the luggage is standard in features (tho not expandable) ... price seemed good.  BUT, I chose hard-sided luggage because a couple trips i'm taking i'll be traveling with delicate/fragile/squishable items.  i am worried how this case will fare.I am contacting company & will update my post with how customer service handled situation.","1st travel, luggage dented",Color: apple green2Verified Purchase,120 people found this helpful
Roger K. Mukai,amzn1.account.AER5DBN6Y24OPULGCBRNCNHLRSVQ,"Reviewed in the United States on August 2, 2018",0,,https://www.amazon.com/COOLIFE-Luggage-Suitcase-Hardshell-Lightweight/product-reviews/B01M0MAZ3J/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Great Luggage at a Great Price!There is nothing about these that I DIS-LIKE!  They are brightly colored, which; for me, makes it easy to find them on the Airport Luggage turnstyle, and; all the featues are fantastic - they will server you well!  Handles are a MUST, and they are easy to pull and push and turn!  I like that you can stack-them inside one another to store, and; they are worth the price - at just about $100 for the entire set of 3.  Truly fabulous indeed!",Great Luggage at a Great Price!,Color: apple green2Verified Purchase,126 people found this helpful
