author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Kay r,/gp/profile/amzn1.account.AGO7YDI4EAP6I7YCUL2K4JFRCO5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 6, 2018",6,,https://www.amazon.com/Rockland-Piece-Luggage-Beach-Size/product-reviews/B00PY06NP2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I purchased the owl pattern for my 5 year old and the giraffe pattern for my 11 year old for a trip to grandma's this coming summer.  After arrival, I inspected the pieces thoroughly and found them to be well made.  The goal is to take only a carry-on and a personal bag each so we don't have to pay extra luggage fees. I did a pre-packing run to make sure how much we could fit inside and I was very happy.... So happy in fact, that I decided to order a set for myself too.  I pack by laying out my pants and shirts on top of each other, folding them in half,  and rolling them together.  I find that I fit far more in my bag that way. Here is what I fit inside the main area for myself without expanding the zipper for the extra 2 inches of room:2 pairs of jeans3 pair of mid calf capri pants5 shirts1 dress3 bras5 underwear1 pair sandals1 pair dress flats1 pair Nike running shoes1 swimming  suit1 beach cover-upIn the small outer pockets I packed:5 pair socks3 camis1 slipIn the smaller personal bag, I fit my 11 inch laptop in the large front pocket. In the main area, I fit the following:make-up, curling iron, deodorant, toothpaste, electric toothbrush with its charger, phone and charger,  travel size wet wipes and Kleenex packets, wallet, keys, snacks and a water bottle.There is a zippered long narrow pocket on the other side of the personal bag that is the perfect size in which to put your boarding pass. There is also a nice wide strap to loop over the handle of the carry-on so both bags can be pull transported through the airport.I rolled the bags all around my house on carpet and hardwood to test the wheels.  They functioned smoothly.  I parked the bag free standing and fully packed.  It remained upright.  Some reviewers have said their bags tipped over when packed.  Maybe it depends on what you have inside and how it is packed.I fly Delta and the fee for checked bags is $25 each way so a round trip would cost $50.  You are allowed one carry-on and a personal item for free.  I paid $29 for the owl print set,  $35 for the giraffe print set, and $29 for the solid purple set I bought for myself.  I know these will last many trips for my girls and I so it was definately worth the pittance of a price for these new luggage sets. I come out $1 cheaper after tax and with my free prime shipping ordering all of these than I would have to check 2 bigger bags. I packed enough clothes for each of us for a week. I actually could fit two weeks worth of clothes for my 5 year old since her things are smaller.  We are staying 3 weeks at grandma's house so we do laundrythere.  I'd much rather have the pretty new luggage for the price than to pack extra clothes and pay for the bag fee.  The way I figure it, even if we buy extra stuff there that won't fit on the way back, it's cheaper to mail it back in a priority mail one rate box than to pay luggage fees. I am very happy with my purchase and think you will be as well.",Great luggage and Super great price,Size: 2-Piece Set (14/19)Color: OwlProduct Packaging: Frustration-Free PackagingVerified Purchase,"1,808 people found this helpful"
Dave J,/gp/profile/amzn1.account.AFYFNVBAO7W77K5E2ZVRRP2QCU4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 7, 2018",0,,https://www.amazon.com/Rockland-Piece-Luggage-Beach-Size/product-reviews/B00PY06NP2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Okay I do have to admit, for $32.00 it's a HIT !! I have used this for a few day business trip and it worked out great. I waited to write this review until I did a real vacation test with this little set. We just came back from a 9 day trip to Cancun and I have to say this little carry on did very well, and saved me $25.00 each way for checked luggage. My Family thought I was a little crazy that I was only taking a carry on and not packing a huge suitcase. I will say I did take a laptop backpack instead of the smaller second bag for my netbook, tablet, chargers, travels docs, etc... I was able to pack everything needed for this trip and there were still a few things I didn't even wear that I brought. We always take more than we need and this proved that. I was even able to fit a few items I purchased in this carry on for the trip home. I'm a motorcycle guy so packing less is not an issue and obviously going to a warmer climate not much heavy clothing is needed.Here is what I took:7 shirts, 3 tank tops, 2 swim suites, 7 pairs of socks & underwear, 2 pairs of sandals, 1 pair of walking shoes, 3 pairs of cargo shorts, 1 pair of relaxing shorts, 1 light weight sweat pants, 2 baseball caps, and my toiletry bag.I wore jeans, a short sleeve shirt, and my tennis shoes while traveling. It was a challenge selecting and packing what you think you need, but really wasn't that bad and I did fit a lot in this Rockland luggage. I flew Delta / Aeromexico and no problems with my two pieces as carry on items. I recommend this set and for $32.00 it's already paid for with my checked luggage savings, and will have it for many trips in the future as well.  :-)Dave JAdd on comment: I do see a lot of people saying it tips, and yes when fully packed it will tip over if you take your hands off the handle. But I've had other bags that do this also, it only took me one time to figure out that I need to hold on to it or lean on my other bag and/or a stationary object to keep it from falling over.","Okay I do have to admit, for $32.00 it's a HIT !!",Size: 2-Piece Set (14/19)Color: CharcoalProduct Packaging: Standard PackagingVerified Purchase,565 people found this helpful
Chasesmommy,/gp/profile/amzn1.account.AGZN5CXI6XJCUYUGAWVGZYL3NUDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 9, 2018",0,,https://www.amazon.com/Rockland-Piece-Luggage-Beach-Size/product-reviews/B00PY06NP2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I was disappointed that this luggage had a prop 65 warning right on the tag, yet Amazon lists no warning. Had I known, I would not have purchased this. I believe it to be misleading people. It should be listed for people to take into consideration.  Possible reproductive harm and cancer? Wonderful.  If I could give zero stars, I would.If you are not concerned about that warning, then it looks like an ok product. Definitely get what you pay for. It looks ok on the outside but cheap lining and smells like chemicals on the inside. Would probably air out in a few days. I'm sending this back.",Prop 65 warning right on tag,Size: 2-Piece Set (14/19)Color: NavyProduct Packaging: Standard PackagingVerified Purchase,379 people found this helpful
Jor,/gp/profile/amzn1.account.AHGJTS5GXPXKXB4MTHJIPYICF2YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 24, 2019",0,,https://www.amazon.com/Rockland-Piece-Luggage-Beach-Size/product-reviews/B00PY06NP2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"As an infrequent traveler, this was perfect for me.  Stuffed both full and they still fit in the overhead bin and under the seat in front of me.  No problems with size, and I could carry on all my luggage and avoid those ridiculous bag fees!  I wheeled it through the Atlanta & Orlando airports twice without any issues.  It’s lightweight and rolls easily.If you’re a frequent traveler, then you might want to get something more durable.  But for the price point, this was just perfect for me and I expect it to hold up to my needs for a long time.  Great purchase!As a Prime member, I buy a LOT of stuff from amazon.  Living out in a rural area far from a city, amazon is my go-to source for many of my purchases. I must rely heavily on your product reviews to help me decide which item is best for me -- especially when I can't actually see, touch or hold the product.I take my personal product reviews seriously, and if something proves to be a piece of junk, I'll tell you - and if it's great or mediocre, I'll tell you that, too.  My policy is to try to write the kind of reviews I want to read and to update my reviews if for some reason the product fails to perform as advertised during the period it's warrantied for. I do ask that if you found this review helpful in making your decision, that you please click on the ""yes"" button below.","Just right, like ‘Baby Bear’s soup’!",Size: 2-Piece Set (14/19)Color: BlueProduct Packaging: Standard PackagingVerified Purchase,159 people found this helpful
Kevin A.,/gp/profile/amzn1.account.AEFBJ76UUIYU4PL36676BXGPYIBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 21, 2016",1,,https://www.amazon.com/Rockland-Piece-Luggage-Beach-Size/product-reviews/B00PY06NP2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"This is my second set of this luggage. Why did I get two sets if I think it is one-star? Because the first set was great. It fulfilled its purpose and held my stuff when I traveled (only about once a month). However, it appears in 2015 they must have done a redesign. The most recent set I ordered is awful. The feet on the bottom were made to be more narrow and smaller, so no matter how you pack the rollaboard, it will fall-over when left standing on its own. It's very tedious to always have to make sure it is leaned against something while at an airport. On the second bag, the decal also fell off during the first use of the bag. The ""Rockland"" decal wasn't amazingly pretty or anything, but is just more evidence that they redesigned this luggage to be much lower quality. Buyer beware!I've included a picture where you can see how the feet of the two rollaboards are different.",Buyer beware! This has been redesigned recently and is no longer effective luggage,Size: 2-Piece Set (14/19)Color: BlackProduct Packaging: Standard PackagingVerified Purchase,"1,379 people found this helpful"
lr,/gp/profile/amzn1.account.AHAGHG3K3MDXP6XLBRLRLGNSJUWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 25, 2016",4,,https://www.amazon.com/Rockland-Piece-Luggage-Beach-Size/product-reviews/B00PY06NP2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"I purchased this suitcase because of a week long trip across the country with VERY different weather than mine, so I had to pack more than t-shirts and shorts.  This suitcase is deceiving - it looks smaller than what it actually is and I DID have room to spare.  I did use packing cubes because it is helpful to me, but I did manage to get a week's worth of clothing (no access to washing machine) that included 3 t-shirts, 2 leggings, 3 blouses, 3 camisoles, a light sweater, jeans, 2 pairs of shoes (1 was heels, the other was flats), and undergarments.  My clothes did not come out all wrinkled or incredibly creased - not more than you would get from folding your clothes and putting them in a drawer.  The empty space that is in there contained a makeup bag and the TSA approved baggie of toiletries.The small carry on was a bit more disappointing - a lot could be stuck in there, but regardless of size or weight of the items, it seemed to pull at the seams in a few different spots.  It is completely functional, though.  The zipper got stuck a couple of times, but I can't blame the making of the bag for this alone.Regarding sizing and durability, the suitcase itself does comply and fit into one of those 14"" x 22"" sizing things at the airport.  The smaller bag fits perfectly under the seats.  This suitcase went on 7 flights, including 2 that had to be valet checked because of the size of the aircraft and even wound up in the wing of a Cessna at one point.  It has a couple of dirt scuffs, but it is in otherwise perfect shape!One thing to note - if you put something (like sandals) in the front pouch of the larger one, it will topple over.  I do wish the base was sturdier, but I can't complain too much with the pricing of it.  I've read a couple reviews where it says it smells.  Yes, it is a bit smelly out of the box, but it is the smell as if it sat in a box in a warehouse.  If you let it air out, the smell goes away.Definitely a good combo and worth the price!",This suitcase!  It's a must and is AMAZING!,Size: 2-Piece Set (14/19)Color: Black/GrayProduct Packaging: Standard PackagingVerified Purchase,306 people found this helpful
Michele P,/gp/profile/amzn1.account.AHZD744XC32PITH2ST733X5NFITQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 9, 2017",8,,https://www.amazon.com/Rockland-Piece-Luggage-Beach-Size/product-reviews/B00PY06NP2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I fit what is in my pictures into the main bag, have mostly books in the smaller bag - am not done packing that one, still plenty of room. Could probably fit more in the main bag as well, and have more small things to add.3 dresses, 1 skirt, a ton of panties, 3 pairs of socks, 3 normal bras, 2 sports bras, a light rain jacket, 11 shirts, 1 pair of sneakers, 1 makeup/etc bag, 1 liquids bag.No quality problems so far, both bags look great... although my sneakers and the black bag in the netting section may cause a strain and tear there but I'd expect that from how I shoved them in there.I was worried about the size at first but I feel like I fit a lot in there really easily. This is an awesome bag for a really great price.Also, it comes with two keys to lock the main bag's main zipper.",Fit more than I was expecting & great quality so far,Size: 2-Piece Set (14/19)Color: RedProduct Packaging: Standard PackagingVerified Purchase,150 people found this helpful
L. Mountford,/gp/profile/amzn1.account.AHRGTIMQO47C2VLJILIDU53BQKSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 31, 2017",0,,https://www.amazon.com/Rockland-Piece-Luggage-Beach-Size/product-reviews/B00PY06NP2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,"I've owned a Rockland wheeled duffle for a number of years and LOVE it.  Great quality, easy to pack and wheel around, I've taken it on at least a dozen trips on planes as well as Amtrak cross-country trips.  It still looks almost like new.So when I went looking for a small-ish wheeled carry-on bag w/ tote, I immediately came to Rockland.  For the price point, I wasn't expecting super great quality.  This set isn't horrible, but I would never want to check it, though -- I don't think it would ever stand up to even moderately rough treatment.The biggest problem is the wheeled carry-on bag.  It doesn't stand up by itself when packed.  It looks like it's supposed to, but the ""stand"" part near the front isn't sturdy or big enough to balance the bag.  So if you stop anywhere, you have to make sure you lean it against your leg or something.  REALLY annoying.  Also, it doesn't balance well on the wheels, so if you're pulling it through the airport, it flops over sideways.I think I'll be more likely to use this for short 2- to 4-day road trips, where I just dump it into the car and don't have to worry about wheeling it over long distances in an airport.The shoulder bag is OK, but the strap isn't really long enough for an adult, even fully extended.  Again, this is likely something I'll use for shorter road trips.Meanwhile, I'll keep looking for a decent carry-on bag set, and increase my budget.  This is ... just OK.",Not up to the usual Rockland quality standards ...,Size: 2-Piece Set (14/19)Color: NavyProduct Packaging: Standard PackagingVerified Purchase,126 people found this helpful
GBC,/gp/profile/amzn1.account.AEOTIVDPILFEOGDW6MP6QQBCEM6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 10, 2017",0,,https://www.amazon.com/Rockland-Piece-Luggage-Beach-Size/product-reviews/B00PY06NP2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,"Bought 4 of these altogether. They look good new, and the way they expand makes them very practical. They dont like to stand upright when full - they tend to topple forward. And you can pinch your finger when you collapse the handle if you're not careful. Biggest complaint is that they arent durable.One broke in transit on only its 2nd or 3rd flight - material tore around the zippers, whole thing opened up - big mess on the baggage carousel. Was it overstuffed? Yeah, but not crazy.On another, the handle broke after 2 years - it had probably been on 10-15 flights.On a third, the zipper grip broke, which is a nuisance, but at least the bag is still useable.The 4th is in rough shape, but its still in use.For $30, you can do worse, but I'm dissatisfied with their fragility. When I buy a replacement, I'm gonna try something different.","Bought 4 - 2 are in the trash, and 2 are barely hanging on",Size: 2-Piece Set (14/19)Color: RedProduct Packaging: Standard PackagingVerified Purchase,102 people found this helpful
liVVi,/gp/profile/amzn1.account.AHKWK55INXQTB6NAWRE6HIUE3HZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 29, 2018",2,,https://www.amazon.com/Rockland-Piece-Luggage-Beach-Size/product-reviews/B00PY06NP2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"One of the bags fell apart on the first use! The divider that separates the main compartment from a side one has come apart. I can not see where to get it replaced and even through it has a 5 year warranty (they require you to send them $25 handling charge BEFORE they do a thing, if they do) the bag is not worth $25. So the 4 bag set after the FIRST use is a 3 bag set. Please see the photos showing the issue. If they step up and fix the issue I will update this review, but for now its sadly a one star review for both the warranty policy and construction.","""Warranty"" is a $25 per occurrence and bag fell apart on first use! Photos",Size: 4-Piece Set (14/19/24/28)Color: Black PlaidProduct Packaging: Frustration-Free PackagingVerified Purchase,51 people found this helpful
