author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Dana G.,amzn1.account.AFKQQLHCAG24N2SZTPM5IUTCYWSA,"Reviewed in the United States on February 22, 2020",0,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Very lightweight, comfortable, and supportive.  I had the cute heeled nursing clogs but at the end of my clinical rotation my feet were killing me, so I ordered a few pairs of all white sneakers on amazon and these were the most comfortable out of them all.  I will admit that they aren't super duper stylish, but I am not wearing them out on the town, and for the hard hospital floors, they keep my feet (and back) from hurting...I have recommended these to the other classes at my school","Nursing Student, needed comfy supportive shoes",Size: 9 WideColor: White/WhiteVerified Purchase,301 people found this helpful
A Johnson,amzn1.account.AHGXAAYJ6UUADFJ5UOUL6Q6URNEA,"Reviewed in the United States on January 13, 2021",1,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Here’s the deal, I’m in my twenties and I love a good long walk to the nearest coffee shop to spend $7 on an average cup o’ joe.Because of this, I knew I could not just order a Nike cross trainer because the support would be equivalent to a training bra.I needed a New Balance shoe.I needed THIS New Balance shoe.I ordered these knowing I would love them. I set the bar so high, anything less than would have morphed the Karen right out of me.And you know what?These shoes DELIVERED.I love them so much I’m going to give them names.I will wear these as my slippers. I will wear these as my walking shoe. I will wear these on my wedding day if I don’t spill too much spaghetti on them.I am a 7.5 and they fit as a 7.5 should. I have average sized feet and the width of the shoe is fab.If you’re looking for something you can wear all day / night here’s your sign.",Little Foot Clouds,Size: 7.5Color: White/WhiteVerified Purchase,154 people found this helpful
JustSesha,amzn1.account.AECOFROBCR6HTOCEZ4DMK3HVUYXA,"Reviewed in the United States on November 22, 2019",0,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I've said it before and I'll say it again!  Not much on fancy but this is the most comfortable shoe I have ever had for either walking, jogging or standing for long periods of time!  Absolutely amazing construction!",Comfort!!!,Size: 10Color: Black/BlackVerified Purchase,202 people found this helpful
Patricia Taylor,amzn1.account.AGEYQ25PSQCNXYLRGER7KY23LCCA,"Reviewed in the United States on August 3, 2020",1,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,First I love New Balance- ya'll these shoes are so comfortable!!  Wore them today to my Doctor appt.  Such comfort. cushiony!.  Great shoe.,Comfortable & Cute,Size: 7 WideColor: White/WhiteVerified Purchase,105 people found this helpful
Nurse,amzn1.account.AEKQVVK47EL6R6ZEBA3LP3BQGUSQ,"Reviewed in the United States on January 15, 2020",0,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"Even though the shoes are a bit too big to be a medium width, they feel good on my feet. The description also describes these as running shoes, but they look like walking shoes. Also I replaced the shoe strings due the original strings were thin.",My feet appreciate these.,Size: 12Color: White/WhiteVerified Purchase,98 people found this helpful
R. Arnold,amzn1.account.AGHGPXCRS3TFCD572U6FCYZMQWVA,"Reviewed in the United States on May 7, 2020",0,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,"I've been wanting a white leather tennis shoe that looked fresh, kind of dressy, and not like a typical athletic shoe.  I'll probably keep these, but will save them for times where I won't be walking a lot. Even with Superfeet inserts, the shoe lacks support. My feet are hard to fit and New Balance are my go-to for tennis shoes. I'm hoping they modify the shoe as the price point and look are great for summer shorts, Capris, jeans, pants, and summer dresses. Another brand sells nearly the same look for over twice the price.",Great look but lacking arch support and toe box just a bit small.,Size: 9Color: White/WhiteVerified Purchase,79 people found this helpful
Ava Rutledge,amzn1.account.AHFZPSGYXMPZGO5OKBNZOWTFSKCA,"Reviewed in the United States on March 12, 2020",0,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"It is difficult to find shoes that fit my feet and are easy to walk in. I have drop foot and wear a brace on one foot which make it difficult to find one shoes that fit both feet. The brace requires my size to increase 3 shoe sizes. This New Balance shoe was perfect in support and  balance for both feet. I ordered the size 9 which fit the braced foot and my other foot, I wear orthopedic inserts to fit the shoe on my normal foot. I am very happy with my purchase and will buy these shoes again! The price was cheaper than my local chain shoe store.",This shoe was just what I needed!,Size: 9 WideColor: White/WhiteVerified Purchase,63 people found this helpful
Don't sweat the small stuff,amzn1.account.AE6C3LLXCSTPJCTVB6VBX6FJSV4A,"Reviewed in the United States on December 27, 2019",0,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,"Pretty shoe, but not a good arch support","Nice color, but arch support needs help",Size: 7Color: Lynx Blue/Vintage IndigoVerified Purchase,61 people found this helpful
L.E.,amzn1.account.AEV6Y24KONGXFGDTZRWDYKR4SPHA,"Reviewed in the United States on January 14, 2020",0,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,These are just awesome. I haven’t had a structured leather or pleather sneaker for a while and I’m liking the stability of these a lot. They are also great looking for the Mom sneaker trend (Dad sneakers are the old thing). I’ll be living in these.,Mom sneakers are the bomb sneakers,Size: 6.5Color: White/WhiteVerified Purchase,39 people found this helpful
Terri,amzn1.account.AEAB4HCQ6CJ5TV6KMXDPER42TERA,"Reviewed in the United States on November 23, 2020",1,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,"I buy New Balance 411 shoes regularly. Thought I would try the pretty blue instead of my usual white. The toe box was smaller, & the shoe was shorter. Very uncomfortable, so I am returning them. I've included a picture of the blue 411 V1 shoe next to a new white 411 V1 shoe. The difference isn't obviously visible, but the white leather shoe has more room in the toe box, & the shoe feels longer. I may try a larger blue shoe, but may also stick to my trusty white ones. I use orthotics in my shoes, & I tend to stick with what works.",Smaller than the white shoe of the same style,Size: 8.5 WideColor: Lynx Blue/Vintage IndigoVerified Purchase,18 people found this helpful
Dana G.,amzn1.account.AFKQQLHCAG24N2SZTPM5IUTCYWSA,"Reviewed in the United States on February 22, 2020",0,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Very lightweight, comfortable, and supportive.  I had the cute heeled nursing clogs but at the end of my clinical rotation my feet were killing me, so I ordered a few pairs of all white sneakers on amazon and these were the most comfortable out of them all.  I will admit that they aren't super duper stylish, but I am not wearing them out on the town, and for the hard hospital floors, they keep my feet (and back) from hurting...I have recommended these to the other classes at my school","Nursing Student, needed comfy supportive shoes",Size: 9 WideColor: White/WhiteVerified Purchase,301 people found this helpful
A Johnson,amzn1.account.AHGXAAYJ6UUADFJ5UOUL6Q6URNEA,"Reviewed in the United States on January 13, 2021",1,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Here’s the deal, I’m in my twenties and I love a good long walk to the nearest coffee shop to spend $7 on an average cup o’ joe.Because of this, I knew I could not just order a Nike cross trainer because the support would be equivalent to a training bra.I needed a New Balance shoe.I needed THIS New Balance shoe.I ordered these knowing I would love them. I set the bar so high, anything less than would have morphed the Karen right out of me.And you know what?These shoes DELIVERED.I love them so much I’m going to give them names.I will wear these as my slippers. I will wear these as my walking shoe. I will wear these on my wedding day if I don’t spill too much spaghetti on them.I am a 7.5 and they fit as a 7.5 should. I have average sized feet and the width of the shoe is fab.If you’re looking for something you can wear all day / night here’s your sign.",Little Foot Clouds,Size: 7.5Color: White/WhiteVerified Purchase,154 people found this helpful
JustSesha,amzn1.account.AECOFROBCR6HTOCEZ4DMK3HVUYXA,"Reviewed in the United States on November 22, 2019",0,,https://www.amazon.com/product-reviews/B07X9HRL6S/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I've said it before and I'll say it again!  Not much on fancy but this is the most comfortable shoe I have ever had for either walking, jogging or standing for long periods of time!  Absolutely amazing construction!",Comfort!!!,Size: 10Color: Black/BlackVerified Purchase,202 people found this helpful
