author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Amazon Customer,amzn1.account.AE4OZEZEQ2MSC4RSL5EEDGXX572A,"Reviewed in the United States on January 28, 2017",0,,https://www.amazon.com/OEM-Windows-Home-64-Bit-1-Pack/product-reviews/B00ZSI7Y3U/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I was building my first computer and bought this along with all the component parts. It took five days to arrive and I was very excited. I spent most of the day building the pc and then tried to install windows.Everything was fine until I had to activate windows. The key printed on the envelope was not being accepted. I called customer service and was passed back and forth until I spoke to senior Microsoft tech support. The person I talked to, a guy who said his name was Brian Ryan, said that he was 150% certain I had purchased a pirated product. I asked him how Microsoft could permit pirated products to be sold on such a well known website. He had no explanation but said he constantly gets calls from amazon customers who received pirated micrisoft products.I offered to email him proof I purchased the software but he said they did not have the ability to access email. How ridiculous is it that a major software company doesn't even give it's employees email accounts. I also told him I was a long term Microsoft customer with an xbox live subscription going back 7 years. He said it didn't matter and there was nothing he was willing to do. The product was pirated and that is the bottom line.I told him I was going to write a review to inform people amazon sells pirated windows software. He indicated that was a good idea. So there you go, I guess this poor review has Microsoft's seal of approval. Whatever you do don't buy this from amazon.",You will get pirated software,Style: HomeVerified Purchase,"1,088 people found this helpful"
Michael Walker,amzn1.account.AFIV3BKQKF6QLVS7Z3P76BQYNLIQ,"Reviewed in the United States on August 24, 2017",0,,https://www.amazon.com/OEM-Windows-Home-64-Bit-1-Pack/product-reviews/B00ZSI7Y3U/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"As cheap as this was, I was worried this was too good to be true.It was. The key was stolen / already activated. Totally invalid and useless.At least JW Geek responded promptly to my refund request and granted it without any hassle.",Invalid / Stolen Key — Do Not Buy,Verified Purchase,334 people found this helpful
Nathan,amzn1.account.AFMPOBP26UDU56SWTVDFRJN73HQQ,"Reviewed in the United States on November 18, 2016",0,,https://www.amazon.com/OEM-Windows-Home-64-Bit-1-Pack/product-reviews/B00ZSI7Y3U/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"This is not a review of the Windows 10 OS, but of this specific product key and disc:I ordered this item to use the product key on my custom built PC. When I entered the key to activate Windows, I got an error stating ""product key already entered,"" and would not allow me to activate Windows 10. This strongly suggests this is not a genuine copy of Windows and is therefore STOLEN or SOLD TO MULTIPLE PARTIES. I understand this may seem hyperbolic, but I just want to warn other people out there building your own PC--this will not activate Windows on your newly built PC booted from a USB, and this product is essentially defective. Very disappointing.","Buyer beware--""product key already entered"" NOT GENUINE",Style: HomeVerified Purchase,387 people found this helpful
William Humphrey,amzn1.account.AEZ5FPDGDXBJZZYQQRTIG7KUTGNQ,"Reviewed in the United States on June 20, 2016",0,,https://www.amazon.com/OEM-Windows-Home-64-Bit-1-Pack/product-reviews/B00ZSI7Y3U/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,this operating system cannot be activated. windows activation server reports is has already been activated too many times.,cannot be activated,Style: HomeVerified Purchase,202 people found this helpful
Amazon Customer,amzn1.account.AFTD6QKNAAD723UTYOTF3QCYOABA,"Reviewed in the United States on November 2, 2016",0,,https://www.amazon.com/OEM-Windows-Home-64-Bit-1-Pack/product-reviews/B00ZSI7Y3U/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,The windows 10 home Product Key was already in use by another computer when I attempted to install windows. This is a scam do not purchase this item.,This seller is a scam. Windows Product Keys are already in use.,Style: HomeVerified Purchase,230 people found this helpful
luke,amzn1.account.AF2GDXMBA7CLZINX5L7DVRLQHSKQ,"Reviewed in the United States on October 18, 2016",1,,https://www.amazon.com/OEM-Windows-Home-64-Bit-1-Pack/product-reviews/B00ZSI7Y3U/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Cannot activate product key.  I get a message saying this product key has been used on another device, and it says to buy a genuine copy of Windows.  The photo is the message I received.",Cannot activate product key. I get a message saying ...,Style: HomeVerified Purchase,179 people found this helpful
k9cop,amzn1.account.AHZOOVF2QGFWHYCGJGWSTRRBPGEQ,"Reviewed in the United States on October 3, 2016",1,,https://www.amazon.com/OEM-Windows-Home-64-Bit-1-Pack/product-reviews/B00ZSI7Y3U/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"UPDATE:  Contacted Amazon and they overnighted me a new copy of Windows 10 and it worked like a charm.  Kudos to Amazon for making it right.Just installed this today on a pc I built for my son.  After typing in the COA to activate Windows, it said my copy was not valid.  Went to Microsoft tech support page and discovered my copy is possibly counterfeit.  I will be filing a complaint with Amazon.  Buyer beware.",Counterfeit CANNOT ACTIVATE WINDOWS,Style: HomeVerified Purchase,222 people found this helpful
Poly Nomial,amzn1.account.AFCTA7ADJVBKAOXVHUHMRZEEEE4Q,"Reviewed in the United States on June 21, 2017",0,,https://www.amazon.com/OEM-Windows-Home-64-Bit-1-Pack/product-reviews/B00ZSI7Y3U/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I ordered this Windows 10 Home 64 Bit OS from Amazon, with Amazon as the seller.  Booted from the provided Windows 10 disk and proceeded to enter the COA license under the scratch off included on the Win 10 disk envelope.  Windows continuously said that the license was invalid, try again.  After ten tries, I started the return process through Amazon.Next I proceeded to buy the Windows 10 Home version from the Microsoft website.  Microsoft provided me with an ISO image of Win 10 to download as I am running Linux and my system can not use the MS USB creation install too.  Microsoft also e-mailed me a COA license.  This MS COA license provided through e-mail, worked the first time without a hitch.The benefit I think of buying a Windows OS direct from MS is that they likely validate the license key first before they send it to you.  This way you can be sure the license has not been acquired by someone else already.I am an enthusiastic Amazon customer, check my other reviews and feedback.  When buying Windows 10 though, the best way, and the only way that worked for me, is through the Microsoft website.",License Never Worked,Style: HomeVerified Purchase,53 people found this helpful
Anna,amzn1.account.AEY3HMFSFTDWZOVGZ5PUHSLBJKTA,"Reviewed in the United States on July 8, 2016",1,,https://www.amazon.com/OEM-Windows-Home-64-Bit-1-Pack/product-reviews/B00ZSI7Y3U/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,Bought this product and went through installation. Cannot activate windows because it tells me that it had been used on another PC. Very disappointed,Very disappointed,Style: HomeVerified Purchase,591 people found this helpful
CEBW,amzn1.account.AGU35RTIKCA3ETXR7KBMUCQCRGRA,"Reviewed in the United States on August 28, 2017",0,,https://www.amazon.com/OEM-Windows-Home-64-Bit-1-Pack/product-reviews/B00ZSI7Y3U/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Another disappointed purchaser. Finally got the machine ready for Win 10 (had to buy a new SSD, that was a trial), installed this version of Win 10 and could not activate--Microsoft said it was not valid. Of course this was outside the return window. $93 spent on what turned out to be nothing. Have to go buy a license directly from MS, expensive lesson learned.",Buyer beware!,Style: HomeVerified Purchase,22 people found this helpful
