author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Amazon Customer,/gp/profile/amzn1.account.AFQRAIK3LX6M4QK3HFT6BAQP54HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 30, 2018",1,,https://www.amazon.com/Etekcity-Digital-Bathroom-Measure-Tempered/product-reviews/B01HI1W1V4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I just received this scale from Amazon today. The item was fine and looked great. We put it in our bathroom and both my husband and I weighed ourselves. Then just a few moments ago, my husband went to weigh our son and afterwards scooted the scale back against the wall. The corner of the scale lightly bumped the bottom of the toilet then shattered into a million pieces! We were so shocked! I understand that tempered glass shatters this way (we own cups made of tempered glass that have shattered this way when dropped on a hard floor), but I don't think this particular light bump warranted such an explosion of glass. We owned the scale for barely a couple hours and each only stepped on it once. The large number of positive reviews for this item made me believe it would be a good idea to buy a scale made out of glass, but obviously it was not. Thankfully, Amazon customer service was very understanding and prompt at issuing a refund, but I would not recommend this scale to anyone.",Very easily shatters!,Color: SilverStyle: DigitalVerified Purchase,"1,374 people found this helpful"
B. Williamson,/gp/profile/amzn1.account.AFP33S7JOLTWY4WO3HHRVGPYBSLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 13, 2017",0,,https://www.amazon.com/Etekcity-Digital-Bathroom-Measure-Tempered/product-reviews/B01HI1W1V4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"THis is a very nice scale! We tried a different brand before getting this one and we have not been disappointed by the Etekcity scale. When you step onto it the display lights up and gives you the weight and then turns off about ten seconds later. The day we received ours I had to go to the doctor so I weighed myself before leaving home and my weight was only .2 lbs different from the doctor's scale. I'd say that's pretty accurate! It does not save your weight from you previous weigh in but I actually prefer that. I can remember (or write it down) and it's just simpler to use without that feature to me. The scale itself is very nice to look at, sleek and modern. I wouldn't hesitate to purchase!I try to be very honest and thorough in my reviews, if this review was helpful to you please click yes, thank you!!!",Beautiful and accurate!,Color: SilverStyle: DigitalVerified Purchase,"3,486 people found this helpful"
MrsJMc,/gp/profile/amzn1.account.AEZQNZXMMXM2Y6VGFGTLSA3BLGZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 23, 2017",0,,https://www.amazon.com/Etekcity-Digital-Bathroom-Measure-Tempered/product-reviews/B01HI1W1V4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"This scale weighs consistently time after time. That means I don't lose a half a lb if I shift my weight or get off, pray, get back on. It still says I'm chubby. I believe it.","It says I'm chubby, consistently",Color: SilverStyle: DigitalVerified Purchase,"3,815 people found this helpful"
noworries99,/gp/profile/amzn1.account.AESBDNQXD4PNNKFFNJPMJ4OJQFWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 19, 2018",0,,https://www.amazon.com/Etekcity-Digital-Bathroom-Measure-Tempered/product-reviews/B01HI1W1V4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Love the accuracy. Easy to use. Looks great and should go with any décor.I'm trying to lose weight (who isn't) and the spring scale I was using before couldn't give me any accurate readings. This one calibrates easily before each weighing and gives me a dead on reading. No guessing. Now I know exactly where I'm at concerning my weight.The digital read out is bright and large enough to easily read.It came with a battery installed. All I had to do was pull the insulating strip and it was ready to use.I highly recommend this scale.UPDATE: Since I bought these scales I have lost about 2 lbs. per week. I am now 15 pounds lighter and much more energetic. Its fun to weigh in first thing each morning because I know I'm getting very accurate readings which I record on my calendar.Before I had these scales I would stand on my old spring scales and watch the needle bounce around. If I leaned a little one way or another the weight would change. Not with these scales. You will get the same reading even if you do it 3 times in a row. Its encouraging when you can see the little amounts of progress and chart your weight loss accurately.Its still a 5 star rating :) . I'm very happy with my choice to buy these scales.,"Looks good, easy to use and accurate - what more could you want?",Color: SilverStyle: DigitalVerified Purchase,664 people found this helpful
Maura W Thompson,/gp/profile/amzn1.account.AF5OK6UXMBZAKDMARGYI3BSTLI7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 10, 2018",0,,https://www.amazon.com/Etekcity-Digital-Bathroom-Measure-Tempered/product-reviews/B01HI1W1V4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"I really enjoyed this product for about 2 months. One day while cleaning, I went to pick up the scale so I could vacuum the bathroom floor. I gently grabbed the side of the scale and it completely shattered. I was so disappointed. After I wrote my first review on Amazon, I was contacted by an Etekcity customer support representative and they were extremely kind and wanted to be sure that I was satisfied with their product. They shipped me a brand new scale at zero cost to me. I’ve had it for almost a week now and it seems to be working perfectly!",Shattered Glass but was sent a replacement for free!,Color: SilverStyle: DigitalVerified Purchase,456 people found this helpful
Amazon Customer,/gp/profile/amzn1.account.AFAESMIGY5YEWQIWCJTZPTFIJ4EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 7, 2018",0,,https://www.amazon.com/Etekcity-Digital-Bathroom-Measure-Tempered/product-reviews/B01HI1W1V4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,It doesn’t work! I calibrated it then got on the scale and it said I was at least 30lbs less than what gym scale and the doctors scale says. As much as i wish I was that light I know I’m not. Every time I step on the scale I get a different weight. And by different I mean 10lbs heavier or lighter within minutes of each other. It makes no sense. I am very dissapppinted,It displays crazy weights!,Color: SilverStyle: DigitalVerified Purchase,472 people found this helpful
John D. Crawford,/gp/profile/amzn1.account.AEOICC6O66IG6P2V4DNDMVCD342Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2017",0,,https://www.amazon.com/Etekcity-Digital-Bathroom-Measure-Tempered/product-reviews/B01HI1W1V4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"It worked fine for a few days, I felt it was fairly accurate and it gave me consistent weights. But now all the screen will show is ""LO."" The first time I changed the batteries, and two days later the scale was dead again. I've now changed the batteries multiple times and I get the same thing, making the scale useless.",Broke within two weeks.,Color: SilverStyle: DigitalVerified Purchase,330 people found this helpful
Farm wife,/gp/profile/amzn1.account.AHBXW7ZW4REV67MM4ZC6JW54KPAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 16, 2017",0,,https://www.amazon.com/Etekcity-Digital-Bathroom-Measure-Tempered/product-reviews/B01HI1W1V4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I've finally got a scale that isn't annoying - I've had several scales from various stores and they all invariably give a different weight almost every time I step on. I could step on and off four or five times in a row and get three or four different weights - and not just by a fraction but by a pound or more.This one is different! It weighs consistently every time. It came with little extra pads to level it, which seems like an indication that it is well made and so, likely to be more accurate. I like the look and it's a bit bigger than the chain store ones. And it did not cost any more than I've paid in those stores. Overall, I have to say this is the best scale, by far, that I've ever owned. I highly recommend it.",Accurate,Color: SilverStyle: DigitalVerified Purchase,265 people found this helpful
bookworm,/gp/profile/amzn1.account.AH5NPEJGF6SI6YVKCG5FCTRYRDBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 11, 2017",0,,https://www.amazon.com/Etekcity-Digital-Bathroom-Measure-Tempered/product-reviews/B01HI1W1V4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"This scale worked the first time I used it, and after that it won't stay calibrated.  After a few seconds in says error.  I would not recommend it.7/17/17 updateShortly after writing this review, I was contacted by the seller and was offered either a replacement scale or a refund.  I was pleasantly surprised by this, as I didn't request either of these things, and it was proactive on their part after they read my review.  Excellent customer service.",I would not recommend it.,Color: SilverStyle: DigitalVerified Purchase,192 people found this helpful
MCooke,/gp/profile/amzn1.account.AE6VLAOWC3UO67TDNTGKTSVK2P6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 18, 2017",0,,https://www.amazon.com/Etekcity-Digital-Bathroom-Measure-Tempered/product-reviews/B01HI1W1V4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"I originally posted a 1 star review for this scale--one of the only really low reviews I've ever given--because the first one I ordered stopped working after one day. But I need to give credit where it's due! The day after posting it, Etekcity sent me an email saying they would automatically send me a replacement scale. The new one arrived three days later. It works well and I give Etekcity a lot of credit for proactively fixing the situation. That's why I changed my review to 4 stars!",Responsive customer service,Color: SilverStyle: DigitalVerified Purchase,668 people found this helpful
