author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Andrew G.,amzn1.account.AENMUTH2J2DMSOGPL5FTBYUJ7FXA,"Reviewed in the United States on April 23, 2020",0,,https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/product-reviews/B084CQ41M2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,"I won't be like everyone who gives a bad review because they clearly got a dud (or user-error as it often is). I'll give it an honest assessment.The app is amazing, that goes without saying. The quality of the band is nice, but it's a bit hefty, made bulkier by the textured diamond pattern in the band. The clasp is a bit cumbersome as well, and feels a bit like cheap plastic. I'll reserve my judgments on that until it breaks. Doesn't inspire confidence though.The watch itself seems to be very accurate, it's comfortable, and has some nice options. The pressure button on the side is a little hard to press, I wish you could change the settings for the sensitivity. When pressing, it requires you to stabilize the other side with your thumb or else you'll just push the watch causing it to slide toward your hand. The UI on the app is clean and simple, although I wish it allowed to customization. I don't need all the settings and stats it comes with, and many you cannot remove from the UI. This makes you scroll more than you'll probably want to to get to the features you like. If we could at least re-order them, that'd allow for quicker navigation.My final note is battery life. FitBit claims 7 days of battery life. Today is Thursday at 8:41pm. I'm at 70%. I gave it a full charge all night Tuesday into Wednesday morning. Within an hour of pulling it off the charger it was down by 5%. At the current rate, it'll likely be dead by Sunday which is closer to 4 days. Keep in mind, since I charged it fully, I have NOT exercised. It's quarantine and I'm lazy. I can imagine the battery would only last 2-3 days with moderate to heavy frequent exercise.That's my review. Don't got much else to say. It's a decent watch, but I'd wait for it to go on sale.","Pretty good, with some gripes. Buy it on sale.",Color: Black/BlackEdition: RegularVerified Purchase,"1,426 people found this helpful"
Kat Moore,amzn1.account.AEE5PJKCAX3O5YAFA6UOWS4IPE2A,"Reviewed in the United States on April 21, 2020",0,,https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/product-reviews/B084CQ41M2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Got this after my charge 2 died and wow is it and upgrade I really love it so far! Fair warning though on some things I didn’t realize: you need Spotify premium to use any of the Spotify features at all which was kind of a bummer. And according to their website if you use the GPS feature the Fitbit battery only lasts 5 hours. So you have to be careful to turn GPS only on and off when you need it when you’re exercising and not just leave it on to auto recognize which is a little annoying but not a huge deal. Also a few features require that you allow them to run in the background for them to “work properly” I don’t like to have things do that to try and preserve my phone battery so I turned off those permissions but left the others on and so far I haven’t had any other problems because my Fitbit still syncs throughout the day and I think can still get data that way. My boyfriend loves the sleep mode feature that turns off notifications and screen wake so when I toss and turn at night I don’t accidentally blind him with my watch screen if it goes off.,A great upgrade from a charge 2 but some things to note...,Color: Black/BlackEdition: RegularVerified Purchase,"1,405 people found this helpful"
Erin,amzn1.account.AEP5J4OTGDGABLZ3AZPM4WD4CXNQ,"Reviewed in the United States on May 6, 2020",0,,https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/product-reviews/B084CQ41M2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"Fitbit's App:Let me start by saying, the Fitbit app is unparalleled for sleep, diet and water tracking. I have tried to move away from Fitbit due to my propensity for longer runs, but the features covered in their one app bring me back every time. Simply stated, it presents the most holistic picture you're going to get of your health inside ONE app as a result of wearing ONE fitness tracker.Charge 4 as an Upgrade (i.e. GPS):Specific to the Charge 4, with a note that *ALL OTHER THINGS ARE EQUAL CALIBER TO THE CHARGE 3*, the GPS (which is really the only major new feature of the Charge 4) is good. The GPS takes seconds (maybe 10 to 20) to connect and then you touch the screen and off you go. I wore the Charge 4 and my Garmin for the first few runs to compare tracking (my garmin is a triathlon model, not a fitness tracker model, & used more for races and longer distance running due to battery life) and the GPS paired fairly well across both units. The Fitbit found its satellites far quicker than Garmin, but seemingly gives extra distance when going around corners. I have one corner I hit on my out and back 3 miles runs and the GPS maps indicate this is where the magic happened, but that being said I would usually hit the 3 mile mark on the Charge 4 around two or three strides ahead of my Garmin. No biggie for the shorter/daily training runs. I would say the Fitbit Charge 4 stops being your optimal choice if 1. You are fine with carrying your phone constantly and therefore do not need GPS or 2. you are going to be out doing your activity for 2.5-3+ hours. That's where the battery use for GPS expenditure becomes cumbersome. At a moderately paced half marathon, you're into Garmin/Coros/Suunto/etc.Special Edition or Base:Specific to the Charge 4, the special edition boils down to a unique band, that happens to be absolute junk (with reflective fabric!). The super special band looks a bit awkward with the unit, won't survive sweat for very long without needing to be washed or soaked, and felt & looked like it didn't fully connect into the unit at the clip ins and might randomly separate it tugged on the wrong way. (Could have been mine was defective, I don't know) my recommendation either way- save the $20 bucks, get the basic Charge 4, and if you're into colored/specialty bands, any band that is marketed for the Charge 3 or 4 will work with the Charge 4. I am currently using the Charge 3 special edition band (white rubber with black clasps) on my charge 4. It works perfectly.Out Of The Box: I had no issues with any part of charging it, pairing it, or the firmware updates needed at launch to bring it to current. No black screens of death either.Battery Life:And the battery does die faster when using GPS, but that actually happens to all fitness trackers not expressly made for GPS monitoring. You can't have built-in GPS tracking on a unit THIS size, with ALL the fitness tracking features it has, and expect battery to last a full week. With active GPS use for an activity a day plus all day & night wear/fitness tracking, I'd estimate you'll get 3 to 4 days out of each charge.","GPS is good, special edition band is not...",Color: Black/Granite ReflectiveEdition: Special EditionVerified Purchase,803 people found this helpful
Michael D. Walker,amzn1.account.AETBXD2HNNXPRO6KQCQRZ6QUHJWQ,"Reviewed in the United States on June 27, 2020",1,,https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/product-reviews/B084CQ41M2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"So I'll preface my review by saying this is my third Fitbit device, and I looked forward to the Charge 4 with great anticipation. My first I had for about 6 years and only replaced because of a failed integrated band, and the second in 4 years due to a failing battery.I've had the Charge 4 for about 2 months now. Bought it as a first adopter because of the GPS feature (guess that was my mistake.) I need pacing and route tracking for my daily PT, and hate the more advanced but bulky ""Smart Watches"". With that said, out of the box it looks great, seems to be good quality and with a good feature set. And that's about where it ends.Functionality - The GPS works optimistically about 20% of the time. If it connects at all, it takes about 5 minutes to do so, and if you run/walk/ruck more than a mile it will disconnect multiple times. If you start a workout without the GPS, it may or may not start tracking half way through the workout. This wouldn't be a problem if it weren't for the fact that ALL tracking features of this model use the GPS location for analytics. In an 8 mile ruck, the watch will reconnect about every half mile (or not at all) which means the watch thinks you walked in place for 1.5 hours in 'peak' heart rate, which doesn't accurately calculate pace or caloric burn...Additionally, because of this fault; the auto workout tracking feature generally just stops tracking at all about 10 minutes into any workout because it doesn't think you're doing anything and reverts to the home screen. So as a tracker, it's worthless.Build Quality - While it came out of the box nice and tight the removable band has, in two months, loosened up enough that it will just randomly pop loose at the body connector under normal walking circumstances, rendering the watch useless in your pocket (see pic). I give it another month at best before the band won't attach at all.Operation - They may come out with another firmware update to fix this problem, but if not the watch has to be re-paired with the Fitbit app at least once a week. The app itself is really nice, with some great features, but the Charge 4 looses connection for some reason, and has to be 'removed' and 're-paired' for it to start sending information again. Each time you re-pair, it has to be completely re-configured for messaging etc. I just gave up on that feature...With all of that said, this has turned out to be a $150 dollar heart rate monitor and stop watch, and a glitchy one at that. I'm not at all impressed with the operation and would not recommend to anyone till they figure out and fix the issues. Poor look Fitbit. I'll look at Garmin or something else that may actually work.","My advice... Steer clear of this thing. Wouldn't buy another, wouldn't recommend to anyone.",Color: Black/BlackEdition: RegularVerified Purchase,425 people found this helpful
R. & T. Garcia,amzn1.account.AFE4GWCIBMKTKEJ4KM2HRRJ4KRSA,"Reviewed in the United States on September 2, 2021",0,,https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/product-reviews/B084CQ41M2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,1.0 out of 5 stars,"For ALMOST a full year this was a great device. Cool features and Fitbit integrates with a lot of external apps. Fitbit's warranty is clearly designed to anticipate product failure. Purchased September 9, 2020 so estimated use started Sept 11th. Followed recommended care and use. Removed frequently to clean and charge. I even removed the bands to clean connections to prevent build-up at the band joints. August 31, 2021 remove bands as normal, band connector button and bracket FALL OFF the Fitbit into the old band. its a small button based into a plastic brackets and the whole piece just came off. Contact customer support, its still in a year and under warranty, sent images and case number as instructed....crickets. no responses and no solutions. while 2 days without it isn't a big deal, a broken device should be a priority for customer support for customer retention. Especially when the product breaks right at the warranty date. Doesn't encourage customers to keep buying your products.This is the second Fitbit in our house to break right around the date the warranty expires. The early products were designed to last but the new ones are made planning they last the warranty and then force the consumer to replace it with a new model after a year.",Shoddy band connections,Color: Black/BlackEdition: RegularVerified Purchase,
Sarah Sarber,amzn1.account.AEM5LP347OLGB36TI77NRXTRWN4A,"Reviewed in the United States on December 16, 2020",0,,https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/product-reviews/B084CQ41M2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=21,3.0 out of 5 stars,"I love pretty much everything about my new Charge 4 Fitbit - except for the fact that I was only able to charge it twice. Amazon doesn't exactly have the most user friendly customer service - I really didn't want to return the Fitbit, just see if I could get a replacement charger, especially when 'exchange/replace' is for anything EXCEPT what you originally purchased. So, if you have the same issues with an original charger that doesn't work, the NANW Charger Cable Compatible with Fitbit Charge 4 works beautifully. It connects up to my fitbit better than the original and charges MUCH faster! And it stays charged longer. I charged my very dead Fitbit when the NANW Charger arrived Dec. 8. It was down to 15% today, Dec. 16. On the original charger it lasted 4 days.2 for $6.99https://www.amazon.com/gp/product/B08B3KKV67/ref=ppx_yo_dt_b_asin_title_o03_s00?ie=UTF8&psc=1","Great Fitbit, Useless Charger",Color: Rosewood/RosewoodEdition: RegularVerified Purchase,
lOcO,amzn1.account.AG357V33STHEJ3MC25ILZIRTVQVA,"Reviewed in the United States on June 13, 2021",0,,https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/product-reviews/B084CQ41M2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=22,1.0 out of 5 stars,"I purchased the Charge 4, to replace my Charge 2, whose battery died after a couple of years of use. Instead of fixing my old Fitbit, I opted to go ahead and upgrade. What a mistake! The Charge 4 came with some charge on its battery, and I was able to initially charge it to 100% and update its firmware. After about 5 days of use, the Charge 4 died, and I was unable to recharge it. I tried 3 different chargers, and tried to reset it per Fitbit restore instructions, nothing helped. I thought of exchanging it for another Charge 4, but there are too many other fitness trackers available, that I don't feel like taking another chance on a Fitbit 4. Too many companies are pushing their wares out to the public, without getting all the bugs out. I feel like this fitness tracker is one of them. I hope this review helps. Good luck fellow Amazon shoppers!!",Died in one week!!,Color: Black/BlackEdition: RegularVerified Purchase,
V V Bak,amzn1.account.AECS2JNVMMVY7OPZWG6SVTKYYJBQ,"Reviewed in the United States on January 1, 2021",0,,https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/product-reviews/B084CQ41M2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=23,1.0 out of 5 stars,"I used this Charge4 for about six months.  Step tracking was horrible:  inconsistent and inaccurate.  I liked that the app connected to the wellness app from my health insurance program.  The app was great, the device was not.  I’ve tried the Charge2, Versa and Charge4.  Since I loved the app and the price point for the device, I kept trying to find one that was ACCURATE (and yes, I actually tested each one numerous times).  I have finally given up on Fitbit devices.  “Fool me once, shame on you.  Fool me twice, shame on me!”  Fool me THREE times?!  Ugh!  No more!  As another saying goes:  you get what you pay for.  This was expensive enough that I thought it would work.  I’m saving my money to upgrade and by a fitness device that is accurate and reliable.  It won’t be a Fitbit device.",Never again.,Color: Rosewood/RosewoodEdition: RegularVerified Purchase,2 people found this helpful
Pete,amzn1.account.AHDLUQ5PWAD4P6QEK75DXJASZDPQ,"Reviewed in the United States on October 11, 2021",0,,https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/product-reviews/B084CQ41M2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=24,1.0 out of 5 stars,For some reason the band keeps coming off. Will try cleaning that area again but it looks like there is a problem with where the band attaches to the Fitbit. There are small parts there that have to move to secure the band and one side looks a little different than the other. Will give it a little more time but may need to return it.Follow up:The band just won’t stay on the watch. I think a part stripped out where it is hooked to the body of the Fitbit. Will be sending it back.,Works great but Band keeps coming off on one side,Color: Black/BlackEdition: RegularVerified Purchase,One person found this helpful
lrschmidt,amzn1.account.AEWSFGCMKOZYCE3S2SA7RCWK4K6Q,"Reviewed in the United States on August 13, 2020",0,,https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/product-reviews/B084CQ41M2/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=25,1.0 out of 5 stars,"The Charge 4 does NOT work accurately or reliably. I upgraded to this after my Charge 2 wore out (had it for 4 years, daily use). It does not consistently track my exercises or sleep stages. It also does not work with phone notifications. It doesn't alert me when I have a text or call like it's supposed to do. I've had it for 3 months, and it hasn't worked well since I got it (see more detailed review below).  I do NOT recommend this.I exercise 6 to 7 days a week. The Charge 4 does not register that I've completed the daily exercise and doesn't register active zone minutes consistently. I like to see how many times per week and per month I worked out, and normally, fitbit tracks this and makes it easy to see at a glance. The Charge 4 does not track it. In the last 4 weeks, I worked out all but 4 days total. The Charge 4 shows that I only worked out once per week. It's inaccurate and does not track. The active zone minutes sometimes track correctly, but it's really inconsistent. The active zone minutes also do not appear to sync with the daily exercise tracking. If using the fitbit to track anything resulted to exercise, it's useless.I also went with the Charge 4 because of its  increased sleep tracking capabilities. More often than not, it does not register my sleep stages or heart rate fluctuations. It says it couldn't do so. This is incredibly frustrating as this was one of the main reasons I went with the Charge 4.I did not have these issues with my Charge 2. The Charge 4 has not worked well at all for the full 3 months I've had it. At most, it registered if I did a 20 to 30 minute walk, but any other exercises I have done do not register or track.I do not recommend this, and I'm highly disappointed and dissatisfied with the Charge 4, especially for the price I paid. It's also frustrating that I bought a new fitbit, to track fitness and sleep, and it does neither. I've tried adjusting settings, switching wrists, different tightness of the band, and where on my wrist I wear it. It does not work.",Does NOT Track Fitness or Sleep - Do Not Recommend,Color: Black/BlackEdition: RegularVerified Purchase,2 people found this helpful
