author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Ninja Warrior,/gp/profile/amzn1.account.AEZZPPECPSFUBGT6I6VW5DX22EQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 26, 2020",0,,https://www.amazon.com/Zacurate-Fingertip-Oximeter-Saturation-Batteries/product-reviews/B07PQ8WTC4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I am a retired doctor and just purchased two pulse oximeters to have in case we develop COVID-19, so I can monitor at home. I purchased Santamedical Generation 2 Fingertip Pulse Oximeter Oximetry Blood Oxygen Saturation Monitor with Batteries and Lanyard,  as well as this product: Zacurate Pro Series 500DL Fingertip Pulse Oximeter.  I purchased two to be sure that I had one I could count on.  The Santamedical Gen 2 works rapidly and accurately, and is highly recommended.  The Zacurate Pro Series 500DL is very disappointing.  It is slow.  If finger is not warm it does not give accurate result.  Worst of all is that, although I have received accurate results, sometimes it will report frightenly low, but inaccurate results.  This not a product I can recommend.",Slow and unreliable,Verified Purchase,713 people found this helpful
TucsonTandem,/gp/profile/amzn1.account.AFG7Z46RENR7KGS3SHSDUBVTWMBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 10, 2020",0,,https://www.amazon.com/Zacurate-Fingertip-Oximeter-Saturation-Batteries/product-reviews/B07PQ8WTC4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I'm a physician.  I bought the device to have at home during the covid pandemic, figuring that in case anyone in the house felt ill, we could check their oxygen saturation  and decide if we needed to seek care immediately.  The unit sat in its box since we bought it four month ago, until last night when I wasn't feeling very good.  I used the device and on multiple readings my oxygen saturation varied between 87% and 91%.  I went to the emergency room, where my oxygen saturation was 97%.  I came back home and tried the device again; it read 91%.  We checkedmy wife's pulse ox, and with no symptoms or medical problems she read only 93%.  So, this gadget doesn't live up to its reputation",Very inaccurate reading - led to uncessary emergency room visit,Verified Purchase,530 people found this helpful
Mr. Kay,/gp/profile/amzn1.account.AFROLC47FWF7XF2LMDMMEPL5YUFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 8, 2020",0,,https://www.amazon.com/Zacurate-Fingertip-Oximeter-Saturation-Batteries/product-reviews/B07PQ8WTC4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I was hoping this would be a good product, but unfortunately an instrument that isn't calibrated correctly is worthless.This meter is consistently 3% low compared with 5 other meters reading while on my fingers at the same time.I do expect an inaccurate meter to slip through, but the worst part was the company's response that I shouldn't expect it to be accurate for the price.They didn't even offer to exchange it for another meter.So I definitely do not recommend buying this. Now it just sits in a drawer.Complete waste of money and terrible customer service.",Waste of money!,Verified Purchase,244 people found this helpful
Dan Toomey,/gp/profile/amzn1.account.AE6YCZJMSVH66CKYBIKHZNC4X3RA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 6, 2019",0,,https://www.amazon.com/Zacurate-Fingertip-Oximeter-Saturation-Batteries/product-reviews/B07PQ8WTC4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Great, easy to understand instructions and the unit works the same as the one that my Doctor used",Pulse & Oxygen display,Verified Purchase,477 people found this helpful
Kathy Redinger,/gp/profile/amzn1.account.AFJYPBXKFVRGZ72Q7UW7MP3FITLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 10, 2019",0,,https://www.amazon.com/Zacurate-Fingertip-Oximeter-Saturation-Batteries/product-reviews/B07PQ8WTC4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Very easy to use. Was in hospital for lung issues. Need this at home!,I would buy this product again.,Verified Purchase,344 people found this helpful
Dancing Man,/gp/profile/amzn1.account.AFAE2Z5NOQYRMJBEJJU2YA5NKDAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2020",0,,https://www.amazon.com/Zacurate-Fingertip-Oximeter-Saturation-Batteries/product-reviews/B07PQ8WTC4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"Just compared this to another inexpensive finger oximeter I purchased a few months ago.  Both take maybe 15 seconds for readout and this one provides about the same reading as the other; no more than 1 digit off (when one said 98% O2 saturation, the other might have said 97% or 99%). Close enough for my purposes. From a study I ready somewhere, these inexpensive finger pulse oximeters are generally accurate when you're reading someone that's between 90% and 100% saturation.  A Nonin Onyx professional quality ($186.00) is certainly appropriate in a medical setting when patients may be dropping below 90% but I think these inexpensive ones would be enough to let you know if you should be getting medical attention.",As advertised,Verified Purchase,245 people found this helpful
Hal Seiple,/gp/profile/amzn1.account.AHRDHQFHWIQ5JNTNLOK6UQRLOZJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 11, 2019",0,,https://www.amazon.com/Zacurate-Fingertip-Oximeter-Saturation-Batteries/product-reviews/B07PQ8WTC4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,I bought this for my dad the display is very easy to read. Seems to be accurate would recommend to a friend.,Good oxygen reader,Verified Purchase,281 people found this helpful
VFT,/gp/profile/amzn1.account.AFBSFCD7Z5CM43JP6JNF6IXCVDJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 6, 2019",0,,https://www.amazon.com/Zacurate-Fingertip-Oximeter-Saturation-Batteries/product-reviews/B07PQ8WTC4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Must monitor oxygen level regularly and this product is excellent for accurate readings. Very easy to use. I highly recommend it.,Convenient,Verified Purchase,242 people found this helpful
SueAmazon Customer,/gp/profile/amzn1.account.AESLQA6KHW3TMB55ZWN6BVZQNL6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 13, 2020",0,,https://www.amazon.com/Zacurate-Fingertip-Oximeter-Saturation-Batteries/product-reviews/B07PQ8WTC4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,Product first worked 3 out of 10 times and then stopped.  Husband has COVID and COPD needed this oximeter to work...husband ended up in hospital.  Wanted a replacement but they wanted me to return...we’re quarantined and not possible.  Called Amazon and they were great ... told me to dispose of faulty oximeter ... new one on the way.  Thank you!,Thank you Amazon Customer Service!,Verified Purchase,55 people found this helpful
Rohit K,/gp/profile/amzn1.account.AFKSUI4YPT365JQKNFAEYWP5PQFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 10, 2020",0,,https://www.amazon.com/Zacurate-Fingertip-Oximeter-Saturation-Batteries/product-reviews/B07PQ8WTC4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Great when works but this doesnot last long. This product worked very well for first 2 months but afterwords just stopped working. The readings shown are absolutely inaccurate and so you just cannot trust this to tell you accurate information about your health. People with critical conditions, Beware! I had my readings matched with 3 other testing devices all of which gave similar readings only this showed my heart rate way lower than it actually was..for me accuracy of my heart rate is very essential due to my underlying medical conditions..Users donot buy if you want something for long term use..",Stopped working after 2 months,Verified Purchase,59 people found this helpful
